tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	2973	0	live	GTS		Gilles de la Tourette syndrome		11q23	11						137580	
9606	Homo sapiens	3407	0	live	IDDM8		insulin dependent diabetes mellitus 8		6q27	6						600883	
9606	Homo sapiens	2221	0	live	FCP1	FCP, FCPX, HBFQTL3	F-cell production 1		Xp22.2	X						305435	
9606	Homo sapiens	60498	0	live	IGAN1	IGAN	IgA nephropathy		6q22-q23	6						161950	
9606	Homo sapiens	10986	0	live	IGAD1		immunoglobulin A (IgA) deficiency susceptibility 1		6p21.3	6						137100	
9606	Homo sapiens	3343	0	live	HTL	HLT, LEUT	high L-leucine transport	Leucine transport, high		20						151310	
9606	Homo sapiens	6377	0	live	SCZD1		schizophrenia disorder 1	Schizophrenia susceptibility locus, chromosome 5-related	5q11.2-q13.3	5						181510	
9606	Homo sapiens	8691	0	live	IDDM17		insulin dependent diabetes mellitus 17		10q25	10						603266	
9606	Homo sapiens	6378	0	live	SCZD2		schizophrenia disorder 2	Schizophrenia susceptibility locus, chromosome 11-related	11q14-q21	11						603342	
9606	Homo sapiens	171512	0	live	ADIPQTL3	CAQ14	Circulating adiponectin QTL on chromosome 14		14p11.2-q13	14						606771	
9606	Homo sapiens	404720	0	live	HSCR5		Hirschsprung disease, susceptibility to, 5		9q31	9						600156	
9606	Homo sapiens	7896	0	live	TS13		Temperature sensitivity complementation, ts13			4						187320	
9606	Homo sapiens	7063	0	live	THM		thymoma									274230	
9606	Homo sapiens	4658	0	live	MYP2		myopia 2 (high grade, autosomal dominant)	Myopia, high grade, autosomal dominant 1|pathologic myopia	18p11.31	18						160700	
9606	Homo sapiens	30829	0	live	IBD3		inflammatory bowel disease 3		6p	6						604519	
9606	Homo sapiens	9566	0	live	HPCX		hereditary prostate cancer, X-linked	Prostate cancer, hereditary, X-linked	Xq27-q28	X						300147	
9606	Homo sapiens	1866	0	live	DYT7		dystonia 7, torsion (autosomal dominant)	Dystonia-7 (torsion dystonia, adult-onset, focal)	18p	18						602124	
9606	Homo sapiens	10167	0	live	CFM1		cystic fibrosis modifier 1		19q13.2-q13.4	19						603855	
9606	Homo sapiens	7834	0	live	PCAP	HPC2, HPC8	predisposing for prostate cancer		1q42.2-q43	1						602759	
9606	Homo sapiens	63870	0	live	PSORS5		psoriasis susceptibility 5		3q21	3						604316	
9606	Homo sapiens	3403	0	live	IDDM4		insulin dependent diabetes mellitus 4		11q13	11						600319	
9606	Homo sapiens	57042	0	live	IBD7		inflammatory bowel disease 7		1p36	1						605225	
9606	Homo sapiens	63944	0	live	SCZD10		schizophrenia disorder 10 (periodic catatonia)		15q15	15						605419	
9606	Homo sapiens	3406	0	live	IDDM7		insulin dependent diabetes mellitus 7		2q31	2						600321	
9606	Homo sapiens	406874	0	live	DYX8		dyslexia susceptibility 8		1p36-p34	1						608995	
9606	Homo sapiens	404685	0	live	RTE1		repressor of telomerase expression 1									608045	
9606	Homo sapiens	317782	0	live	CELIAC2	CD, GSE	celiac disease 2		5q31-q33	5						609754	
9606	Homo sapiens	64851	0	live	AD6		Alzheimer disease 6		10q	10						605526	
9606	Homo sapiens	57760	0	live	SPG16	SPG	spastic paraplegia 16 (complicated, X-linked recessive)		Xq11.2	X						300266	
9606	Homo sapiens	8011	0	live	MROS	MRS	Melkersson-Rosenthal syndrome		9p11	9						155900	
9606	Homo sapiens	6463	0	live	SHFM2	SHFD2, SHSF2	split hand/foot malformation (ectrodactyly) type 2	Split hand/foot malformation, type (ectrodactyly) 2	Xq26	X						313350	
9606	Homo sapiens	1254	0	live	CMTX3		Charcot-Marie-Tooth neuropathy, X-linked 3 (dominant)		Xq26	X						302802	
9606	Homo sapiens	603	0	live	BCL5		B cell CLL/lymphoma 5		17q22	17						151441	
9606	Homo sapiens	50966	0	live	ECA1		epilepsy, childhood absence 1		8q24	8						600131	
9606	Homo sapiens	8782	0	live	MYP3		myopia 3 (high grade, autosomal dominant)	Myopia, high grade, autosomal dominant 2	12q21-q23	12						603221	
9606	Homo sapiens	408259	0	live	HPC3	HPC20	Prostate cancer, hereditary, 3		20q13	20						608656	
9606	Homo sapiens	64695	0	live	SLEB3		systemic lupus erythematosus susceptibility 3		4p16-p15.2	4						605480	
9606	Homo sapiens	8400	0	live	SCZD6		schizophrenia disorder 6	Schizophrenia susceptibility locus, chromosome 8p-related	8p21	8						603013	
9606	Homo sapiens	102997063	0	live	DEL15Q11.2	C15DELq11.2	Chromosome 15q11.2 deletion syndrome		15q11.2	15						615656	
9606	Homo sapiens	100188842	0	live	ATFB5		Atrial fibrillation, familial, 5		4q25	4						611494	
9606	Homo sapiens	407973	0	live	SCA20	C11DUPq12, DUP11q12	spinocerebellar ataxia 20		11q12	11						608687	
9606	Homo sapiens	8081	0	live	AD5		Alzheimer disease 5	Alzheimer disease, familial, type 5	12p11.23-q13.12	12						602096	
9606	Homo sapiens	5072	0	live	PARK3		Parkinson disease 3 (autosomal dominant, Lewy body)	Parkinson disease (autosomal dominant, Lewy body) 3|Parkinson disease, dominant Lewy-body, 3	2p13	2						602404	
9606	Homo sapiens	3414	0	live	IDDM15		insulin dependent diabetes mellitus 15		6q21	6						601666	
9606	Homo sapiens	266790	0	live	HCA1	AH, HCA	Hypercalciuria, absorptive, 1		4q33-qter	4						607258	
9606	Homo sapiens	2723	0	live	GLC1C		glaucoma 1, open angle, C		3q21-q24	3						601682	
9606	Homo sapiens	100124696	0	live	TEC		transient erythroblastopenia of childhood		19q13.2	19						227050	
9606	Homo sapiens	1705	0	live	DFNB13		deafness, autosomal recessive 13		7q34-q36	7						603098	
9606	Homo sapiens	116833	0	live	ANIB1	AIB, AIB1	aneurysm, intracranial berry 1		7q11.2	7						105800	
9606	Homo sapiens	317682	0	live	OTSC5		otosclerosis 5		3q22.1-q24	3						608787	
9606	Homo sapiens	93999	0	live	OTSC2		otosclerosis 2		7q34-q36	7						605727	
9606	Homo sapiens	53369	0	live	HDL3	HLN2	Huntington-like neurodegenerative disorder 2		4p15.3	4						604802	
9606	Homo sapiens	3405	0	live	IDDM6		insulin dependent diabetes mellitus 6		18q21	18						601941	
9606	Homo sapiens	257641	0	live	NPCA1	NPC1	Nasopharyngeal carcinoma 1		4p15.1-q12	4						607107	
9606	Homo sapiens	3349	0	live	HTOR		5-hydroxytryptamine (serotonin) oxygenase regulator			21						143460	
9606	Homo sapiens	63869	0	live	PSORS6		psoriasis susceptibility 6		19p13	19						605364	
9606	Homo sapiens	6298	0	live	SAI1	MTS1, TFS1	suppression of anchorage independence 1	malignant transformation suppression-1|transformation suppressor 1	1pter-p22.1	1						154280	
9606	Homo sapiens	3402	0	live	IDDM3		insulin dependent diabetes mellitus 3		15q26	15						600318	
9606	Homo sapiens	3342	0	live	HTC2	CGH, CXINSq27.1, HCG	hypertrichosis 2 (generalized, congenital)	hypertrichosis 2 (generalised, congenital)	Xq27.1	X						307150	
9606	Homo sapiens	1156	0	live	CKBE		creatine kinase, ectopic expression		14q32	14						123270	
9606	Homo sapiens	100359401	0	live	MYP17	MYP4	myopia 17		7p15	7						608367	
9606	Homo sapiens	100329167	0	live	AAA1	AAA	aortic aneurysm, familial abdominal 1		19q13	19						100070	
9606	Homo sapiens	100240738	0	live	DUP22Q11.2		Chromosome 22q11.2 microduplication syndrome		22q11.2	22						608363	
9606	Homo sapiens	791229	0	live	MACOM		macrophthalmia, colobomatous, with microcornea		2p23-p16	2						602499	
9606	Homo sapiens	780916	0	live	GINGF3	GGF3, HGF3	gingival fibromatosis, hereditary, 3		2p23.3-p22.3	2						609955	
9606	Homo sapiens	724074	0	live	DFNY1		deafness, Y-linked 1			Y						400043	
9606	Homo sapiens	677764	0	live	MYP13		myopia 13		Xq23-q25	X						300613	
9606	Homo sapiens	664780	0	live	MYP12		myopia 12 (high grade, autosomal dominant)		2q37.1	2						609995	
9606	Homo sapiens	474387	0	live	OFC4		Orofacial cleft 4		4q21-q31	4						608371	
9606	Homo sapiens	449013	0	live	ANIB2	AIB2	aneurysm, intracranial berry 2		19q13	19						608542	
9606	Homo sapiens	414886	0	live	SPG27		spastic paraplegia 27 (autosomal recessive)		10q22.1-q24.1	10						609041	
9606	Homo sapiens	399516	0	live	OTSC7		otosclerosis 7		6q13-q16.1	6						611572	
9606	Homo sapiens	359825	0	live	PSORS9		psoriasis susceptibility 9		4q31-q34	4						607857	
9606	Homo sapiens	338434	0	live	CANDN1	CANDF3, FCNC	candidiasis, nail 1 (with ICAM1 deficiency)		11p12-q12.1	11						607644	
9606	Homo sapiens	192115	0	live	MGR1	MA, MGAU	Migraine with aura, susceptibility to		4q24	4						157300	
9606	Homo sapiens	170508	0	live	DFNB33		deafness, autosomal recessive 33		10p11.23-q21.1	10						607239	
9606	Homo sapiens	93983	0	live	DYT13		dystonia 13, torsion		1p36	1						607671	
9606	Homo sapiens	85507	0	live	DFNA18		deafness, autosomal dominant 18		3q22	3						606012	
9606	Homo sapiens	57306	0	live	CUP2Q35	C2DUPq35, SD1, SDTY1	Syndactyly, type I		2q34-q36	2						185900	
9606	Homo sapiens	54113	0	live	VUR		Vesicoureteral reflux		1p13	1						193000	
9606	Homo sapiens	50976	0	live	GRD2		Graves disease, susceptibility to, 2		20q13.11	20						603388	
9606	Homo sapiens	23723	0	live	DFNA24		deafness, autosomal dominant 24		4q35-qter	4						606282	
9606	Homo sapiens	11192	0	live	DYX3		dyslexia susceptibility 3	dyslexia 3	2p16-p15	2						604254	
9606	Homo sapiens	10674	0	live	DURS1	DUS	Duane retraction syndrome 1	Duane's retraction syndrome 1	8q13	8						126800	
9606	Homo sapiens	8105	0	live	BRCD1	BCDS1	cancer, familial, with in vitro radioresistance	Breast cancer, ductal, suppressor-1								114450	
9606	Homo sapiens	8039	0	live	PROA		Proline(-) auxotroph, complementation of									176770	
9606	Homo sapiens	7986	0	live	GPDS1	PDS1	glaucoma-related pigment dispersion syndrome 1	Pigment dispersion syndrome-1	7q35-q36	7						600510	
9606	Homo sapiens	7864	0	live	SCLC1	SCCL, SCLC	small cell cancer of the lung		3p23-p21	3						182280	
9606	Homo sapiens	6420	0	live	SF		Stoltzfus blood group		4q28-q31	4						111800	
9606	Homo sapiens	6365	0	live	SCZD3		schizophrenia disorder 3	Schizophrenia susceptibility locus, chromosome 6-related	6p24-p22	6						600511	
9606	Homo sapiens	6022	0	live	RMD1		rippling muscle disease 1		1q41	1						600332	
9606	Homo sapiens	4981	0	live	OPEM		ophthalmoplegia, external, with myopia			X						311000	
9606	Homo sapiens	4813	0	live	NIDDM2		non insulin dependent diabetes mellitus 2	non-insulin-dependent diabetes mellitus (common, type 2) 2|type 2 diabetes 2	12q24.2	12						601407	
9606	Homo sapiens	4434	0	live	MSD		microcephaly with spastic diplegia (Paine syndrome)			X						311400	
9606	Homo sapiens	4095	0	live	MAFD1	BPAD, MD1	major affective disorder 1		18p	18						125480	
9606	Homo sapiens	3412	0	live	IDDM13		insulin dependent diabetes mellitus 13		2q34	2						601318	
9606	Homo sapiens	3341	0	live	HTC1		hypertrichosis 1 (universalis, congenital)	Ambras syndrome|hypertrichosis universalis (universalis, congenital)	8q22	8						145701	
9606	Homo sapiens	2420	0	live	FRDA2		Friedreich ataxia 2		9p23-p11	9						601992	
9606	Homo sapiens	1957	0	live	EGI	EIG, EIG1	epilepsy, generalized, idiopathic	epilepsy, idiopathic generalized, susceptibility to 1	8q24	8						600669	
9606	Homo sapiens	1709	0	live	DFNB17		deafness, autosomal recessive 17		7q31	7						603010	
9606	Homo sapiens	1680	0	live	DFNX3	DFN4	deafness, X-linked 3	deafness 4, congenital sensorineural	Xp21.2	X						300030	
9606	Homo sapiens	1484	0	live	CTAA2		cataract, anterior polar 2		17p13	17						601202	
9606	Homo sapiens	1483	0	live	CTAA1	CAP, CTPP5	cataract, anterior polar 1		14q24-qter	14						115650	
9606	Homo sapiens	1255	0	live	CNA1		cornea plana 1 (autosomal dominant)		12q	12						121400	
9606	Homo sapiens	1243	0	live	CMM	CMM1, DNS, FAMMM, MLM	cutaneous malignant melanoma/dysplastic nevus	dysplastic nevus syndrome	1p36	1						155600	
9606	Homo sapiens	1083	0	live	CGF1		cognitive function 1, social		Xp11.22-qter	X						300082	
9606	Homo sapiens	431	0	live	ASD1		atrial septal defect 1		5p15.31	5						108800	
9606	Homo sapiens	192	0	live	AIC		Aicardi syndrome		Xp22	X						304050	
9606	Homo sapiens	170	0	live	AFA		ankyloblepharon filiforme adnatum									106250	
9606	Homo sapiens	122	0	live	ADFN	ALDS	albinism-deafness syndrome		Xq26.3-q27.1	X						300700	
9606	Homo sapiens	50608	0	live	IBD4		inflammatory bowel disease 4		14q11-q12	14						606675	
9606	Homo sapiens	2133	0	live	EXT3	EXT2	exostoses (multiple) 3		19p	19						600209	
9606	Homo sapiens	404714	0	live	SLEB4		systemic lupus erythematosus, susceptibility to, 4		12q24	12						608437	
9606	Homo sapiens	3258	0	live	HPT	HPTX, HYPX	hypoparathyroidism		Xq27	X						307700	
9606	Homo sapiens	777778	0	live	OPA6	ROA1	optic atrophy 6 (autosomal recessive)	recessive optic atrophy 1	8q21.13-q22.1	8						258500	
9606	Homo sapiens	6012	0	live	RIEG2	ARS, RGS2	Rieger syndrome 2		13q14	13						601499	
9606	Homo sapiens	3410	0	live	IDDM11		insulin dependent diabetes mellitus 11		14q24.3-q31	14						601208	
9606	Homo sapiens	4156	0	live	MBS1	MBS	Moebius syndrome 1		13q12.2	13						157900	
9606	Homo sapiens	260431	0	live	COPD		Pulmonary disease, chronic obstructive, severe early-onset		2q	2						606963	
9606	Homo sapiens	550641	0	live	TELM		telomere length, mean leukocyte		14q23.2	14						609113	
9606	Homo sapiens	497231	0	live	CLN9		ceroid-lipofuscinosis, neuronal 9									609055	
9606	Homo sapiens	474159	0	live	DYX9	DXY9	dyslexia susceptibility 9		Xq27.3	X						300509	
9606	Homo sapiens	450087	0	live	ADHD1		Attention deficit-hyperactivity disorder, susceptibility to, 1		16p13	16						608903	
9606	Homo sapiens	353147	0	live	POROK4	DSAP2	disseminated superficial actinic porokeratosis 2		15q25.1-q26.1	15						607728	
9606	Homo sapiens	353127	0	live	HDLCQ2	HDLC2	High density lipoprotein cholesterol level QTL on chromosome 8		8q23	8						607053	
9606	Homo sapiens	317668	0	live	MCDR3		macular dystrophy, retinal 3		5p15.33-p13.1	5						608850	
9606	Homo sapiens	260402	0	live	IS1	AIS, AIS1	Adolescent idiopathic scoliosis		19p13.3	19						181800	
9606	Homo sapiens	192144	0	live	HDLCQ1	HDLC1	high density lipoprotein cholesterol level QTL 1		9p	9						606613	
9606	Homo sapiens	171515	0	live	HBFQTL4	FHQTL	Fetal hemoglobin QTL on chromosome 8		8q	8						606789	
9606	Homo sapiens	171013	0	live	SLI1		Specific language impairment QTL, 1		16q	16						606711	
9606	Homo sapiens	29779	0	live	DFNA33		deafness, autosomal dominant 33		13q34-qter	13						614211	
9606	Homo sapiens	22811	0	live	MBS3	HCFP2	Moebius syndrome 3	hereditary congenital facial paresis 2	10q21.3-q22.1	10						604185	
9606	Homo sapiens	8806	0	live	SCZD8		schizophrenia disorder 8	Schizophrenia susceptibility locus, chromosome 18-related	18p	18						603206	
9606	Homo sapiens	4977	0	live	OPA2		optic atrophy 2 (obscure)		Xp11.4-p11.2	X						311050	
9606	Homo sapiens	4657	0	live	MYP1	BED	myopia 1 (X-linked)	Myopia, X-linked (Bornholm eye disease)|Myopia-1 (Bornholm eye disease)|myopia 1 (X-linked, Bornholm eye disease included)	Xq28	X						310460	
9606	Homo sapiens	4264	0	live	MHS2		malignant hyperthermia susceptibility 2		17q11.2-q24	17						154275	
9606	Homo sapiens	2722	0	live	GLC1B		glaucoma 1, open angle, B (adult-onset)		2cen-q13	2						606689	
9606	Homo sapiens	1732	0	live	DIH1	HCD	diaphragmatic hernia 1		15q26.1-q26.2	15						142340	
9606	Homo sapiens	1283	0	live	CTD		Coats disease									300216	
9606	Homo sapiens	1257	0	live	CNC2	CNC	Carney complex type 2, multiple neoplasia and lentiginosis	Carney complex, multiple neoplasia and lentiginosis	2p16	2						605244	
9606	Homo sapiens	465	0	live	ATD	ATD1	asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)		15q13	15						208500	
9606	Homo sapiens	424	0	live	ARVD3	ARVD2	arrhythmogenic right ventricular dysplasia 3		14q12-q22	14						602086	
9606	Homo sapiens	100271698	0	live	ADIPQTL4		Adiponectin, serum level of, QTL4		11q23-q24	11						612629	
9606	Homo sapiens	677662	0	live	PARK12		Parkinson disease 12 (susceptibility)	Parkinson disease (X-linked) 12	Xq21-q25	X						300557	
9606	Homo sapiens	58156	0	live	OPA4		optic atrophy 4 (autosomal dominant)		18q12.2	18						605293	
9606	Homo sapiens	4965	0	live	OFC3		orofacial cleft 3		19q13	19						600757	
9606	Homo sapiens	399565	0	live	GLC3C		glaucoma 3, primary congenital, C		14q24.3-q31.1	14						613085	
9606	Homo sapiens	192143	0	live	STQTL2		stature quantitative trait locus 2		7q31.3	7						606256	
9606	Homo sapiens	81861	0	live	LPRS	LPRS1	Leprosy, susceptibility to 1		10p13	10						609888	
9606	Homo sapiens	5548	0	live	PRD		primary retinal dysplasia		Xp11.3	X						312550	
9606	Homo sapiens	2728	0	live	GLC3B		glaucoma 3, primary infantile, B		1p36	1						600975	
9606	Homo sapiens	1218	0	live	CMD1B	CMPD1, FDC	cardiomyopathy, dilated 1B (autosomal dominant)		9q13-q22	9						600884	
9606	Homo sapiens	7795	0	live	LOC7795	MEMO1	Methylation modifier for class I HLA		1p36.1-p35	1						601201	
9606	Homo sapiens	7889	0	live	PSORS3		psoriasis susceptibility 3		4q	4						601454	
9606	Homo sapiens	4378	0	live	MRX14		mental retardation, X-linked 14		Xp11.3-q13.2	X						300062	
9606	Homo sapiens	100271837	0	live	USH1H		Usher syndrome 1H (autosomal recessive)		15q22-q23	15						612632	
9606	Homo sapiens	619477	0	live	GCCD3	FGD2, FGD3, GCCD2	glucocorticoid deficiency 3		8q11.2-q13.2	8						609197	
9606	Homo sapiens	246319	0	live	VAMAS6	VTLG	Vitiligo		6p21.3	6						193200	
9606	Homo sapiens	5012	0	live	OTSC1	OTS	otosclerosis 1		15q25-q26	15						166800	
9606	Homo sapiens	8245	0	live	IDDMX		Diabetes mellitus, insulin-dependent, X-linked, susceptibility to		Xp11	X						300136	
9606	Homo sapiens	100359395	0	live	DFNA58		deafness, autosomal dominant 58		2p21-p12	2						615654	
9606	Homo sapiens	4963	0	live	OFC1	CL, OFC	orofacial cleft 1	Orofacial cleft-1 (cleft lip with or without cleft palate; isolated cleft palate)	6p24	6						119530	
9606	Homo sapiens	94008	0	live	SCA18	SMNA	spinocerebellar ataxia 18 (sensory with neurogenic muscular atrophy)		7q22-q32	7						607458	
9606	Homo sapiens	100294716	0	live	MYP15		myopia 15		10q21.1	10						612717	
9606	Homo sapiens	8401	0	live	SCZD7		schizophrenia disorder 7	Schizophrenia susceptibility locus, chromosome 13q-related	13q32	13						603176	
9606	Homo sapiens	100188869	0	live	DEL15Q13.3	EIG7, MICRODEL15Q13.3, SCZD13	Chromosome 15q13.3 microdeletion syndrome		15q13.3	15						612001	
9606	Homo sapiens	777643	0	live	GLC1M		glaucoma 1, open angle, M (juvenile-onset)		5q	5						610535	
9606	Homo sapiens	387573	0	live	CHDS3		Coronary heart disease, susceptibility to, 3		Xq23-q26	X						300464	
9606	Homo sapiens	171511	0	live	ADIPQTL2	CAQ5	Circulating adiponectin QTL on chromosome 5		5p15.2-p14	5						606770	
9606	Homo sapiens	100009675	0	live	MRT4		mental retardation, non-syndromic, autosomal recessive, 4		1p21.3-p13.3	1						611107	
9606	Homo sapiens	7396	0	live	USH1E		Usher syndrome 1E (autosomal recessive, severe)	Usher syndrome-2A, autosomal recessive, severe	21q21	21						602097	
9606	Homo sapiens	425	0	live	ARVD4		arrhythmogenic right ventricular dysplasia 4		2q32.1-q32.3	2						602087	
9606	Homo sapiens	100359402	0	live	SPG41		spastic paraplegia 41 (autosomal dominant)		11p14.1-p11.2	11						613364	
9606	Homo sapiens	100188813	0	live	RLS4		Restless legs syndrome 4		2q33	2						610439	
9606	Homo sapiens	497662	0	live	RRIS		Respiratory rhythmicity in sleep		10q26	10						609116	
9606	Homo sapiens	337895	0	live	BMIQ3		body mass index QTL 3	body mass index quantitative trait 3|body mass index quantitative trait locus 3	6q23-q25	6						607446	
9606	Homo sapiens	106783499	0	live	OPA8		optic atrophy 8 (autosomal dominant)	Optic atroph 8	16q22	16						616648	
9606	Homo sapiens	102723100	0	live	OTSC10		otosclerosis 10		1q41-q44	1						615589	
9606	Homo sapiens	101926885	0	live	OCA5	OCA7	oculocutaneous albinism 5 (autosomal recessive)	Albinism, oculocutaneous, type VII	4q24	4						615312	
9606	Homo sapiens	101409267	0	live	CORD17		cone rod dystrophy 17 (autosomal dominant)	Cone-rod dystrophy 17	10q26	10						615163	
9606	Homo sapiens	101055624	0	live	NYS7		Nystagmus 7, congenital		1q32	1						614826	
9606	Homo sapiens	100909384	0	live	DUP16P11.2	AUTS14B, C16DUPp11.2	Chromosome 16p11.2 duplication syndrome		16p11.2	16						614671	
9606	Homo sapiens	100885773	0	live	DYT21		dystonia 21, torsion (autosomal dominant)		2q14.3-q21.3	2						614588	
9606	Homo sapiens	100884130	0	live	DEL17Q12	C17DELq12	Chromosome 17q12 deletion syndrome		17q12	17						614527	
9606	Homo sapiens	100862681	0	live	RP63		retinitis pigmentosa 63 (autosomal dominant)		6q23	6						614494	
9606	Homo sapiens	100861440	0	live	DFNB96		deafness, autosomal recessive 96		1p36.31-p36.13	1						614414	
9606	Homo sapiens	100861439	0	live	CTRCT37	CCA5	Cataract, congenital cerulean type, 5		12q24.2-q24.3	12						614422	
9606	Homo sapiens	100653380	0	live	DEL7Q11.23	C7DELq11.23	Chromosome 7q11.23 deletion syndrome, distal, 1.2Mb		7q11.23	7						613729	
9606	Homo sapiens	100529230	0	live	LGMD1H		limb girdle muscular dystrophy 1H (autosomal dominant)		3p25-p23	3						613530	
9606	Homo sapiens	100528023	0	live	PPR1	PPR	Photoparoxysmal response 1		6p21.1	6						132100	
9606	Homo sapiens	100505381	0	live	MMD2		Miyoshi muscular dystrophy 2		10p	10						613318	
9606	Homo sapiens	100359407	0	live	MYP14		myopia 14		1p36	1						610320	
9606	Homo sapiens	100359406	0	live	MYP18		myopia 18 (high grade, autosomal recessive)		14q22.1-q24.2	14						255500	
9606	Homo sapiens	100359393	0	live	SCA30		spinocerebellar ataxia 30		4q34.3-q35.1	4						613371	
9606	Homo sapiens	100302513	0	live	DFNB71		deafness, autosomal recessive 71		8p22-p21.3	8						612789	
9606	Homo sapiens	100271924	0	live	DFNA59		deafness, autosomal dominant 59		11p14.2-q12.3	11						612642	
9606	Homo sapiens	100240748	0	live	DEL9P	C9DELp	Chromosome 9p deletion syndrome		9p	9						158170	
9606	Homo sapiens	100240737	0	live	DEL1P36	C1DELp36	Chromosome 1p36 deletion syndrome		1p36	1						607872	
9606	Homo sapiens	100216344	0	live	DYT17		dystonia 17		20p11.22-q13.12	20						612406	
9606	Homo sapiens	100196916	0	live	ALPQTL4		Alkaline phosphatase, plasma level of, QTL4		10q21	10						612369	
9606	Homo sapiens	100188805	0	live	STBMS1		Strabismus, susceptibility to, 1		7p22.1	7						185100	
9606	Homo sapiens	100187717	0	live	NNO3		nanophthalmos 3		2q11-q14	2						611897	
9606	Homo sapiens	100124414	0	live	GINGF4	GGF4, HGF4	gingival fibromatosis, hereditary, 4		11p15	11						611010	
9606	Homo sapiens	100049160	0	live	FEB7		febrile convulsions 7		21q22	21						611515	
9606	Homo sapiens	100049159	0	live	SPG37		spastic paraplegia 37 (autosomal dominant)		8p21.2-q13.3	8						611945	
9606	Homo sapiens	100037266	0	live	STQTL8		stature quantitative trait locus 8		9q22	9						610114	
9606	Homo sapiens	100037265	0	live	STQTL7		stature quantitative trait locus 7		1p21	1						609822	
9606	Homo sapiens	780922	0	live	SPD3		Synpolydactyly 3		14q11.2-q12	14						610234	
9606	Homo sapiens	780912	0	live	AD10		Alzheimer disease-10		7q36	7						609636	
9606	Homo sapiens	780911	0	live	DEL10Q26	C10q26DEL, TQDS	Chromosome 10q deletion syndrome		10q26	10						609625	
9606	Homo sapiens	780906	0	live	SLI3		Specific language impairment QTL, 3		13q21	13						607134	
9606	Homo sapiens	777645	0	live	GLC1N		glaucoma 1, open angle, N (juvenile-onset)		15q22-q24	15						611274	
9606	Homo sapiens	777642	0	live	RP34		retinitis pigmentosa 34 (X-linked recessive)		Xq28	X						300605	
9606	Homo sapiens	727716	0	live	SCAX4		spinocerebellar ataxia, X-linked 4			X						301840	
9606	Homo sapiens	727715	0	live	SCAX3		spinocerebellar ataxia, X-linked 3			X						301790	
9606	Homo sapiens	727714	0	live	SCAX2		spinocerebellar ataxia, X-linked 2			X						302600	
9606	Homo sapiens	724110	0	live	SPG34		spastic paraplegia 34 (autosomal dominant)		Xq24-q25	X						300750	
9606	Homo sapiens	724107	0	live	SPG32	SPG29	spastic paraplegia 32 (autosomal recessive)		14q12-q21	14						611252	
9606	Homo sapiens	724058	0	live	ANIB4		aneurysm, intracranial berry 4		5p15.2-p14.3	5						610213	
