Conversion table of Accession No/ FLJ ID/ Clone ID/ Sequence ID/ Another Sequence ID
(Data by Extracting System of Accurate ORFs)

Accesion No	FLJ ID	Clone ID	Sequence ID	Another Sequence ID
AK075360	PSEC0046(FLJ91040)	NT2RP1001027	C-NT2RP1001027	
AK075361	PSEC0047(FLJ91041)	NT2RP1001042	C-NT2RP1001042	
AK075362	PSEC0048(FLJ91042)	NT2RP2000028	C-NT2RP2000028	
AK075363	PSEC0049(FLJ91043)	NT2RP2000116	C-NT2RP2000116	
AK172729	PSEC0050(FLJ91044)	NT2RP2000119	C-NT2RP2000119	
AK075364	PSEC0051(FLJ91045)	NT2RP2000168	C-NT2RP2000168	
AK075365	PSEC0052(FLJ91046)	NT2RP2000279	C-NT2RP2000279	
AK075366	PSEC0053(FLJ91047)	NT2RP2000396	C-NT2RP2000396	
AK075367	PSEC0054(FLJ91048)	NT2RP2000547	C-NT2RP2000547	
AK075368	PSEC0055(FLJ91049)	NT2RP2000557	C-NT2RP2000557	
AB045981	PSEC0056(FLJ91050)	NT2RP2000565	C-NT2RP2000565	
AK075369	PSEC0057(FLJ91051)	NT2RP2000230	C-NT2RP2000230	
AK075370	PSEC0058(FLJ91052)	NT2RP2000636	C-NT2RP2000636	
AK075371	PSEC0059(FLJ91053)	NT2RP2000601	C-NT2RP2000601	
AK075372	PSEC0060(FLJ91054)	NT2RP2000638	C-NT2RP2000638	
AK075373	PSEC0061(FLJ91055)	NT2RP2000720	C-NT2RP2000720	
AK172730	PSEC0062(FLJ91056)	NT2RP2000766	C-NT2RP2000766	
AK172731	PSEC0063(FLJ91057)	NT2RP2000910	C-NT2RP2000910	
AK075374	PSEC0064(FLJ91058)	NT2RP2000957	C-NT2RP2000957	
AK075375	PSEC0065(FLJ91059)	NT2RP2000997	C-NT2RP2000997	
AK075376	PSEC0066(FLJ91060)	NT2RP2001087	C-NT2RP2001087	
AK075377	PSEC0067(FLJ91061)	NT2RP2001142	C-NT2RP2001142	
AK075378	PSEC0068(FLJ91062)	NT2RP2001270	C-NT2RP2001270	
AK075379	PSEC0069(FLJ91063)	NT2RP2001341	C-NT2RP2001341	
AK075380	PSEC0070(FLJ91064)	NT2RP2001508	C-NT2RP2001508	
AK075381	PSEC0071(FLJ91065)	NT2RP2002115	C-NT2RP2002115	
AK075382	PSEC0072(FLJ91066)	NT2RP2002429	C-NT2RP2002429	
AK075383	PSEC0073(FLJ91067)	NT2RP2002934	C-NT2RP2002934	
AK075384	PSEC0074(FLJ91068)	NT2RP2003050	C-NT2RP2003050	
AK075385	PSEC0075(FLJ91069)	NT2RP2003227	C-NT2RP2003227	
AK075386	PSEC0076(FLJ91070)	NT2RP2003471	C-NT2RP2003471	
AK075387	PSEC0077(FLJ91071)	NT2RP2003902	C-NT2RP2003902	
AK075388	PSEC0078(FLJ91072)	NT2RP2004036	C-NT2RP2004036	
AK075389	PSEC0079(FLJ91073)	NT2RP2004049	C-NT2RP2004049	
AK075390	PSEC0080(FLJ91074)	NT2RP2004076	C-NT2RP2004076	
AK075391	PSEC0081(FLJ91075)	NT2RP2004130	C-NT2RP2004130	
AK075392	PSEC0082(FLJ91076)	NT2RP2004966	C-NT2RP2004966	
AK075393	PSEC0083(FLJ91077)	NT2RP2005506	C-NT2RP2005506	
AK075394	PSEC0084(FLJ91078)	NT2RP2005970	C-NT2RP2005970	
AK075395	PSEC0085(FLJ91079)	NT2RP2006476	C-NT2RP2006476	
AK075396	PSEC0086(FLJ91080)	PLACE1000456	C-PLACE1000456	
AK075397	PSEC0087(FLJ91081)	PLACE1001022	C-PLACE1001022	
AK075398	PSEC0088(FLJ91082)	PLACE1001098	C-PLACE1001098	
AK075399	PSEC0089(FLJ91083)	PLACE1001148	C-PLACE1001148	
AK075400	PSEC0090(FLJ91084)	PLACE1001300	C-PLACE1001300	
AK075401	PSEC0091(FLJ91085)	PLACE1001683	C-PLACE1001683	
AK075402	PSEC0092(FLJ91086)	NT2RP2000358	C-NT2RP2000358	
AK172732	PSEC0093(FLJ91087)	NT2RP2000426	C-NT2RP2000426	
AK075403	PSEC0094(FLJ91088)	NT2RP2001499	C-NT2RP2001499	
AK075404	PSEC0095(FLJ91089)	NT2RP2001768	C-NT2RP2001768	
AK075405	PSEC0096(FLJ91090)	NT2RP2002060	C-NT2RP2002060	
AK075406	PSEC0097(FLJ91091)	NT2RP2002139	C-NT2RP2002139	
AK075407	PSEC0098(FLJ91092)	NT2RP2002695	C-NT2RP2002695	
AK075408	PSEC0099(FLJ91093)	NT2RP2002907	C-NT2RP2002907	
AK075409	PSEC0100(FLJ91094)	NT2RP2002927	C-NT2RP2002927	
AK075410	PSEC0101(FLJ91095)	NT2RP2003115	C-NT2RP2003115	
AK075411	PSEC0102(FLJ91096)	NT2RP2003127	C-NT2RP2003127	
AK075412	PSEC0103(FLJ91097)	NT2RP2004755	C-NT2RP2004755	
AK075413	PSEC0104(FLJ91098)	NT2RP2004795	C-NT2RP2004795	
AK075414	PSEC0105(FLJ91099)	NT2RP2004974	C-NT2RP2004974	
AK075415	PSEC0106(FLJ91100)	NT2RP2005219	C-NT2RP2005219	
AK075416	PSEC0107(FLJ91101)	NT2RP2005322	C-NT2RP2005322	
AK075417	PSEC0108(FLJ91102)	NT2RP2005670	C-NT2RP2005670	
AK075418	PSEC0109(FLJ91103)	NT2RP2005671	C-NT2RP2005671	
AK075419	PSEC0110(FLJ91104)	PLACE1010021	C-PLACE1010021	
AK075420	PSEC0111(FLJ91105)	NT2RP2006028	C-NT2RP2006028	
AK075421	PSEC0112(FLJ91106)	NT2RP2006400	C-NT2RP2006400	
AK075422	PSEC0113(FLJ91107)	NT2RP2006435	C-NT2RP2006435	
AK075423	PSEC0114(FLJ91108)	NT2RP2006543	C-NT2RP2006543	
AK075424	PSEC0115(FLJ91109)	PLACE1000086	C-PLACE1000086	
AK075425	PSEC0116(FLJ91110)	PLACE1001890	C-PLACE1001890	
AK075426	PSEC0117(FLJ91111)	PLACE1001904	C-PLACE1001904	
AK075427	PSEC0118(FLJ91112)	PLACE1002184	C-PLACE1002184	
AK075428	PSEC0119(FLJ91113)	PLACE1002376	C-PLACE1002376	
AK075429	PSEC0120(FLJ91114)	PLACE1002379	C-PLACE1002379	
AK075430	PSEC0121(FLJ91115)	PLACE1003085	C-PLACE1003085	
AK075431	PSEC0122(FLJ91116)	PLACE1003337	C-PLACE1003337	
AK075432	PSEC0123(FLJ91117)	PLACE1003344	C-PLACE1003344	
AK075433	PSEC0124(FLJ91118)	PLACE1003378	C-PLACE1003378	
AK075434	PSEC0125(FLJ91119)	PLACE1003405	C-PLACE1003405	
AK075435	PSEC0126(FLJ91120)	PLACE1003549	C-PLACE1003549	
AK075436	PSEC0127(FLJ91121)	PLACE1003724	C-PLACE1003724	
AK075437	PSEC0128(FLJ91122)	PLACE1004113	C-PLACE1004113	
AK075438	PSEC0129(FLJ91123)	PLACE1004170	C-PLACE1004170	
AK075439	PSEC0130(FLJ91124)	PLACE1004273	C-PLACE1004273	
AK075440	PSEC0131(FLJ91125)	PLACE1004322	C-PLACE1004322	
AK172733	PSEC0132(FLJ91126)	PLACE1004427	C-PLACE1004427	
AK075441	PSEC0133(FLJ91127)	PLACE1004507	C-PLACE1004507	
AK075442	PSEC0134(FLJ91128)	PLACE1004757	C-PLACE1004757	
AK075443	PSEC0135(FLJ91129)	PLACE1004850	C-PLACE1004850	
AK075444	PSEC0136(FLJ91130)	PLACE1004904	C-PLACE1004904	
AK075445	PSEC0137(FLJ91131)	PLACE1005047	C-PLACE1005047	
AK075446	PSEC0138(FLJ91132)	PLACE1005659	C-PLACE1005659	
AK075447	PSEC0139(FLJ91133)	PLACE1005760	C-PLACE1005760	
AK075448	PSEC0140(FLJ91134)	PLACE1005783	C-PLACE1005783	
AK075449	PSEC0141(FLJ91135)	PLACE1005913	C-PLACE1005913	
AK075450	PSEC0142(FLJ91136)	PLACE1006269	C-PLACE1006269	
AK075451	PSEC0143(FLJ91137)	PLACE1006472	C-PLACE1006472	
AK075452	PSEC0144(FLJ91138)	PLACE1006610	C-PLACE1006610	
AK075453	PSEC0145(FLJ91139)	PLACE1006711	C-PLACE1006711	
AB038269	PSEC0146(FLJ91140)	PLACE1006979	C-PLACE1006979	
AK075454	PSEC0147(FLJ91141)	PLACE1007190	C-PLACE1007190	
AK075455	PSEC0148(FLJ91142)	PLACE1007202	C-PLACE1007202	
AK075456	PSEC0149(FLJ91143)	PLACE1007338	C-PLACE1007338	
AK075457	PSEC0150(FLJ91144)	PLACE1007635	C-PLACE1007635	
AK075458	PSEC0151(FLJ91145)	PLACE1007878	C-PLACE1007878	
AK075459	PSEC0152(FLJ91146)	PLACE1007885	C-PLACE1007885	
AK075460	PSEC0153(FLJ91147)	PLACE1007950	C-PLACE1007950	
AB056476	PSEC0154(FLJ91148)	PLACE1008092	C-PLACE1008092	
AK075462	PSEC0155(FLJ91149)	PLACE1008105	C-PLACE1008105	
AK075463	PSEC0156(FLJ91150)	PLACE1008107	C-PLACE1008107	
AK075464	PSEC0157(FLJ91151)	PLACE1008238	C-PLACE1008238	
AK075465	PSEC0158(FLJ91152)	PLACE1008738	C-PLACE1008738	
AK075466	PSEC0159(FLJ91153)	PLACE1008994	C-PLACE1008994	
AK172734	PSEC0160(FLJ91154)	PLACE1009236	C-PLACE1009236	
AK075467	PSEC0161(FLJ91155)	PLACE1009580	C-PLACE1009580	
AK075468	PSEC0162(FLJ91156)	PLACE1009772	C-PLACE1009772	
AK075469	PSEC0163(FLJ91157)	PLACE1010330	C-PLACE1010330	
AK075470	PSEC0164(FLJ91158)	PLACE1010482	C-PLACE1010482	
AK075471	PSEC0165(FLJ91159)	PLACE1010978	C-PLACE1010978	
AB056477	PSEC0166(FLJ91160)	PLACE1011019	C-PLACE1011019	
AK075473	PSEC0167(FLJ91161)	PLACE1011134	C-PLACE1011134	
AK075474	PSEC0168(FLJ91162)	PLACE1011146	C-PLACE1011146	
AK075475	PSEC0169(FLJ91163)	PLACE1011360	C-PLACE1011360	
AK075476	PSEC0170(FLJ91164)	PLACE1011386	C-PLACE1011386	
AK075477	PSEC0171(FLJ91165)	PLACE1011514	C-PLACE1011514	
AK075478	PSEC0172(FLJ91166)	PLACE1011835	C-PLACE1011835	
AK075479	PSEC0173(FLJ91167)	NT2RP2000428	C-NT2RP2000428	
AK075480	PSEC0174(FLJ91168)	NT2RP2002760	C-NT2RP2002760	
AK075481	PSEC0175(FLJ91169)	OVARC1000169	C-OVARC1000169	
AK075482	PSEC0176(FLJ91170)	OVARC1000254	C-OVARC1000254	
AK075483	PSEC0177(FLJ91171)	OVARC1000287	C-OVARC1000287	
AK075484	PSEC0178(FLJ91172)	OVARC1000636	C-OVARC1000636	
AK075485	PSEC0179(FLJ91173)	OVARC1001209	C-OVARC1001209	
AK075486	PSEC0180(FLJ91174)	OVARC1001359	C-OVARC1001359	
AK075487	PSEC0181(FLJ91175)	OVARC1001499	C-OVARC1001499	
AK075488	PSEC0182(FLJ91176)	OVARC1001636	C-OVARC1001636	
AK075489	PSEC0183(FLJ91177)	OVARC1001849	C-OVARC1001849	
AK172735	PSEC0184(FLJ91178)	OVARC1001983	C-OVARC1001983	
AK075490	PSEC0185(FLJ91179)	OVARC1002091	C-OVARC1002091	
AK075491	PSEC0186(FLJ91180)	OVARC1002093	C-OVARC1002093	
AK075492	PSEC0187(FLJ91181)	HEMBA1000034	C-HEMBA1000034	
AK172736	PSEC0188(FLJ91182)	HEMBA1000154	C-HEMBA1000154	
AK172737	PSEC0189(FLJ91183)	HEMBA1000269	C-HEMBA1000269	
AK075493	PSEC0190(FLJ91184)	HEMBA1000296	C-HEMBA1000296	
AK075494	PSEC0191(FLJ91185)	HEMBA1000446	C-HEMBA1000446	
AK075495	PSEC0192(FLJ91186)	HEMBA1000675	C-HEMBA1000675	
AK075496	PSEC0193(FLJ91187)	HEMBA1000760	C-HEMBA1000760	
AK172738	PSEC0194(FLJ91188)	HEMBA1001279	C-HEMBA1001279	
AK075497	PSEC0195(FLJ91189)	HEMBA1001322	C-HEMBA1001322	
AK075498	PSEC0196(FLJ91190)	HEMBA1001414	C-HEMBA1001414	
AK075499	PSEC0197(FLJ91191)	HEMBA1001490	C-HEMBA1001490	
AK075500	PSEC0198(FLJ91192)	HEMBA1001552	C-HEMBA1001552	
AK075501	PSEC0199(FLJ91193)	HEMBA1001680	C-HEMBA1001680	
AK075502	PSEC0200(FLJ91194)	HEMBA1001879	C-HEMBA1001879	
AK075503	PSEC0201(FLJ91195)	HEMBA1002107	C-HEMBA1002107	
AK075504	PSEC0202(FLJ91196)	HEMBA1002307	C-HEMBA1002307	
AK075505	PSEC0203(FLJ91197)	HEMBA1002441	C-HEMBA1002441	
AK075506	PSEC0204(FLJ91198)	HEMBA1002706	C-HEMBA1002706	
AK075507	PSEC0205(FLJ91199)	HEMBA1002715	C-HEMBA1002715	
AK075508	PSEC0206(FLJ91200)	HEMBA1002913	C-HEMBA1002913	
AK075509	PSEC0207(FLJ91201)	HEMBA1002981	C-HEMBA1002981	
AK075510	PSEC0208(FLJ91202)	HEMBA1003252	C-HEMBA1003252	
AK075511	PSEC0209(FLJ91203)	HEMBA1003280	C-HEMBA1003280	
AK075512	PSEC0210(FLJ91204)	HEMBA1003702	C-HEMBA1003702	
AK075513	PSEC0211(FLJ91205)	HEMBA1003728	C-HEMBA1003728	
AK075514	PSEC0212(FLJ91206)	HEMBA1003764	C-HEMBA1003764	
AK075515	PSEC0213(FLJ91207)	HEMBA1004078	C-HEMBA1004078	
AK075516	PSEC0214(FLJ91208)	HEMBA1004100	C-HEMBA1004100	
AK075517	PSEC0215(FLJ91209)	HEMBA1004149	C-HEMBA1004149	
AK075518	PSEC0216(FLJ91210)	HEMBA1004633	C-HEMBA1004633	
AK075519	PSEC0217(FLJ91211)	HEMBA1004833	C-HEMBA1004833	
AK075520	PSEC0218(FLJ91212)	HEMBA1005096	C-HEMBA1005096	
AK075521	PSEC0219(FLJ91213)	HEMBA1005229	C-HEMBA1005229	
AK075522	PSEC0220(FLJ91214)	HEMBA1005301	C-HEMBA1005301	
AK172739	PSEC0221(FLJ91215)	HEMBA1005305	C-HEMBA1005305	
AK075523	PSEC0222(FLJ91216)	HEMBA1005452	C-HEMBA1005452	
AK075524	PSEC0223(FLJ91217)	HEMBA1005628	C-HEMBA1005628	
AK075525	PSEC0224(FLJ91218)	HEMBA1005703	C-HEMBA1005703	
AK075526	PSEC0225(FLJ91219)	HEMBA1005766	C-HEMBA1005766	
AK075527	PSEC0226(FLJ91220)	HEMBA1005833	C-HEMBA1005833	
AK075528	PSEC0227(FLJ91221)	HEMBA1006019	C-HEMBA1006019	
AK075529	PSEC0228(FLJ91222)	HEMBA1006099	C-HEMBA1006099	
AK075530	PSEC0229(FLJ91223)	HEMBA1006273	C-HEMBA1006273	
AK075531	PSEC0230(FLJ91224)	HEMBA1006391	C-HEMBA1006391	
AK075532	PSEC0231(FLJ91225)	HEMBA1006418	C-HEMBA1006418	
AK075533	PSEC0232(FLJ91226)	HEMBA1006549	C-HEMBA1006549	
AK075534	PSEC0233(FLJ91227)	HEMBA1006813	C-HEMBA1006813	
AK172740	PSEC0234(FLJ91228)	HEMBA1007044	C-HEMBA1007044	
AK075535	PSEC0235(FLJ91229)	HEMBA1007053	C-HEMBA1007053	
AK075536	PSEC0236(FLJ91230)	HEMBA1007104	C-HEMBA1007104	
AK075537	PSEC0237(FLJ91231)	HEMBA1007186	C-HEMBA1007186	
AK075538	PSEC0238(FLJ91232)	HEMBA1007299	C-HEMBA1007299	
AK075539	PSEC0239(FLJ91233)	OVARC1000363	C-OVARC1000363	
AK075540	PSEC0240(FLJ91234)	OVARC1001510	C-OVARC1001510	
AK075541	PSEC0241(FLJ91235)	NT2RP3000234	C-NT2RP3000234	
AK075542	PSEC0242(FLJ91236)	NT2RP3000266	C-NT2RP3000266	
AK075543	PSEC0243(FLJ91237)	NT2RP3000326	C-NT2RP3000326	
AK075544	PSEC0244(FLJ91238)	NT2RP3000638	C-NT2RP3000638	
AK075545	PSEC0245(FLJ91239)	NT2RP3000719	C-NT2RP3000719	
AK075546	PSEC0246(FLJ91240)	NT2RP3001359	C-NT2RP3001359	
AK075547	PSEC0247(FLJ91241)	NT2RP3001613	C-NT2RP3001613	
AK075548	PSEC0248(FLJ91242)	NT2RP3001619	C-NT2RP3001619	
AK075549	PSEC0249(FLJ91243)	NT2RP3001861	C-NT2RP3001861	
AK075550	PSEC0250(FLJ91244)	NT2RP3001874	C-NT2RP3001874	
AK075551	PSEC0251(FLJ91245)	NT2RP3003097	C-NT2RP3003097	
AK075552	PSEC0252(FLJ91246)	NT2RP3003258	C-NT2RP3003258	
AK075553	PSEC0253(FLJ91247)	NT2RP3003368	C-NT2RP3003368	
AK075554	PSEC0254(FLJ91248)	NT2RP3003474	C-NT2RP3003474	
AK075555	PSEC0255(FLJ91249)	NT2RP3003536	C-NT2RP3003536	
AK075556	PSEC0256(FLJ91250)	NT2RP3003549	C-NT2RP3003549	
AK075557	PSEC0257(FLJ91251)	NT2RP3003642	C-NT2RP3003642	
AK075558	PSEC0258(FLJ91252)	NT2RP3003731	C-NT2RP3003731	
AK075559	PSEC0259(FLJ91253)	NT2RP3003789	C-NT2RP3003789	
AK075560	PSEC0260(FLJ91254)	NT2RP3004059	C-NT2RP3004059	
AK075561	PSEC0261(FLJ91255)	NT2RP3004063	C-NT2RP3004063	
AK075562	PSEC0262(FLJ91256)	NT2RP3004505	C-NT2RP3004505	
AK075563	PSEC0263(FLJ91257)	NT2RP3004541	C-NT2RP3004541	
AK075564	PSEC0264(FLJ91258)	NT2RP3002337	C-NT2RP3002337	
AK075565	PSEC0265(FLJ91259)	NT2RP3003235	C-NT2RP3003235	
AK075566	PSEC0266(FLJ91260)	NT2RP3003649	C-NT2RP3003649	
AK074483	FLJ90002	BNGH41000087	C-BNGH41000087	
AK074484	FLJ90003	BNGH41000091	C-BNGH41000091	
AK074485	FLJ90004	HEMBA1000006	C-HEMBA1000006	
AK074486	FLJ90005	HEMBA1000084	C-HEMBA1000084	
AK074487	FLJ90006	HEMBA1000121	C-HEMBA1000121	
AK074488	FLJ90007	HEMBA1000128	C-HEMBA1000128	
AK074489	FLJ90008	HEMBA1000275	C-HEMBA1000275	
AK074490	FLJ90009	HEMBA1000300	C-HEMBA1000300	
AK074491	FLJ90010	HEMBA1000349	C-HEMBA1000349	
AK074492	FLJ90011	HEMBA1000443	C-HEMBA1000443	
AK074493	FLJ90012	HEMBA1000462	C-HEMBA1000462	
AK074494	FLJ90013	HEMBA1000477	C-HEMBA1000477	
AK074495	FLJ90014	HEMBA1000590	C-HEMBA1000590	
AK074496	FLJ90015	HEMBA1000634	C-HEMBA1000634	
AK074497	FLJ90016	HEMBA1000671	C-HEMBA1000671	
AK074498	FLJ90017	HEMBA1000713	C-HEMBA1000713	
AK074499	FLJ90018	HEMBA1000732	C-HEMBA1000732	
AK074500	FLJ90019	HEMBA1000745	C-HEMBA1000745	
AK074502	FLJ90021	HEMBA1000875	C-HEMBA1000875	
AK074503	FLJ90022	HEMBA1000907	C-HEMBA1000907	
AK074504	FLJ90023	HEMBA1000940	C-HEMBA1000940	
AK074505	FLJ90024	HEMBA1000962	C-HEMBA1000962	
AK074507	FLJ90026	HEMBA1001221	C-HEMBA1001221	
AK074508	FLJ90027	HEMBA1001228	C-HEMBA1001228	
AK074509	FLJ90028	HEMBA1001272	C-HEMBA1001272	
AK074510	FLJ90029	HEMBA1001296	C-HEMBA1001296	
AK074511	FLJ90030	HEMBA1001297	C-HEMBA1001297	
AK074512	FLJ90031	HEMBA1001390	C-HEMBA1001390	
AK074513	FLJ90032	HEMBA1001563	C-HEMBA1001563	
AK074514	FLJ90033	HEMBA1001621	C-HEMBA1001621	
AK074515	FLJ90034	HEMBA1001794	C-HEMBA1001794	
AK074516	FLJ90035	HEMBA1001878	C-HEMBA1001878	
AK074518	FLJ90037	HEMBA1002048	C-HEMBA1002048	
AK074519	FLJ90038	HEMBA1002131	C-HEMBA1002131	
AK074520	FLJ90039	HEMBA1002163	C-HEMBA1002163	
AK074521	FLJ90040	HEMBA1002164	C-HEMBA1002164	
AK074522	FLJ90041	HEMBA1002167	C-HEMBA1002167	
AK074523	FLJ90042	HEMBA1002178	C-HEMBA1002178	
AK074524	FLJ90043	HEMBA1002179	C-HEMBA1002179	
AK074525	FLJ90044	HEMBA1002195	C-HEMBA1002195	
AK074526	FLJ90045	HEMBA1002227	C-HEMBA1002227	
AK074527	FLJ90046	HEMBA1002239	C-HEMBA1002239	
AK074528	FLJ90047	HEMBA1002316	C-HEMBA1002316	
AK074529	FLJ90048	HEMBA1002420	C-HEMBA1002420	
AK074530	FLJ90049	HEMBA1002421	C-HEMBA1002421	
AK074531	FLJ90050	HEMBA1002524	C-HEMBA1002524	
AK074532	FLJ90051	HEMBA1002551	C-HEMBA1002551	
AK074533	FLJ90052	HEMBA1002767	C-HEMBA1002767	
AK074534	FLJ90053	HEMBA1002985	C-HEMBA1002985	
AK074535	FLJ90054	HEMBA1002992	C-HEMBA1002992	
AK074536	FLJ90055	HEMBA1003047	C-HEMBA1003047	
AK074537	FLJ90056	HEMBA1003072	C-HEMBA1003072	
AK074538	FLJ90057	HEMBA1003101	C-HEMBA1003101	
AK074539	FLJ90058	HEMBA1003120	C-HEMBA1003120	
AK074540	FLJ90059	HEMBA1003230	C-HEMBA1003230	
AK074541	FLJ90060	HEMBA1003294	C-HEMBA1003294	
AK074542	FLJ90061	HEMBA1003315	C-HEMBA1003315	
AK074543	FLJ90062	HEMBA1003392	C-HEMBA1003392	
AK074544	FLJ90063	HEMBA1003399	C-HEMBA1003399	
AK074545	FLJ90064	HEMBA1003487	C-HEMBA1003487	
AK074546	FLJ90065	HEMBA1003497	C-HEMBA1003497	
AK074547	FLJ90066	HEMBA1003530	C-HEMBA1003530	
AK074548	FLJ90067	HEMBA1003602	C-HEMBA1003602	
AK074549	FLJ90068	HEMBA1003732	C-HEMBA1003732	
AK074550	FLJ90069	HEMBA1003945	C-HEMBA1003945	
AK074551	FLJ90070	HEMBA1004007	C-HEMBA1004007	
AK074552	FLJ90071	HEMBA1004067	C-HEMBA1004067	
AK074553	FLJ90072	HEMBA1004085	C-HEMBA1004085	
AK074554	FLJ90073	HEMBA1004110	C-HEMBA1004110	
AK074555	FLJ90074	HEMBA1004250	C-HEMBA1004250	
AK074556	FLJ90075	HEMBA1004391	C-HEMBA1004391	
AK074557	FLJ90076	HEMBA1004444	C-HEMBA1004444	
AK074558	FLJ90077	HEMBA1004454	C-HEMBA1004454	
AK074559	FLJ90078	HEMBA1004505	C-HEMBA1004505	
AK074560	FLJ90079	HEMBA1004785	C-HEMBA1004785	
AK074561	FLJ90080	HEMBA1004797	C-HEMBA1004797	
AK074562	FLJ90081	HEMBA1004952	C-HEMBA1004952	
AK074563	FLJ90082	HEMBA1004971	C-HEMBA1004971	
AK074564	FLJ90083	HEMBA1004982	C-HEMBA1004982	
AK074565	FLJ90084	HEMBA1005070	C-HEMBA1005070	
AK074566	FLJ90085	HEMBA1005084	C-HEMBA1005084	
AK074567	FLJ90086	HEMBA1005145	C-HEMBA1005145	
AK074568	FLJ90087	HEMBA1005230	C-HEMBA1005230	
AK074570	FLJ90089	HEMBA1005267	C-HEMBA1005267	
AK074571	FLJ90090	HEMBA1005430	C-HEMBA1005430	
AK074572	FLJ90091	HEMBA1005449	C-HEMBA1005449	
AK074573	FLJ90092	HEMBA1005489	C-HEMBA1005489	
AK074574	FLJ90093	HEMBA1005522	C-HEMBA1005522	
AK074575	FLJ90094	HEMBA1005545	C-HEMBA1005545	
AK074576	FLJ90095	HEMBA1005698	C-HEMBA1005698	
AK074577	FLJ90096	HEMBA1005913	C-HEMBA1005913	
AK074578	FLJ90097	HEMBA1005929	C-HEMBA1005929	
AK074579	FLJ90098	HEMBA1005945	C-HEMBA1005945	
AK074580	FLJ90099	HEMBA1006016	C-HEMBA1006016	
AK074581	FLJ90100	HEMBA1006171	C-HEMBA1006171	
AK074582	FLJ90101	HEMBA1006276	C-HEMBA1006276	
AK074583	FLJ90102	HEMBA1006299	C-HEMBA1006299	
AK074584	FLJ90103	HEMBA1006311	C-HEMBA1006311	
AK074585	FLJ90104	HEMBA1006335	C-HEMBA1006335	
AK074586	FLJ90105	HEMBA1006357	C-HEMBA1006357	
