ENSG_ID,NCBI_ID,HGNC_ID,collision,primary_gene_symbol,source
ENSG00000164742,GENE ID:107,HGNC:232,AC1,ADCY1,ENSG
ENSG00000266079,,HGNC:32658,ACA59,SNORA59B,ENSG
ENSG00000239149,GENE ID:677882,HGNC:32653,ACA59,SNORA59A,ENSG
ENSG00000239149,GENE ID:677885,HGNC:32653,ACA59,SNORA59A,ENSG
ENSG00000057252,GENE ID:6646,HGNC:11177,ACAT,SOAT1,ENSG
ENSG00000075239,GENE ID:38,HGNC:93,ACAT,ACAT1,ENSG
ENSG00000155368,GENE ID:1622,HGNC:2690,ACBP,DBI,ENSG
ENSG00000178772,GENE ID:1370,HGNC:2313,ACBP,CPN2,ENSG
ENSG00000140379,GENE ID:597,HGNC:991,ACC1,BCL2A1,ENSG
ENSG00000278540,GENE ID:31,HGNC:84,ACC1,ACACA,ENSG
ENSG00000275176,GENE ID:31,HGNC:84,ACC1,ACACA,ENSG
ENSG00000076555,GENE ID:32,HGNC:85,ACC2,ACACB,ENSG
ENSG00000140379,GENE ID:597,HGNC:991,ACC2,BCL2A1,ENSG
ENSG00000278540,GENE ID:31,HGNC:84,ACCA,ACACA,ENSG
ENSG00000275176,GENE ID:31,HGNC:84,ACCA,ACACA,ENSG
ENSG00000181773,GENE ID:2827,HGNC:4484,ACCA,GPR3,ENSG
ENSG00000110455,GENE ID:84680,HGNC:23989,ACS,ACCS,ENSG
ENSG00000131069,GENE ID:55902,HGNC:15814,ACS,ACSS2,ENSG
ENSG00000197142,GENE ID:51703,HGNC:16526,ACS2,ACSL5,ENSG
ENSG00000164398,GENE ID:23305,HGNC:16496,ACS2,ACSL6,ENSG
ENSG00000122691,GENE ID:7291,HGNC:12428,ACS3,TWIST1,ENSG
ENSG00000123983,GENE ID:2181,HGNC:3570,ACS3,ACSL3,ENSG
ENSG00000066813,GENE ID:348158,HGNC:30931,ACSM2,ACSM2B,ENSG
ENSG00000183747,GENE ID:123876,HGNC:32017,ACSM2,ACSM2A,ENSG
ENSG00000196136,GENE ID:12,HGNC:16,ACT,SERPINA3,ENSG
ENSG00000097021,GENE ID:11332,HGNC:24157,ACT,ACOT7,ENSG
ENSG00000112214,GENE ID:9457,HGNC:17371,ACT,FHL5,ENSG
ENSG00000222036,GENE ID:641455,HGNC:37096,ACT,POTEM,ENSG
ENSG00000077080,GENE ID:51412,HGNC:160,ACTL6,ACTL6B,ENSG
ENSG00000136518,GENE ID:86,HGNC:24124,ACTL6,ACTL6A,ENSG
ENSG00000106799,GENE ID:7046,HGNC:11772,ACVRLK4,TGFBR1,ENSG
ENSG00000135503,GENE ID:91,HGNC:172,ACVRLK4,ACVR1B,ENSG
ENSG00000121933,GENE ID:57413,HGNC:51375,AD026,TMIGD3,ENSG
ENSG00000282608,GENE ID:140,HGNC:268,AD026,ADORA3,ENSG
ENSG00000142192,GENE ID:351,HGNC:620,AD1,APP,ENSG
ENSG00000135404,GENE ID:967,HGNC:1692,AD1,CD63,ENSG
ENSG00000204634,GENE ID:11138,HGNC:17791,AD3,TBC1D8,ENSG
ENSG00000080815,GENE ID:5663,HGNC:9508,AD3,PSEN1,ENSG
ENSG00000196839,GENE ID:100,HGNC:186,ADA1,ADA,ENSG
ENSG00000152382,GENE ID:117143,HGNC:30631,ADA1,TADA1,ENSG
ENSG00000142794,GENE ID:84224,HGNC:25076,AE2,NBPF3,ENSG
ENSG00000164889,GENE ID:6522,HGNC:11028,AE2,SLC4A2,ENSG
ENSG00000262795,GENE ID:3460,HGNC:5440,AF-1,IFNGR2,ENSG
ENSG00000159352,GENE ID:5710,HGNC:9561,AF-1,PSMD4,ENSG
ENSG00000159128,GENE ID:3460,HGNC:5440,AF-1,IFNGR2,ENSG
ENSG00000106541,GENE ID:10551,HGNC:328,AG2,AGR2,ENSG
ENSG00000187479,GENE ID:387763,HGNC:38675,AG2,C11orf96,ENSG
ENSG00000157766,GENE ID:176,HGNC:319,AGC1,ACAN,ENSG
ENSG00000292099,GENE ID:8604,HGNC:10982,AGC1,SLC25A12,ENSG
ENSG00000115840,GENE ID:8604,HGNC:10982,AGC1,SLC25A12,ENSG
ENSG00000275079,GENE ID:79888,HGNC:25718,AGPAT10,LPCAT1,ENSG
ENSG00000138678,GENE ID:84803,HGNC:28157,AGPAT10,GPAT3,ENSG
ENSG00000153395,GENE ID:79888,HGNC:25718,AGPAT10,LPCAT1,ENSG
ENSG00000138678,GENE ID:84803,HGNC:28157,AGPAT9,GPAT3,ENSG
ENSG00000275079,GENE ID:79888,HGNC:25718,AGPAT9,LPCAT1,ENSG
ENSG00000153395,GENE ID:79888,HGNC:25718,AGPAT9,LPCAT1,ENSG
ENSG00000108551,GENE ID:51655,HGNC:15828,AGS1,RASD1,ENSG
ENSG00000213689,GENE ID:11277,HGNC:12269,AGS1,TREX1,ENSG
ENSG00000172922,GENE ID:84153,HGNC:24116,AGS3,RNASEH2C,ENSG
ENSG00000160360,GENE ID:26086,HGNC:17858,AGS3,GPSM1,ENSG
ENSG00000237052,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000104889,GENE ID:10535,HGNC:18518,AGS4,RNASEH2A,ENSG
ENSG00000234243,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000206314,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000233490,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000234508,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000213654,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000236697,GENE ID:63940,HGNC:13945,AGS4,GPSM3,ENSG
ENSG00000173209,,HGNC:20437,AHA1,AHSA2P,ENSG
ENSG00000293434,GENE ID:130872,,AHA1,AHSA2P,ENSG
ENSG00000100591,GENE ID:10598,HGNC:1189,AHA1,AHSA1,ENSG
ENSG00000163382,GENE ID:128240,HGNC:18453,AIBP,NAXE,ENSG
ENSG00000127423,GENE ID:79000,HGNC:28363,AIBP,AUNIP,ENSG
ENSG00000178999,GENE ID:9212,HGNC:11390,AIM-1,AURKB,ENSG
ENSG00000164175,GENE ID:51151,HGNC:16472,AIM-1,SLC45A2,ENSG
ENSG00000281919,GENE ID:51151,HGNC:16472,AIM-1,SLC45A2,ENSG
ENSG00000170540,GENE ID:23204,HGNC:697,AIP1,ARL6IP1,ENSG
ENSG00000170248,GENE ID:10015,HGNC:8766,AIP1,PDCD6IP,ENSG
ENSG00000136848,GENE ID:153090,HGNC:17294,AIP1,DAB2IP,ENSG
ENSG00000187391,GENE ID:9863,HGNC:18957,AIP1,MAGI2,ENSG
ENSG00000123165,GENE ID:139741,HGNC:24027,AIP1,ACTRT1,ENSG
ENSG00000071127,GENE ID:9948,HGNC:12754,AIP1,WDR1,ENSG
ENSG00000147853,GENE ID:50808,HGNC:17376,AK3L1,AK3,ENSG
ENSG00000162433,GENE ID:205,HGNC:363,AK3L1,AK4,ENSG
ENSG00000198336,GENE ID:4635,HGNC:7585,ALC1,MYL4,ENSG
ENSG00000131778,GENE ID:9557,HGNC:1916,ALC1,CHD1L,ENSG
ENSG00000143149,GENE ID:223,HGNC:412,ALDH4,ALDH9A1,ENSG
ENSG00000159423,GENE ID:8659,HGNC:406,ALDH4,ALDH4A1,ENSG
ENSG00000006534,GENE ID:221,HGNC:410,ALDH7,ALDH3B1,ENSG
ENSG00000143149,GENE ID:223,HGNC:412,ALDH7,ALDH9A1,ENSG
ENSG00000213452,,HGNC:425,ALDRP,AKR1B1P2,ENSG
ENSG00000173208,GENE ID:225,HGNC:66,ALDRP,ABCD2,ENSG
ENSG00000259974,GENE ID:140828,HGNC:16189,ALIEN,LINC00261,ENSG
ENSG00000166200,GENE ID:9318,HGNC:30747,ALIEN,COPS2,ENSG
ENSG00000171094,GENE ID:238,HGNC:427,ALK1,ALK,ENSG
ENSG00000139567,GENE ID:94,HGNC:175,ALK1,ACVRL1,ENSG
ENSG00000124107,GENE ID:6590,HGNC:11092,ALK1,SLPI,ENSG
ENSG00000162174,GENE ID:80150,HGNC:16448,ALP,ASRGL1,ENSG
ENSG00000213927,GENE ID:10850,HGNC:10626,ALP,CCL27,ENSG
ENSG00000124107,GENE ID:6590,HGNC:11092,ALP,SLPI,ENSG
ENSG00000107518,GENE ID:26033,HGNC:29063,ALP,ATRNL1,ENSG
ENSG00000154553,GENE ID:27295,HGNC:20767,ALP,PDLIM3,ENSG
ENSG00000162174,GENE ID:80150,HGNC:16448,ALP1,ASRGL1,ENSG
ENSG00000154438,GENE ID:136991,HGNC:1350,ALP1,ASZ1,ENSG
ENSG00000167548,GENE ID:8085,HGNC:7133,ALR,KMT2D,ENSG
ENSG00000117448,GENE ID:10327,HGNC:380,ALR,AKR1A1,ENSG
ENSG00000291944,GENE ID:2671,HGNC:4236,ALR,GFER,ENSG
ENSG00000127554,GENE ID:2671,HGNC:4236,ALR,GFER,ENSG
ENSG00000099769,GENE ID:3483,HGNC:5468,ALS,IGFALS,ENSG
ENSG00000142168,GENE ID:6647,HGNC:11179,ALS,SOD1,ENSG
ENSG00000171049,GENE ID:2358,HGNC:3827,ALX,FPR2,ENSG
ENSG00000196684,GENE ID:84941,HGNC:24920,ALX,HSH2D,ENSG
ENSG00000148926,GENE ID:133,HGNC:259,AM,ADM,ENSG
ENSG00000171681,GENE ID:55729,HGNC:20092,AM,ATF7IP,ENSG
ENSG00000130598,GENE ID:7136,HGNC:11946,AMCD2B,TNNI2,ENSG
ENSG00000288250,GENE ID:7140,HGNC:11950,AMCD2B,TNNT3,ENSG
ENSG00000130595,GENE ID:7140,HGNC:11950,AMCD2B,TNNT3,ENSG
ENSG00000288219,GENE ID:7136,HGNC:11946,AMCD2B,TNNI2,ENSG
ENSG00000237763,GENE ID:128966570,HGNC:474,AMY1,AMY1A,ENSG
ENSG00000237763,GENE ID:128966568,HGNC:474,AMY1,AMY1A,ENSG
ENSG00000174876,GENE ID:128966570,HGNC:475,AMY1,AMY1B,ENSG
ENSG00000174876,GENE ID:277,HGNC:475,AMY1,AMY1B,ENSG
ENSG00000237763,GENE ID:276,HGNC:474,AMY1,AMY1A,ENSG
ENSG00000187733,GENE ID:278,HGNC:476,AMY1,AMY1C,ENSG
ENSG00000174876,GENE ID:124905666,HGNC:475,AMY1,AMY1B,ENSG
ENSG00000187733,GENE ID:124905666,HGNC:476,AMY1,AMY1C,ENSG
ENSG00000237763,GENE ID:124905668,HGNC:474,AMY1,AMY1A,ENSG
ENSG00000174876,GENE ID:124905668,HGNC:475,AMY1,AMY1B,ENSG
ENSG00000187733,GENE ID:124905668,HGNC:476,AMY1,AMY1C,ENSG
ENSG00000237763,GENE ID:124905666,HGNC:474,AMY1,AMY1A,ENSG
ENSG00000187733,GENE ID:128966568,HGNC:476,AMY1,AMY1C,ENSG
ENSG00000187733,GENE ID:128966570,HGNC:476,AMY1,AMY1C,ENSG
ENSG00000174876,GENE ID:128966568,HGNC:475,AMY1,AMY1B,ENSG
ENSG00000240038,GENE ID:280,HGNC:478,AMY2,AMY2B,ENSG
ENSG00000243480,GENE ID:279,HGNC:477,AMY2,AMY2A,ENSG
ENSG00000150636,GENE ID:79839,HGNC:26295,AN,CCDC102B,ENSG
ENSG00000139734,GENE ID:81624,HGNC:15480,AN,DIAPH3,ENSG
ENSG00000007372,GENE ID:5080,HGNC:8620,AN,PAX6,ENSG
ENSG00000114062,GENE ID:7337,HGNC:12496,ANCR,UBE3A,ENSG
ENSG00000226950,GENE ID:57291,HGNC:28964,ANCR,DANCR,ENSG
ENSG00000154188,GENE ID:284,HGNC:484,ANG1,ANGPT1,ENSG
ENSG00000149809,GENE ID:7108,HGNC:11863,ANG1,TM7SF2,ENSG
ENSG00000149823,GENE ID:738,HGNC:1172,ANG2,VPS51,ENSG
ENSG00000091879,GENE ID:285,HGNC:485,ANG2,ANGPT2,ENSG
ENSG00000116194,GENE ID:9068,HGNC:489,ANG3,ANGPTL1,ENSG
ENSG00000149823,GENE ID:738,HGNC:1172,ANG3,VPS51,ENSG
ENSG00000154122,GENE ID:56172,HGNC:15492,ANK,ANKH,ENSG
ENSG00000029534,GENE ID:286,HGNC:492,ANK,ANK1,ENSG
ENSG00000138356,GENE ID:316,HGNC:553,AOH1,AOX1,ENSG
ENSG00000244301,,HGNC:19049,AOH1,AOX3P,ENSG
ENSG00000170345,GENE ID:2353,HGNC:3796,AP-1,FOS,ENSG
ENSG00000177606,GENE ID:3725,HGNC:6204,AP-1,JUN,ENSG
ENSG00000125740,GENE ID:2354,HGNC:3797,AP-1,FOSB,ENSG
ENSG00000130522,GENE ID:3727,HGNC:6206,AP-1,JUND,ENSG
ENSG00000122034,GENE ID:2971,HGNC:4662,AP2,GTF3A,ENSG
ENSG00000170323,GENE ID:2167,HGNC:3559,AP2,FABP4,ENSG
ENSG00000001561,GENE ID:22875,HGNC:3359,AP3AASE,ENPP4,ENSG
ENSG00000189283,GENE ID:2272,HGNC:3701,AP3AASE,FHIT,ENSG
ENSG00000100478,GENE ID:11154,HGNC:575,AP47B,AP4S1,ENSG
ENSG00000070718,GENE ID:10947,HGNC:570,AP47B,AP3M2,ENSG
ENSG00000284468,GENE ID:29957,HGNC:20662,APC1,SLC25A24,ENSG
ENSG00000153107,GENE ID:64682,HGNC:19988,APC1,ANAPC1,ENSG
ENSG00000085491,GENE ID:29957,HGNC:20662,APC1,SLC25A24,ENSG
ENSG00000125648,GENE ID:79085,HGNC:19375,APC2,SLC25A23,ENSG
ENSG00000176248,GENE ID:29882,HGNC:19989,APC2,ANAPC2,ENSG
ENSG00000181240,GENE ID:284427,HGNC:28533,APC4,SLC25A41,ENSG
ENSG00000053900,GENE ID:29945,HGNC:19990,APC4,ANAPC4,ENSG
ENSG00000196510,GENE ID:51434,HGNC:17380,APC7,ANAPC7,ENSG
ENSG00000168077,GENE ID:51435,HGNC:19000,APC7,SCARA3,ENSG
ENSG00000115355,GENE ID:55704,HGNC:25523,APE,CCDC88A,ENSG
ENSG00000100823,GENE ID:328,HGNC:587,APE,APEX1,ENSG
ENSG00000291796,GENE ID:328,HGNC:587,APE,APEX1,ENSG
ENSG00000162736,GENE ID:23385,HGNC:17091,APH2,NCSTN,ENSG
ENSG00000171307,GENE ID:84287,HGNC:20714,APH2,ZDHHC16,ENSG
ENSG00000166181,GENE ID:8539,HGNC:594,API5L1,API5,ENSG
ENSG00000234558,,HGNC:595,API5L1,API5P1,ENSG
ENSG00000141682,GENE ID:5366,HGNC:9108,APR,PMAIP1,ENSG
ENSG00000123384,GENE ID:4035,HGNC:6692,APR,LRP1,ENSG
ENSG00000161955,GENE ID:8741,HGNC:11928,APRIL,TNFSF13,ENSG
ENSG00000136938,GENE ID:10541,HGNC:16677,APRIL,ANP32B,ENSG
ENSG00000141232,GENE ID:10140,HGNC:11979,APRO5,TOB1,ENSG
ENSG00000183864,GENE ID:10766,HGNC:11980,APRO5,TOB2,ENSG
ENSG00000142515,GENE ID:354,HGNC:6364,APS,KLK3,ENSG
ENSG00000160999,GENE ID:10603,HGNC:17381,APS,SH2B2,ENSG
ENSG00000161513,GENE ID:2232,HGNC:3642,AR,FDXR,ENSG
ENSG00000109321,GENE ID:374,HGNC:651,AR,AREG,ENSG
ENSG00000085662,GENE ID:231,HGNC:381,AR,AKR1B1,ENSG
ENSG00000091262,GENE ID:368,HGNC:57,ARA,ABCC6,ENSG
ENSG00000054598,GENE ID:2296,HGNC:3800,ARA,FOXC1,ENSG
ENSG00000275331,GENE ID:368,HGNC:57,ARA,ABCC6,ENSG
ENSG00000113595,GENE ID:373,HGNC:660,ARD1,TRIM23,ENSG
ENSG00000102030,GENE ID:8260,HGNC:18704,ARD1,NAA10,ENSG
ENSG00000117751,GENE ID:5511,HGNC:9296,ARD1,PPP1R8,ENSG
ENSG00000142599,GENE ID:473,HGNC:9965,ARG,RERE,ENSG
ENSG00000143322,GENE ID:27,HGNC:77,ARG,ABL2,ENSG
ENSG00000157978,GENE ID:26119,HGNC:18640,ARH2,LDLRAP1,ENSG
ENSG00000153531,GENE ID:113622,HGNC:21303,ARH2,ADPRHL1,ENSG
ENSG00000123165,GENE ID:139741,HGNC:24027,ARIP1,ACTRT1,ENSG
ENSG00000187391,GENE ID:9863,HGNC:18957,ARIP1,MAGI2,ENSG
ENSG00000167601,GENE ID:558,HGNC:905,ARK,AXL,ENSG
ENSG00000157450,GENE ID:54778,HGNC:17384,ARK,RNF111,ENSG
ENSG00000101246,GENE ID:10139,HGNC:662,ARP,ARFRP1,ENSG
ENSG00000124812,GENE ID:167,HGNC:304,ARP,CRISP1,ENSG
ENSG00000145050,GENE ID:7873,HGNC:15461,ARP,MANF,ENSG
ENSG00000142599,GENE ID:473,HGNC:9965,ARP,RERE,ENSG
ENSG00000101246,GENE ID:10139,HGNC:662,ARP1,ARFRP1,ENSG
ENSG00000138107,GENE ID:10121,HGNC:167,ARP1,ACTR1A,ENSG
ENSG00000164093,GENE ID:5308,HGNC:9005,ARP1,PITX2,ENSG
ENSG00000124701,GENE ID:10930,HGNC:605,ARP1,APOBEC2,ENSG
ENSG00000185551,GENE ID:7026,HGNC:7976,ARP1,NR2F2,ENSG
ENSG00000116194,GENE ID:9068,HGNC:489,ARP1,ANGPTL1,ENSG
ENSG00000100298,GENE ID:164668,HGNC:24100,ARP10,APOBEC3H,ENSG
ENSG00000131966,GENE ID:55860,HGNC:17372,ARP10,ACTR10,ENSG
ENSG00000106526,GENE ID:653857,HGNC:37282,ARP11,ACTR3C,ENSG
ENSG00000131966,GENE ID:55860,HGNC:17372,ARP11,ACTR10,ENSG
ENSG00000133627,GENE ID:57180,HGNC:17256,ARP11,ACTR3B,ENSG
ENSG00000111732,GENE ID:57379,HGNC:13203,ARP2,AICDA,ENSG
ENSG00000138071,GENE ID:10097,HGNC:169,ARP2,ACTR2,ENSG
ENSG00000136859,GENE ID:23452,HGNC:490,ARP2,ANGPTL2,ENSG
ENSG00000115091,GENE ID:10096,HGNC:170,ARP3,ACTR3,ENSG
ENSG00000128383,GENE ID:200315,HGNC:17343,ARP3,APOBEC3A,ENSG
ENSG00000128383,GENE ID:100913187,HGNC:17343,ARP3,APOBEC3A,ENSG
ENSG00000262156,GENE ID:100913187,HGNC:17343,ARP3,APOBEC3A,ENSG
ENSG00000262156,GENE ID:200315,HGNC:17343,ARP3,APOBEC3A,ENSG
ENSG00000167772,GENE ID:51129,HGNC:16039,ARP4,ANGPTL4,ENSG
ENSG00000136518,GENE ID:86,HGNC:24124,ARP4,ACTL6A,ENSG
ENSG00000244509,GENE ID:27350,HGNC:17353,ARP5,APOBEC3C,ENSG
ENSG00000130812,GENE ID:83854,HGNC:23140,ARP5,ANGPTL6,ENSG
ENSG00000101442,GENE ID:79913,HGNC:14671,ARP5,ACTR5,ENSG
ENSG00000075089,GENE ID:64431,HGNC:24025,ARP6,ACTR6,ENSG
ENSG00000243811,GENE ID:140564,HGNC:17354,ARP6,APOBEC3D,ENSG
ENSG00000128394,GENE ID:200316,HGNC:17356,ARP8,APOBEC3F,ENSG
ENSG00000113812,GENE ID:93973,HGNC:14672,ARP8,ACTR8,ENSG
ENSG00000223532,GENE ID:3106,HGNC:4932,AS,HLA-B,ENSG
ENSG00000206450,GENE ID:3106,HGNC:4932,AS,HLA-B,ENSG
ENSG00000234745,GENE ID:3106,HGNC:4932,AS,HLA-B,ENSG
ENSG00000114062,GENE ID:7337,HGNC:12496,AS,UBE3A,ENSG
ENSG00000228964,GENE ID:3106,HGNC:4932,AS,HLA-B,ENSG
ENSG00000224608,GENE ID:3106,HGNC:4932,AS,HLA-B,ENSG
ENSG00000232126,GENE ID:3106,HGNC:4932,AS,HLA-B,ENSG
ENSG00000164114,GENE ID:79884,HGNC:26118,ASAP,MAP9,ENSG
ENSG00000153363,,HGNC:28227,ASAP,LINC00467,ENSG
ENSG00000113273,GENE ID:411,HGNC:714,ASB,ARSB,ENSG
ENSG00000158578,GENE ID:212,HGNC:397,ASB,ALAS2,ENSG
ENSG00000130876,GENE ID:56301,HGNC:11058,ASC-1,SLC7A10,ENSG
ENSG00000103671,GENE ID:9325,HGNC:12310,ASC-1,TRIP4,ENSG
ENSG00000198646,GENE ID:23054,HGNC:15936,ASC2,NCOA6,ENSG
ENSG00000169900,GENE ID:260434,HGNC:30261,ASC2,PYDC1,ENSG
ENSG00000136450,GENE ID:6426,HGNC:10780,ASF,SRSF1,ENSG
ENSG00000062096,GENE ID:416,HGNC:721,ASF,ARSF,ENSG
ENSG00000139352,GENE ID:429,HGNC:738,ASH1,ASCL1,ENSG
ENSG00000116539,GENE ID:55870,HGNC:19088,ASH1,ASH1L,ENSG
ENSG00000129691,GENE ID:9070,HGNC:744,ASH2,ASH2L,ENSG
ENSG00000183734,GENE ID:430,HGNC:739,ASH2,ASCL2,ENSG
ENSG00000166311,GENE ID:6609,HGNC:11120,ASM,SMPD1,ENSG
ENSG00000130600,GENE ID:283120,HGNC:4713,ASM,H19,ENSG
ENSG00000288237,GENE ID:283120,HGNC:4713,ASM,H19,ENSG
ENSG00000066279,GENE ID:259266,HGNC:19048,ASP,ASPM,ENSG
ENSG00000057663,GENE ID:9474,HGNC:589,ASP,ATG5,ENSG
ENSG00000101440,GENE ID:434,HGNC:745,ASP,ASIP,ENSG
ENSG00000148584,GENE ID:29974,HGNC:24086,ASP,A1CF,ENSG
ENSG00000153802,GENE ID:9407,HGNC:24059,ASP,TMPRSS11D,ENSG
ENSG00000108381,GENE ID:443,HGNC:756,ASP,ASPA,ENSG
ENSG00000145491,GENE ID:83853,HGNC:24060,ASP,ROPN1L,ENSG
ENSG00000119899,GENE ID:26503,HGNC:10933,AST,SLC17A5,ENSG
ENSG00000120053,GENE ID:2805,HGNC:4432,AST,GOT1,ENSG
ENSG00000144891,GENE ID:185,HGNC:336,AT1,AGTR1,ENSG
ENSG00000169359,GENE ID:9197,HGNC:95,AT1,SLC33A1,ENSG
ENSG00000282728,,HGNC:52650,AT1,PGR-AS1,ENSG
ENSG00000180772,GENE ID:186,HGNC:338,AT2,AGTR2,ENSG
ENSG00000282728,,HGNC:52650,AT2,PGR-AS1,ENSG
ENSG00000282728,,HGNC:52650,AT3,PGR-AS1,ENSG
ENSG00000117601,GENE ID:462,HGNC:775,AT3,SERPINC1,ENSG
ENSG00000149311,GENE ID:472,HGNC:795,ATDC,ATM,ENSG
ENSG00000137699,GENE ID:23650,HGNC:17274,ATDC,TRIM29,ENSG
ENSG00000154723,GENE ID:522,HGNC:847,ATP5A,ATP5PF,ENSG
ENSG00000152234,GENE ID:498,HGNC:823,ATP5A,ATP5F1A,ENSG
ENSG00000185883,GENE ID:527,HGNC:855,ATP6C,ATP6V0C,ENSG
ENSG00000155097,GENE ID:528,HGNC:856,ATP6C,ATP6V1C1,ENSG
ENSG00000155097,GENE ID:528,HGNC:856,ATP6D,ATP6V1C1,ENSG
ENSG00000159720,GENE ID:9114,HGNC:13724,ATP6D,ATP6V0D1,ENSG
ENSG00000206445,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000226850,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000213760,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000234920,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000234668,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000230900,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000136888,GENE ID:9550,HGNC:864,ATP6G,ATP6V1G1,ENSG
ENSG00000227587,GENE ID:534,HGNC:862,ATP6G,ATP6V1G2,ENSG
ENSG00000154723,GENE ID:522,HGNC:847,ATPM,ATP5PF,ENSG
ENSG00000152234,GENE ID:498,HGNC:823,ATPM,ATP5F1A,ENSG
ENSG00000258597,GENE ID:390502,HGNC:8985,ATR,SERPINA2,ENSG
ENSG00000169604,GENE ID:84168,HGNC:21014,ATR,ANTXR1,ENSG
ENSG00000274821,GENE ID:390502,HGNC:8985,ATR,SERPINA2,ENSG
ENSG00000144891,GENE ID:185,HGNC:336,ATR1,AGTR1,ENSG
