HGNC_ID,primary_gene_symbol,collision,NCBI_ID,ENSG_ID,source
HGNC:3642,FDXR,AR,GENE ID:2232,ENSG00000161513,HGNC
HGNC:660,TRIM23,ARD1,GENE ID:373,ENSG00000113595,HGNC
HGNC:9296,PPP1R8,ARD1,GENE ID:5511,ENSG00000117751,HGNC
HGNC:9965,RERE,ARG,GENE ID:473,ENSG00000142599,HGNC
HGNC:77,ABL2,ARG,GENE ID:27,ENSG00000143322,HGNC
HGNC:18640,LDLRAP1,ARH2,GENE ID:26119,ENSG00000157978,HGNC
HGNC:21303,ADPRHL1,ARH2,GENE ID:113622,ENSG00000153531,HGNC
HGNC:18957,MAGI2,ARIP1,GENE ID:9863,ENSG00000187391,HGNC
HGNC:24027,ACTRT1,ARIP1,GENE ID:139741,ENSG00000123165,HGNC
HGNC:905,AXL,ARK,GENE ID:558,ENSG00000167601,HGNC
HGNC:17384,RNF111,ARK,GENE ID:54778,ENSG00000157450,HGNC
HGNC:9965,RERE,ARP,GENE ID:473,ENSG00000142599,HGNC
HGNC:662,ARFRP1,ARP,GENE ID:10139,ENSG00000101246,HGNC
HGNC:304,CRISP1,ARP,GENE ID:167,ENSG00000124812,HGNC
HGNC:15461,MANF,ARP,GENE ID:7873,ENSG00000145050,HGNC
HGNC:489,ANGPTL1,ARP1,GENE ID:9068,ENSG00000116194,HGNC
HGNC:9005,PITX2,ARP1,GENE ID:5308,ENSG00000164093,HGNC
HGNC:605,APOBEC2,ARP1,GENE ID:10930,ENSG00000124701,HGNC
HGNC:167,ACTR1A,ARP1,GENE ID:10121,ENSG00000138107,HGNC
HGNC:24100,APOBEC3H,ARP10,GENE ID:164668,ENSG00000100298,HGNC
HGNC:37282,ACTR3C,ARP11,GENE ID:653857,ENSG00000106526,HGNC
HGNC:17256,ACTR3B,ARP11,GENE ID:57180,ENSG00000133627,HGNC
HGNC:490,ANGPTL2,ARP2,GENE ID:23452,ENSG00000136859,HGNC
HGNC:169,ACTR2,ARP2,GENE ID:10097,ENSG00000138071,HGNC
HGNC:13203,AICDA,ARP2,GENE ID:57379,ENSG00000111732,HGNC
HGNC:170,ACTR3,ARP3,GENE ID:10096,ENSG00000115091,HGNC
HGNC:17343,APOBEC3A,ARP3,GENE ID:200315,ENSG00000128383,HGNC
HGNC:16039,ANGPTL4,ARP4,GENE ID:51129,ENSG00000167772,HGNC
HGNC:23140,ANGPTL6,ARP5,GENE ID:83854,ENSG00000130812,HGNC
HGNC:17353,APOBEC3C,ARP5,GENE ID:27350,ENSG00000244509,HGNC
HGNC:24025,ACTR6,ARP6,GENE ID:64431,ENSG00000075089,HGNC
HGNC:17354,APOBEC3D,ARP6,GENE ID:140564,ENSG00000243811,HGNC
HGNC:17356,APOBEC3F,ARP8,GENE ID:200316,ENSG00000128394,HGNC
HGNC:14672,ACTR8,ARP8,GENE ID:93973,ENSG00000113812,HGNC
HGNC:26118,MAP9,ASAP,GENE ID:79884,ENSG00000164114,HGNC
HGNC:28227,LINC00467,ASAP,GENE ID:84791,ENSG00000153363,HGNC
HGNC:12310,TRIP4,ASC-1,GENE ID:9325,ENSG00000103671,HGNC
HGNC:15936,NCOA6,ASC2,GENE ID:23054,ENSG00000198646,HGNC
HGNC:30261,PYDC1,ASC2,GENE ID:260434,ENSG00000169900,HGNC
HGNC:10780,SRSF1,ASF,GENE ID:6426,ENSG00000136450,HGNC
HGNC:721,ARSF,ASF,GENE ID:416,ENSG00000062096,HGNC
HGNC:19088,ASH1L,ASH1,GENE ID:55870,ENSG00000116539,HGNC
HGNC:738,ASCL1,ASH1,GENE ID:429,ENSG00000139352,HGNC
HGNC:739,ASCL2,ASH2,GENE ID:430,ENSG00000183734,HGNC
HGNC:744,ASH2L,ASH2,GENE ID:9070,ENSG00000129691,HGNC
HGNC:11120,SMPD1,ASM,GENE ID:6609,ENSG00000166311,HGNC
HGNC:4713,H19,ASM,GENE ID:283120,ENSG00000130600,HGNC
HGNC:24059,TMPRSS11D,ASP,GENE ID:9407,ENSG00000153802,HGNC
HGNC:19048,ASPM,ASP,GENE ID:259266,ENSG00000066279,HGNC
HGNC:745,ASIP,ASP,GENE ID:434,ENSG00000101440,HGNC
HGNC:589,ATG5,ASP,GENE ID:9474,ENSG00000057663,HGNC
HGNC:24086,A1CF,ASP,GENE ID:29974,ENSG00000148584,HGNC
HGNC:756,ASPA,ASP,GENE ID:443,ENSG00000108381,HGNC
HGNC:24060,ROPN1L,ASP,GENE ID:83853,ENSG00000145491,HGNC
HGNC:10933,SLC17A5,AST,GENE ID:26503,ENSG00000119899,HGNC
HGNC:4432,GOT1,AST,GENE ID:2805,ENSG00000120053,HGNC
HGNC:336,AGTR1,AT1,GENE ID:185,ENSG00000144891,HGNC
HGNC:52650,PGR-AS1,AT1,GENE ID:101054525,ENSG00000282728,HGNC
HGNC:95,SLC33A1,AT1,GENE ID:9197,ENSG00000169359,HGNC
HGNC:338,AGTR2,AT2,GENE ID:186,ENSG00000180772,HGNC
HGNC:52650,PGR-AS1,AT2,GENE ID:101054525,ENSG00000282728,HGNC
HGNC:21014,ANTXR1,ATR,GENE ID:84168,ENSG00000169604,HGNC
HGNC:8985,SERPINA2,ATR,GENE ID:390502,ENSG00000258597,HGNC
HGNC:336,AGTR1,ATR1,GENE ID:185,ENSG00000144891,HGNC
HGNC:11025,SLC3A1,ATR1,GENE ID:6519,ENSG00000138079,HGNC
HGNC:3357,ENPP2,ATX,GENE ID:5168,ENSG00000136960,HGNC
HGNC:30045,SMG1,ATX,GENE ID:23049,ENSG00000157106,HGNC
HGNC:8095,OAZ1,AZ1,GENE ID:4946,ENSG00000104904,HGNC
HGNC:29511,CEP131,AZ1,GENE ID:22994,ENSG00000141577,HGNC
HGNC:1189,AHSA1,Aha1,GENE ID:10598,ENSG00000100591,HGNC
HGNC:484,ANGPT1,Ang1,GENE ID:284,ENSG00000154188,HGNC
HGNC:485,ANGPT2,Ang2,GENE ID:285,ENSG00000091879,HGNC
HGNC:662,ARFRP1,Arp1,GENE ID:10139,ENSG00000101246,HGNC
HGNC:17372,ACTR10,Arp10,GENE ID:55860,ENSG00000131966,HGNC
HGNC:17372,ACTR10,Arp11,GENE ID:55860,ENSG00000131966,HGNC
HGNC:24124,ACTL6A,Arp4,GENE ID:86,ENSG00000136518,HGNC
HGNC:14671,ACTR5,Arp5,GENE ID:79913,ENSG00000101442,HGNC
HGNC:19026,DMBX1,Atx,GENE ID:127343,ENSG00000197587,HGNC
HGNC:30000,BBS9,B1,GENE ID:27241,ENSG00000122507,HGNC
HGNC:7315,MS4A1,B1,GENE ID:931,ENSG00000156738,HGNC
HGNC:11894,TNFAIP1,B12,GENE ID:7126,ENSG00000109079,HGNC
HGNC:7698,NDUFB3,B12,GENE ID:4709,ENSG00000119013,HGNC
HGNC:2993,DONSON,B17,GENE ID:29980,ENSG00000159147,HGNC
HGNC:7701,NDUFB6,B17,GENE ID:4712,ENSG00000165264,HGNC
HGNC:13239,EVA1C,B18,GENE ID:59271,ENSG00000166979,HGNC
HGNC:7702,NDUFB7,B18,GENE ID:4713,ENSG00000099795,HGNC
HGNC:1699,CD79B,B29,GENE ID:974,ENSG00000007312,HGNC
HGNC:24121,MRO,B29,GENE ID:83876,ENSG00000134042,HGNC
HGNC:3033,ATN1,B37,GENE ID:1822,ENSG00000111676,HGNC
HGNC:1305,EPCIP,B37,GENE ID:56245,ENSG00000205929,HGNC
HGNC:15685,B4GAT1,B3GN-T1,GENE ID:11041,ENSG00000174684,HGNC
HGNC:15629,B3GNT2,B3GN-T1,GENE ID:10678,ENSG00000170340,HGNC
HGNC:4905,HHLA2,B7-H5,GENE ID:11148,ENSG00000114455,HGNC
HGNC:30085,VSIR,B7-H5,GENE ID:64115,ENSG00000107738,HGNC
HGNC:7686,NDUFA3,B9,GENE ID:4696,ENSG00000170906,HGNC
HGNC:24123,B9D1,B9,GENE ID:27077,ENSG00000108641,HGNC
HGNC:11100,SMARCA4,BAF190,GENE ID:6597,ENSG00000127616,HGNC
HGNC:11098,SMARCA2,BAF190,GENE ID:6595,ENSG00000080503,HGNC
HGNC:10061,RNF2,BAP1,GENE ID:6045,ENSG00000121481,HGNC
HGNC:946,MAGI1,BAP1,GENE ID:9223,ENSG00000151276,HGNC
HGNC:17613,BFAR,BAR,GENE ID:51283,ENSG00000103429,HGNC
HGNC:286,ADRB2,BAR,GENE ID:154,ENSG00000169252,HGNC
HGNC:17146,ARL2BP,BART,GENE ID:23568,ENSG00000102931,HGNC
HGNC:16512,BSND,BART,GENE ID:7809,ENSG00000162399,HGNC
HGNC:15505,MBOAT7,BB1,GENE ID:79143,ENSG00000125505,HGNC
HGNC:7843,NMBR,BB1,GENE ID:4829,ENSG00000135577,HGNC
HGNC:5344,ICAM1,BB2,GENE ID:3383,ENSG00000090339,HGNC
HGNC:4609,GRPR,BB2,GENE ID:2925,ENSG00000126010,HGNC
HGNC:24142,TM2D1,BBP,GENE ID:83941,ENSG00000162604,HGNC
HGNC:12950,SF1,BBP,GENE ID:7536,ENSG00000168066,HGNC
HGNC:17024,PHF11,BCAP,GENE ID:51131,ENSG00000136147,HGNC
HGNC:30034,PIK3AP1,BCAP,GENE ID:118788,ENSG00000155629,HGNC
HGNC:11117,SMN1,BCD541,GENE ID:6606,ENSG00000172062,HGNC
HGNC:11118,SMN2,BCD541,GENE ID:6607,ENSG00000205571,HGNC
HGNC:14350,ARID3B,BDP,GENE ID:10620,ENSG00000179361,HGNC
HGNC:25415,PPM1K,BDP,GENE ID:152926,ENSG00000163644,HGNC
HGNC:2047,CLDN5,BEC1,GENE ID:7122,ENSG00000184113,HGNC
HGNC:6252,KCNH3,BEC1,GENE ID:23416,ENSG00000135519,HGNC
HGNC:56772,DUSP13A,BEDP,GENE ID:128854680,,HGNC
HGNC:604,APOBEC1,BEDP,GENE ID:339,ENSG00000111701,HGNC
HGNC:572,AP4B1,BETA-4,GENE ID:10717,ENSG00000134262,HGNC
HGNC:7762,NEUROD1,BETA2,GENE ID:4760,ENSG00000162992,HGNC
HGNC:1958,CHRNA4,BFNC,GENE ID:1137,ENSG00000101204,HGNC
HGNC:6296,KCNQ2,BFNC,GENE ID:3785,ENSG00000075043,HGNC
HGNC:12703,BEST1,BMD,GENE ID:7439,ENSG00000167995,HGNC
HGNC:2928,DMD,BMD,GENE ID:1756,ENSG00000198947,HGNC
HGNC:20986,SMYD1,BOP,GENE ID:150572,ENSG00000115593,HGNC
HGNC:26112,RTL10,BOP,GENE ID:79680,ENSG00000215012,HGNC
HGNC:1012,OPN1SW,BOP,GENE ID:611,ENSG00000128617,HGNC
HGNC:1100,BRCA1,BRCC1,GENE ID:672,ENSG00000012048,HGNC
HGNC:29885,ICE2,BRCC1,GENE ID:79664,ENSG00000128915,HGNC
HGNC:33495,BLID,BRCC2,GENE ID:414899,ENSG00000259571,HGNC
HGNC:1101,BRCA2,BRCC2,GENE ID:675,ENSG00000139618,HGNC
HGNC:1934,CHIC1,BRX,GENE ID:53344,ENSG00000204116,HGNC
HGNC:371,AKAP13,BRX,GENE ID:11214,ENSG00000170776,HGNC
HGNC:4657,GTF2H3,BTF2,GENE ID:2967,ENSG00000111358,HGNC
HGNC:3435,ERCC3,BTF2,GENE ID:2071,ENSG00000163161,HGNC
HGNC:4655,GTF2H1,BTF2,GENE ID:2965,ENSG00000110768,HGNC
HGNC:1137,BTN2A2,BTF2,GENE ID:10385,ENSG00000124508,HGNC
HGNC:4656,GTF2H2,BTF2,GENE ID:2966,ENSG00000145736,HGNC
HGNC:4652,GTF2F1,BTF4,GENE ID:2962,ENSG00000125651,HGNC
HGNC:4653,GTF2F2,BTF4,GENE ID:2963,ENSG00000188342,HGNC
HGNC:2074,CLN3,BTN1,GENE ID:1201,ENSG00000188603,HGNC
HGNC:1135,BTN1A1,BTN1,GENE ID:696,ENSG00000124557,HGNC
HGNC:1148,BUB1,BUB1A,GENE ID:699,ENSG00000169679,HGNC
HGNC:20771,TUBB4B,Beta2,GENE ID:10383,ENSG00000188229,HGNC
HGNC:1149,BUB1B,Bub1A,GENE ID:701,ENSG00000156970,HGNC
HGNC:674,ARHGAP4,C1,GENE ID:393,ENSG00000089820,HGNC
HGNC:12275,TRGC1,C1,GENE ID:6966,ENSG00000211689,HGNC
HGNC:8868,PFDN4,C1,GENE ID:5203,ENSG00000101132,HGNC
HGNC:387,AKR1C4,C11,GENE ID:1109,ENSG00000198610,HGNC
HGNC:14121,POLR3K,C11,GENE ID:51728,ENSG00000161980,HGNC
HGNC:24435,CYTL1,C17,GENE ID:54360,ENSG00000170891,HGNC
HGNC:17888,CRCP,C17,GENE ID:27297,ENSG00000241258,HGNC
HGNC:34071,OTOL1,C1QTNF15,GENE ID:131149,ENSG00000182447,HGNC
HGNC:26727,ERFE,C1QTNF15,GENE ID:151176,ENSG00000178752,HGNC
HGNC:7067,CIITA,C2TA,GENE ID:4261,ENSG00000179583,HGNC
HGNC:2993,DONSON,C2TA,GENE ID:29980,ENSG00000159147,HGNC
HGNC:18673,CDK5RAP3,C53,GENE ID:80279,ENSG00000108465,HGNC
HGNC:1080,POLR3D,C53,GENE ID:661,ENSG00000168495,HGNC
HGNC:1338,C5AR1,C5A,GENE ID:728,ENSG00000197405,HGNC
HGNC:1331,C5,C5a,GENE ID:727,ENSG00000106804,HGNC
HGNC:1970,CHST2,C6ST,GENE ID:9435,ENSG00000175040,HGNC
HGNC:1971,CHST3,C6ST,GENE ID:9469,ENSG00000122863,HGNC
HGNC:1969,CHST1,C6ST,GENE ID:8534,ENSG00000175264,HGNC
HGNC:15582,MUC16,CA125,GENE ID:94025,ENSG00000181143,HGNC
HGNC:6746,NBR1,CA125,GENE ID:4077,ENSG00000188554,HGNC
HGNC:33904,ACOD1,CAD,GENE ID:730249,ENSG00000102794,HGNC
HGNC:2773,DFFB,CAD,GENE ID:1677,ENSG00000169598,HGNC
HGNC:1910,CHAF1A,CAF-1,GENE ID:10036,ENSG00000167670,HGNC
HGNC:1911,CHAF1B,CAF-1,GENE ID:8208,ENSG00000159259,HGNC
HGNC:9207,CNOT8,CAF1,GENE ID:9337,ENSG00000155508,HGNC
HGNC:1910,CHAF1A,CAF1,GENE ID:10036,ENSG00000167670,HGNC
HGNC:1911,CHAF1B,CAF1,GENE ID:8208,ENSG00000159259,HGNC
HGNC:1778,CDK7,CAK1,GENE ID:1022,ENSG00000134058,HGNC
HGNC:7371,MSLN,CAK1,GENE ID:10232,ENSG00000102854,HGNC
HGNC:17643,GOPC,CAL,GENE ID:57120,ENSG00000047932,HGNC
HGNC:24686,FBLIM1,CAL,GENE ID:54751,ENSG00000162458,HGNC
HGNC:15514,PICALM,CALM,GENE ID:8301,ENSG00000073921,HGNC
HGNC:14986,SNAP91,CALM,GENE ID:9892,ENSG00000065609,HGNC
HGNC:24200,FAM111B,CANP,GENE ID:374393,ENSG00000189057,HGNC
HGNC:1476,CAPN1,CANP,GENE ID:823,ENSG00000014216,HGNC
HGNC:1481,CAPNS1,CANP,GENE ID:826,ENSG00000126247,HGNC
HGNC:9639,HACD1,CAP,GENE ID:9200,ENSG00000165996,HGNC
HGNC:6656,LNPEP,CAP,GENE ID:4012,ENSG00000113441,HGNC
HGNC:20040,CAP1,CAP,GENE ID:10487,ENSG00000131236,HGNC
HGNC:14565,SORBS1,CAP,GENE ID:10580,ENSG00000095637,HGNC
HGNC:8950,SERPINB6,CAP,GENE ID:5269,ENSG00000124570,HGNC
HGNC:13575,BRD4,CAP,GENE ID:23476,ENSG00000141867,HGNC
HGNC:11878,TMPRSS4,CAP2,GENE ID:56649,ENSG00000137648,HGNC
HGNC:8952,SERPINB8,CAP2,GENE ID:5271,ENSG00000166401,HGNC
HGNC:8955,SERPINB9,CAP3,GENE ID:5272,ENSG00000170542,HGNC
HGNC:11344,ST14,CAP3,GENE ID:6768,ENSG00000149418,HGNC
HGNC:1487,CAPS,CAPS1,GENE ID:828,ENSG00000105519,HGNC
HGNC:1426,CADPS,CAPS1,GENE ID:8618,ENSG00000163618,HGNC
HGNC:11237,SPG7,CAR,GENE ID:6687,ENSG00000197912,HGNC
HGNC:7969,NR1I3,CAR,GENE ID:9970,ENSG00000143257,HGNC
HGNC:23770,CXADRP1,CAR,GENE ID:653108,ENSG00000214319,HGNC
HGNC:2559,CXADR,CAR,GENE ID:1525,ENSG00000154639,HGNC
HGNC:7969,NR1I3,CAR1,GENE ID:9970,ENSG00000143257,HGNC
HGNC:7970,NR1I4,CAR2,GENE ID:22817,,HGNC
HGNC:6446,KRT8,CARD2,GENE ID:3856,ENSG00000170421,HGNC
HGNC:7869,NOL3,CARD2,GENE ID:8996,ENSG00000140939,HGNC
HGNC:17057,CARD8,CARDINAL,GENE ID:22900,ENSG00000105483,HGNC
HGNC:44338,LINC00670,CARDINAL,GENE ID:284034,ENSG00000179136,HGNC
HGNC:42872,CARMN,CARMEN,GENE ID:728264,ENSG00000249669,HGNC
