,NCBI_ID,gene_symbol,collision,source,HGNC_ID,ENSG_ID,alias_symbol
65,GENE ID:56288,PARD3,ASIP,NCBI,HGNC:16051,ENSG00000148498,"ASIP,Baz,PAR3,PAR3alpha,PARD-3,PARD3A,PPP1R118,SE2-5L16,SE2-5LT1,SE2-5T2"
66,GENE ID:158,ADSL,ASL,NCBI,HGNC:291,ENSG00000239900,"AMPS,ASASE,ASL"
67,GENE ID:110599588,ASDURF,ASNSD1,NCBI,HGNC:53619,ENSG00000286053,"ASNSD1,ASNSD1-SEP,NS3TP1"
68,GENE ID:2668,GDNF,ATF1,NCBI,HGNC:4232,ENSG00000168621,"ATF,ATF1,ATF2,HFB1-GDNF,HSCR3"
70,GENE ID:64919,BCL11B,ATL1,NCBI,HGNC:13222,ENSG00000127152,"ATL1,ATL1-alpha,ATL1-beta,ATL1-delta,ATL1-gamma,CTIP-2,CTIP2,IDDFSTA,IMD49,RIT1,SMARCM2,ZNF856B,hRIT1-alpha"
71,GENE ID:478,ATP1A3,ATP1A1,NCBI,HGNC:801,ENSG00000105409,"AHC2,ATP1A1,CAPOS,DEE99,DYT12,RDP"
72,GENE ID:480,ATP1A4,ATP1A1,NCBI,HGNC:14073,ENSG00000132681,"ATP1A1,ATP1AL2"
73,GENE ID:493,ATP2B4,ATP2B2,NCBI,HGNC:817,ENSG00000058668,"ATP2B2,MXRA1,PMCA4,PMCA4b,PMCA4x"
74,GENE ID:390502,SERPINA2,ATR,NCBI,HGNC:8985,ENSG00000258597,"ARGS,ATR,PIL,SERPINA2P,psiATR"
75,GENE ID:84168,ANTXR1,ATR,NCBI,HGNC:21014,ENSG00000169604,"ATR,GAPO,TEM8"
76,GENE ID:326625,MMAB,ATR,NCBI,HGNC:19331,ENSG00000139428,"ATR,CFAP23,cblB,cob"
77,GENE ID:56652,TWNK,ATXN8,NCBI,HGNC:1160,ENSG00000107815,"ATXN8,C10orf2,IOSCA,MTDPS7,PEO,PEO1,PEOA3,PRLTS5,SANDO,SCA8,TWINL"
78,GENE ID:3454,IFNAR1,AVP,NCBI,HGNC:5432,ENSG00000142166,"AVP,IFN-alpha-REC,IFNAR,IFNBR,IFRC,IMD106"
79,GENE ID:114548,NLRP3,AVP,NCBI,HGNC:16400,ENSG00000162711,"AGTAVPRL,AII,AVP,C1orf7,CIAS1,CLR1.1,DFNA34,FCAS,FCAS1,FCU,KEFH,MWS,NALP3,PYPAF1"
80,GENE ID:113451,AZIN2,AZI2,NCBI,HGNC:29957,ENSG00000142920,"ADC,AZI2,AZIB1,ODC-p,ODC1L,ODCp"
81,GENE ID:11041,B4GAT1,B3GNT6,NCBI,HGNC:15685,ENSG00000174684,"B3GN-T1,B3GNT1,B3GNT6,BETA3GNTI,MDDGA13,iGAT,iGNT"
82,GENE ID:146712,QTGAL,B3GNT8,NCBI,HGNC:21727,ENSG00000175711,"3-Gn-T8,B3GNT8,B3GNTL1,BGnT-8,beta-1,beta3Gn-T8,beta3GnTL1"
83,GENE ID:83990,BRIP1,BACH1,NCBI,HGNC:20473,ENSG00000136492,"BACH1,FANCJ,OF"
84,GENE ID:9223,MAGI1,BAP1,NCBI,HGNC:946,ENSG00000151276,"AIP-3,AIP3,BAIAP1,BAP-1,BAP1,MAGI-1,MAGI-1b,Magi1d,TNRC19,WWP3"
85,GENE ID:6045,RNF2,BAP1,NCBI,HGNC:10061,ENSG00000121481,"BAP-1,BAP1,DING,HIPI3,LUSYAM,RING1B,RING2"
86,GENE ID:587,BCAT2,BCAM,NCBI,HGNC:977,ENSG00000105552,"BCAM,BCATM,BCT2,HVLI,PP18"
87,GENE ID:106480993,RN7SL263P,BCR,NCBI,HGNC:46279,ENSG00000240160,"BCR,rbc"
88,GENE ID:9429,ABCG2,BCRP1,NCBI,HGNC:74,ENSG00000118777,"ABC15,ABCP,BCRP,BCRP1,BMDP,CD338,CDw338,CDw388,EST157481,GOUT1,MRX,MXR,MXR-1,MXR1,UAQTL1"
89,GENE ID:8815,BANF1,BCRP1,NCBI,HGNC:17397,ENSG00000175334,"BAF,BCRP1,D14S1460,NGPS"
90,GENE ID:317687,BANF1P1,BCRP1,NCBI,HGNC:20252,,"BCRG1,BCRP1,D14S1460,D14S1460E"
91,GENE ID:8816,DCAF5,BCRP2,NCBI,HGNC:20224,ENSG00000139990,"BCRG2,BCRP2,D14S1461E,WDR22"
92,GENE ID:497258,BDNF-AS,BDNF,NCBI,HGNC:20608,ENSG00000245573,"ANTI-BDNF,BDNF,BDNF-AS1,BDNFAS,BDNFOS,NCRNA00049"
93,GENE ID:26469,PTPN18,BDP1,NCBI,HGNC:9649,ENSG00000072135,"BDP1,PTP-HSCF"
94,GENE ID:84707,BEX2,BEX1,NCBI,HGNC:30933,ENSG00000133134,"BEX1,DJ79P11.1"
95,GENE ID:55859,BEX1,BEX2,NCBI,HGNC:1036,ENSG00000133169,"BEX2,HBEX2,HGR74-h"
96,GENE ID:100532731,COMMD3-BMI1,BMI1,NCBI,HGNC:48326,ENSG00000269897,"BMI1,PCGF4,RNF51"
97,GENE ID:644716,BMS1P13,BMS1P14,NCBI,HGNC:49158,ENSG00000231701,BMS1P14
98,GENE ID:40,ASIC2,BNC1,NCBI,HGNC:99,ENSG00000108684,"ACCN,ACCN1,ASIC2a,BNC1,BNaC1,MDEG,hBNaC1"
99,GENE ID:654483,BOLA2B,BOLA2,NCBI,HGNC:32479,ENSG00000169627,BOLA2
100,GENE ID:552900,BOLA2,BOLA2B,NCBI,HGNC:29488,ENSG00000183336,"BOLA2A,BOLA2B,My016"
101,GENE ID:221477,C6orf89,BRAP,NCBI,HGNC:21114,ENSG00000198663,"BRAP,PS1TP5TP1"
102,GENE ID:55789,DEPDC1B,BRCC3,NCBI,HGNC:24902,ENSG00000035499,"BRCC3,XTP1"
103,GENE ID:677,ZFP36L1,BRF1,NCBI,HGNC:1107,ENSG00000185650,"BRF1,Berg36,ERF-1,ERF1,RNF162B,TIS11B,cMG1"
104,GENE ID:678,ZFP36L2,BRF2,NCBI,HGNC:1108,ENSG00000152518,"BRF2,ERF-2,ERF2,OOMD13,OZEMA13,RNF162C,TIS11D"
105,GENE ID:81618,ITM2C,BRI3,NCBI,HGNC:6175,ENSG00000135916,"BRI3,BRICD2C,E25,E25C,ITM3"
106,GENE ID:64979,MRPL36,BRIP1,NCBI,HGNC:14490,ENSG00000171421,"BRIP1,L36mt,MRP-L36,PRPL36,RPMJ,bL36m"
107,GENE ID:84312,BRMS1L,BRMS1,NCBI,HGNC:20512,ENSG00000100916,"BRMS1,p40"
108,GENE ID:23774,BRD1,BRPF1,NCBI,HGNC:1102,ENSG00000100425,"BRL,BRPF1,BRPF2"
109,GENE ID:100874093,BRWD1-AS1,BRWD1-AS2,NCBI,HGNC:40614,ENSG00000238141,"BRWD1-AS2,BRWD1-IT2,C21orf87,NCRNA00257"
110,GENE ID:80055,PGAP1,BST1,NCBI,HGNC:25712,ENSG00000197121,"Bst1,ISPD3024,MRT42,NEDDSBA,SPG67"
111,GENE ID:221833,SP8,BTD,NCBI,HGNC:19196,ENSG00000164651,BTD
112,GENE ID:10384,BTN3A3,BTF3,NCBI,HGNC:1140,ENSG00000111801,"BTF3,BTN3.3"
113,GENE ID:8945,BTRC,BTRCP1,NCBI,HGNC:1144,ENSG00000166167,"BETA-TRCP,FBW1A,FBXW1,FBXW1A,FWD1,bTrCP,bTrCP1,betaTrCP"
114,GENE ID:100528019,HSPB2-C11orf52,C11ORF52,NCBI,HGNC:41996,ENSG00000254445,C11orf52
115,GENE ID:3183,HNRNPC,C2,NCBI,HGNC:5035,ENSG00000092199,"C1,C2,HNRNP,HNRPC,MRD74,SNRPC"
116,GENE ID:105374758,C2orf74-AS1,C2ORF74-DT,NCBI,HGNC:56377,ENSG00000271889,C2orf74-DT
117,GENE ID:721,C4B,C4B_2,NCBI,HGNC:1324,ENSG00000224389,"C4B1,C4B12,C4B2,C4B3,C4B5,C4BD,C4B_2,C4F,CH,CO4,CPAMD3"
118,GENE ID:5688,PSMA7,C6,NCBI,HGNC:9536,ENSG00000101182,"C6,HEL-S-276,HSPC,RC6-1,XAPC7"
119,GENE ID:80759,KHDC1,C6ORF147,NCBI,HGNC:21366,ENSG00000135314,"C6orf147,C6orf148,Em:AC019205.8,NDG1,bA257K9.4"
120,GENE ID:3627,CXCL10,C7,NCBI,HGNC:10637,ENSG00000169245,"C7,IFI10,INP10,IP-10,SCYB10,crg-2,gIP-10,mob-1"
121,GENE ID:28834,IGLC7,C7,NCBI,HGNC:5861,ENSG00000211685,C7
122,GENE ID:1645,AKR1C1,C9,NCBI,HGNC:384,ENSG00000187134,"2-ALPHA-HSD,20-ALPHA-HSD,C9,DD1,DD1/DD2,DDH,DDH1,H-37,HAKRC,HBAB,MBAB"
123,GENE ID:56287,GKN1,CA11,NCBI,HGNC:23217,ENSG00000169605,"AMP18,BRICD1,CA11,FOV,foveolin"
124,GENE ID:795,S100G,CABP1,NCBI,HGNC:1436,ENSG00000169906,"CABP,CABP1,CABP9K,CALB3"
125,GENE ID:283440,ITFG2-AS1,CACNA1C-AS1,NCBI,HGNC:53128,ENSG00000258325,"CACNA1C-AS1,CACNA1C-AS2"
127,GENE ID:775,CACNA1C,CACNA1C-IT2,NCBI,HGNC:1390,ENSG00000151067,"CACH2,CACN2,CACNA1C-IT2,CACNL1A1,CCHL1A1,CaV1.2,LQT8,NEDHLSS,TS,TS. LQT8"
128,GENE ID:150350,ENTHD1,CACNA1I,NCBI,HGNC:26352,ENSG00000176177,"CACNA1I,dJ370M22.3"
129,GENE ID:1677,DFFB,CAD,NCBI,HGNC:2773,ENSG00000169598,"CAD,CPAN,DFF-40,DFF2,DFF40"
130,GENE ID:730249,ACOD1,CAD,NCBI,HGNC:33904,ENSG00000102794,"CAD,IRG1"
131,GENE ID:283489,CHAMP1,CAMP,NCBI,HGNC:20311,ENSG00000198824,"C13orf8,CAMP,CHAMP,MRD40,NEDHILD,ZNF828"
132,GENE ID:7187,TRAF3,CAP1,NCBI,HGNC:12033,ENSG00000131323,"CAP-1,CAP1,CD40bp,CRAF1,IIAE5,IMD132A,IMD132B,LAP1,RNF118"
133,GENE ID:5652,PRSS8,CAP1,NCBI,HGNC:9491,ENSG00000052344,"CAP1,PROSTASIN"
134,GENE ID:56649,TMPRSS4,CAP2,NCBI,HGNC:11878,ENSG00000137648,"CAP2,CAPH2,MT-SP2,TMPRSS3"
135,GENE ID:5271,SERPINB8,CAP2,NCBI,HGNC:8952,ENSG00000166401,"C18orf53,CAP2,PI-8,PI8,PSS5"
136,GENE ID:64151,NCAPG,CAPG,NCBI,HGNC:24304,ENSG00000109805,"CAPG,CHCG,NY-MEL-3,YCG1"
137,GENE ID:8618,CADPS,CAPS,NCBI,HGNC:1426,ENSG00000163618,"CADPS1,CAPS,CAPS1,UNC-31"
138,GENE ID:93664,CADPS2,CAPS2,NCBI,HGNC:16018,ENSG00000081803,CAPS2
139,GENE ID:387521,PEDS1,CARF,NCBI,HGNC:16735,ENSG00000240849,"CarF,KUA,TMEM189"
140,GENE ID:26059,ERC2,CAST,NCBI,HGNC:31922,ENSG00000187672,"CAST,CAST1,ELKSL,SPBC110,Spc110"
141,GENE ID:10849,POLR1G,CAST,NCBI,HGNC:24219,ENSG00000117877,"ASE-1,ASE1,CAST,CD3EAP,PAF49,RPA34"
142,GENE ID:10249,GLYAT,CAT,NCBI,HGNC:13734,ENSG00000149124,"ACGNAT,CAT,GAT"
143,GENE ID:1384,CRAT,CAT,NCBI,HGNC:2342,ENSG00000095321,"CAT,CAT1,NBIA8"
145,GENE ID:25974,MMACHC,CBLC,NCBI,HGNC:24525,ENSG00000132763,cblC
146,GENE ID:8767,RIPK2,CCK,NCBI,HGNC:10020,ENSG00000104312,"CARD3,CARDIAK,CCK,GIG30,RICK,RIP2"
147,GENE ID:348249,CCL15-CCL14,CCL15,NCBI,HGNC:44436,,"CCL15,HCC-2,LKN-1,MIP-5,MIP5,Mrp-2b,NCC-3,NCC3,SCYA15"
148,GENE ID:8507,ENC1,CCL28,NCBI,HGNC:3345,ENSG00000171617,"CCL28,ENC-1,KLHL35,KLHL37,NRPB,PIG10,TP53I10"
149,GENE ID:890,CCNA2,CCN1,NCBI,HGNC:1578,ENSG00000145386,"CCN1,CCNA"
150,GENE ID:5530,PPP3CA,CCN1,NCBI,HGNC:9314,ENSG00000138814,"ACCIID,CALN,CALNA,CALNA1,CCN1,CNA1,DEE91,IECEE,IECEE1,PPP2B"
151,GENE ID:4171,MCM2,CCNL1,NCBI,HGNC:6944,ENSG00000073111,"BM28,CCNL1,CDCL1,D3S3194,DFNA70,MITOTIN,cdc19"
152,GENE ID:102724928,CCNYL3,CCNYL1B,NCBI,HGNC:33206,,CCNYL1B
153,GENE ID:51554,ACKR4,CCR10,NCBI,HGNC:1611,ENSG00000129048,"CC-CKR-11,CCBP2,CCR-11,CCR10,CCR11,CCRL1,CCX CKR,CCX-CKR,CKR-11,PPR1,VSHK1"
154,GENE ID:1238,ACKR2,CCR10,NCBI,HGNC:1565,ENSG00000144648,"CCBP2,CCR10,CCR9,CMKBR9,D6,hD6"
155,GENE ID:57472,CNOT6,CCR4,NCBI,HGNC:14099,ENSG00000113300,"CCR4,Ccr4a"
157,GENE ID:221960,CCZ1B,CCZ1,NCBI,HGNC:21717,ENSG00000146574,"C7orf28A,C7orf28B,CCZ1,H_NH0577018.2"
158,GENE ID:4695,NDUFA2,CD14,NCBI,HGNC:7685,ENSG00000131495,"B8,CD14,CIB8,MC1DN13"
159,GENE ID:911,CD1C,CD1A,NCBI,HGNC:1636,ENSG00000158481,"BDCA1,CD1,CD1A,R7"
160,GENE ID:913,CD1E,CD1A,NCBI,HGNC:1638,ENSG00000158488,"CD1A,R2"
161,GENE ID:910,CD1B,CD1A,NCBI,HGNC:1635,ENSG00000158485,"CD1,CD1A,R1"
162,GENE ID:912,CD1D,CD1A,NCBI,HGNC:1637,ENSG00000158473,"CD1A,R3,R3G1"
163,GENE ID:2210,FCGR1BP,CD34,NCBI,HGNC:3614,ENSG00000291135,"CD34,CD64b,FCG1,FCGR1,FCGR1B,FcRI,FcgammaRIa,IGFR1,IGFRB"
164,GENE ID:445347,TARP,CD3G,NCBI,,ENSG00000289746,CD3G
165,GENE ID:195828,ZNF367,CDC14B,NCBI,HGNC:18320,ENSG00000165244,"AFF29,CDC14B,ZFF29"
166,GENE ID:51343,FZR1,CDH1,NCBI,HGNC:24824,ENSG00000105325,"CDC20C,CDH1,DEE109,FZR,FZR2,HCDH,HCDH1"
167,GENE ID:1015,CDH17,CDH16,NCBI,HGNC:1756,ENSG00000079112,"CDH16,HPT-1,HPT1"
168,GENE ID:8642,DCHS1,CDH19,NCBI,HGNC:13681,ENSG00000166341,"CDH19,CDH25,CDHR6,FIB1,MMVP2,MVP2,PCDH16,VMLDS1"
169,GENE ID:8641,PCDHGB4,CDH20,NCBI,HGNC:8711,ENSG00000253953,"CDH20,FIB2,PCDH-GAMMA-B4"
170,GENE ID:1016,CDH18,CDH24,NCBI,HGNC:1757,ENSG00000145526,"CDH14,CDH14L,CDH24"
171,GENE ID:1013,CDH15,CDH3,NCBI,HGNC:1754,ENSG00000129910,"CDH14,CDH3,CDHM,MCAD,MRD3"
172,GENE ID:28316,CDH20,CDH7,NCBI,HGNC:1760,ENSG00000101542,"CDH7L3,Cdh7"
173,GENE ID:28513,CDH19,CDH7,NCBI,HGNC:1758,ENSG00000071991,"CDH7,CDH7L2"
174,GENE ID:150383,CDPF1,CDKN1A,NCBI,HGNC:33710,ENSG00000205643,"C22orf40,CDKN1A"
175,GENE ID:286411,LINC00632,CDR1-AS,NCBI,HGNC:27865,ENSG00000203930,"ARST,ASINC,BMOR,CDR1-AS,CDR1NAT,CDR1as,MDHDH,ciRS-7"
176,GENE ID:6962,TRBV20OR9-2,CDR3,NCBI,HGNC:12197,ENSG00000205274,"CDR3,TCR,TCRB,TCRBV20S2,TCRBV2O,TCRBV2S2O,TRB"
177,GENE ID:11200,CHEK2,CDS1,NCBI,HGNC:16627,ENSG00000183765,"CDS1,CHK2,HuCds1,LFS2,PP1425,RAD53,TPDS4,hCds1"
178,GENE ID:1090,CEACAMP1,CEACAM22P,NCBI,HGNC:1821,ENSG00000233681,"CEACAM22P,CGM8"
179,GENE ID:90273,CEACAM21,CEACAM3,NCBI,HGNC:28834,ENSG00000007129,"CEACAM3,R29124_1"
180,GENE ID:1649,DDIT3,CEBPZ,NCBI,HGNC:2726,ENSG00000175197,"AltDDIT3,C/EBPzeta,CEBPZ,CHOP,CHOP-10,CHOP10,GADD153"
181,GENE ID:1061,CENPCP1,CENPC,NCBI,HGNC:1855,ENSG00000226982,"CENPC,CENPC1P1,CENPC2"
182,GENE ID:100526739,CENPS-CORT,CENPS,NCBI,HGNC:38843,ENSG00000251503,"APITD1,APITD1-CORT,CENP-S,CENPS,FAAP16,MHF1"
183,GENE ID:55118,CRTAC1,CEP68,NCBI,HGNC:14882,ENSG00000095713,"ASPIC,ASPIC1,CEP-68,CEP68,LOTUS"
184,GENE ID:23739,C3CER1,CER1,NCBI,HGNC:1320,,CER1
185,GENE ID:2657,GDF1,CERS1,NCBI,HGNC:4214,ENSG00000130283,"CERS1,CHTD6,DORV,DTGA3,LAG1,LASS1,RAI,UOG1"
186,GENE ID:253782,CERS6,CERS5,NCBI,HGNC:23826,ENSG00000172292,"CERS5,LASS6"
187,GENE ID:1066,CES1,CES2,NCBI,HGNC:1863,ENSG00000198848,"ACAT,CE-1,CEH,CES2,HMSE,HMSE1,PCE-1,REH,SES1,TGH,hCE-1"
188,GENE ID:51729,WBP11,CFAP90,NCBI,HGNC:16461,ENSG00000084463,"BUG13,CFAP90,FAP90,NPWBP,PPP1R165,SIPP1,VCTERL,VCTRL,WBP-11"
189,GENE ID:55997,CFC1,CFC1B,NCBI,HGNC:18292,ENSG00000136698,"CFC1B,CRYPTIC,DTGA2,HTX2"
190,GENE ID:200576,PIKFYVE,CFD,NCBI,HGNC:23785,ENSG00000115020,"CFD,FAB1,HEL37,PIP5K,PIP5K3,ZFYVE29"
191,GENE ID:6944,VPS72,CFL1,NCBI,HGNC:11644,ENSG00000163159,"CFL1,Swc2,TCFL1,YL-1,YL1"
192,GENE ID:1113,CHGA,CGA,NCBI,HGNC:1929,ENSG00000100604,"CGA,PHE5,PHES"
193,GENE ID:1082,CGB3,CGB5,NCBI,HGNC:1886,ENSG00000104827,"CGB,CGB5,CGB7,CGB8,LHB,hCGB"
196,GENE ID:10044,SH2D3C,CHAT,NCBI,HGNC:16884,ENSG00000095370,"CHAT,NSP3,PRO34088,SHEP1"
197,GENE ID:1826,DSCAM,CHD2,NCBI,HGNC:3039,ENSG00000171587,"CHD2,CHD2-42,CHD2-52"
198,GENE ID:84181,CHD6,CHD5,NCBI,HGNC:19057,ENSG00000124177,"CHD-6,CHD5,RIGB"
199,GENE ID:7485,GET1,CHD5,NCBI,HGNC:12790,ENSG00000182093,"CHD5,WRB"
