,NCBI_ID,gene_symbol,alias_symbol,gene_type,HGNC_ID,ENSG_ID,collision,source
539,GENE ID:189,AGXT,AGT,protein-coding,HGNC:341,ENSG00000172482,AGT,NCBI
4582,GENE ID:1543,CYP1A1,AHRR,protein-coding,HGNC:2595,ENSG00000140465,AHRR,NCBI
45250,GENE ID:56899,ANKS1B,AIDA,protein-coding,HGNC:24600,ENSG00000185046,AIDA,NCBI
42915,GENE ID:54998,AURKAIP1,AIP,protein-coding,HGNC:24114,ENSG00000175756,AIP,NCBI
581,GENE ID:205,AK4,AK3,protein-coding,HGNC:363,ENSG00000162433,AK3,NCBI
39556,GENE ID:50808,AK3,AK6,protein-coding,HGNC:17376,ENSG00000147853,AK6,NCBI
35890,GENE ID:26289,AK5,AK6,protein-coding,HGNC:365,ENSG00000154027,AK6,NCBI
52751,GENE ID:85302,FBF1,Alb,protein-coding,HGNC:24674,ENSG00000188878,ALB,NCBI
57241,GENE ID:144245,ALG10B,ALG10,protein-coding,HGNC:31088,ENSG00000175548,ALG10,NCBI
73212,GENE ID:729970,CNN3-DT,ALG14-AS1,ncRNA,HGNC:54176,ENSG00000235501,ALG14-AS1,NCBI
28676,GENE ID:10016,PDCD6,ALG2,protein-coding,HGNC:8765,ENSG00000249915,ALG2,NCBI
82045,GENE ID:100506755,MIR497HG,ALOX12-AS1,ncRNA,HGNC:39523,ENSG00000267532,ALOX12-AS1,NCBI
705,GENE ID:250,ALPP,ALPI,protein-coding,HGNC:439,ENSG00000163283,ALPI,NCBI
13940,GENE ID:4882,NPR2,AMD1,protein-coding,HGNC:7944,ENSG00000159899,AMD1,NCBI
621,GENE ID:215,ABCD1,AMN,protein-coding,HGNC:61,ENSG00000101986,AMN,NCBI
45909,GENE ID:57291,DANCR,ANCR,ncRNA,HGNC:28964,ENSG00000226950,ANCR,NCBI
21823,GENE ID:7337,UBE3A,ANCR,protein-coding,HGNC:12496,ENSG00000114062,ANCR,NCBI
69278,GENE ID:554226,ANKRD30BL,ANKRD30BP3,protein-coding,HGNC:35167,ENSG00000163046,ANKRD30BP3,NCBI
61408,GENE ID:283373,ANKRD52,ANKRD33,protein-coding,HGNC:26614,ENSG00000139645,ANKRD33,NCBI
72396,GENE ID:728113,ANXA8L1,ANXA8,protein-coding,HGNC:23334,ENSG00000264230,ANXA8,NCBI
16231,GENE ID:5624,PROC,APC,protein-coding,HGNC:9451,ENSG00000115718,APC,NCBI
38993,GENE ID:29882,ANAPC2,APC2,protein-coding,HGNC:19989,ENSG00000176248,APC2,NCBI
48538,GENE ID:79085,SLC25A23,APC2,protein-coding,HGNC:19375,ENSG00000125648,APC2,NCBI
50084,GENE ID:80350,LPAL2,APOA2,pseudo,HGNC:21210,ENSG00000290613,APOA2,NCBI
84989,GENE ID:100913187,APOBEC3A_B,APOBEC3A,protein-coding,HGNC:44196,,APOBEC3A,NCBI
82706,GENE ID:100533990,APOC4-APOC2,APOC4,ncRNA,HGNC:44426,,APOC4,NCBI
34745,GENE ID:23780,APOL2,APOL3,protein-coding,HGNC:619,ENSG00000128335,APOL3,NCBI
972,GENE ID:334,APLP2,APPL2,protein-coding,HGNC:598,ENSG00000084234,APPL2,NCBI
51598,GENE ID:84182,MINDY4,AQP1,protein-coding,HGNC:21916,ENSG00000106125,AQP1,NCBI
670,GENE ID:231,AKR1B1,AR,protein-coding,HGNC:381,ENSG00000085662,AR,NCBI
1104,GENE ID:374,AREG,AR,protein-coding,HGNC:651,ENSG00000109321,AR,NCBI
25866,GENE ID:8996,NOL3,ARC,protein-coding,HGNC:7869,ENSG00000140939,ARC,NCBI
68643,GENE ID:442334,ARF1P1,ARF1,pseudo,HGNC:22500,,ARF1,NCBI
40570,GENE ID:51326,ARL17A,ARF1P2,protein-coding,HGNC:24096,ENSG00000185829,ARF1P2,NCBI
35888,GENE ID:26286,ARFGAP3,ARFGAP1,protein-coding,HGNC:661,ENSG00000242247,ARFGAP1,NCBI
47415,GENE ID:64129,TINAGL1,ARG1,protein-coding,HGNC:19168,ENSG00000142910,ARG1,NCBI
46286,GENE ID:57584,ARHGAP21,ARHGAP10,protein-coding,HGNC:23725,ENSG00000107863,ARHGAP10,NCBI
82577,GENE ID:100533184,ARHGAP19-SLIT1,ARHGAP19,ncRNA,HGNC:48348,ENSG00000269891,ARHGAP19,NCBI
45508,GENE ID:57016,AKR1B10,ARL1,protein-coding,HGNC:382,ENSG00000198074,ARL1,NCBI
81821,GENE ID:100506084,ARL17B,ARL17A,protein-coding,HGNC:32387,ENSG00000228696,ARL17A,NCBI
64378,GENE ID:375056,MIA3,ARNT,protein-coding,HGNC:24008,ENSG00000154305,ARNT,NCBI
82375,GENE ID:100526693,ARPC4-TTLL3,ARPC4,protein-coding,HGNC:38830,ENSG00000250151,ARPC4,NCBI
82414,GENE ID:100526783,ARPIN-AP3S2,ARPIN,protein-coding,HGNC:38824,ENSG00000250021,ARPIN,NCBI
45739,GENE ID:57152,SLURP1,ArsB,protein-coding,HGNC:18746,ENSG00000126233,ARSB,NCBI
53471,GENE ID:91526,ANKRD44,ARSB,protein-coding,HGNC:25259,ENSG00000065413,ARSB,NCBI
28859,GENE ID:10077,TSPAN32,ART1,protein-coding,HGNC:13410,ENSG00000064201,ART1,NCBI
28773,GENE ID:10054,UBA2,ARX,protein-coding,HGNC:30661,ENSG00000126261,ARX,NCBI
78942,GENE ID:100302652,GPR75-ASB3,ASB3,protein-coding,HGNC:40043,ENSG00000115239,ASB3,NCBI
44987,GENE ID:56288,PARD3,ASIP,protein-coding,HGNC:16051,ENSG00000148498,ASIP,NCBI
444,GENE ID:158,ADSL,ASL,protein-coding,HGNC:291,ENSG00000239900,ASL,NCBI
102801,GENE ID:110599588,ASDURF,ASNSD1,protein-coding,HGNC:53619,ENSG00000286053,ASNSD1,NCBI
7674,GENE ID:2668,GDNF,ATF1,protein-coding,HGNC:4232,ENSG00000168621,ATF1,NCBI
7675,GENE ID:2668,GDNF,ATF2,protein-coding,HGNC:4232,ENSG00000168621,ATF2,NCBI
48042,GENE ID:64919,BCL11B,ATL1,protein-coding,HGNC:13222,ENSG00000127152,ATL1,NCBI
1359,GENE ID:478,ATP1A3,ATP1A1,protein-coding,HGNC:801,ENSG00000105409,ATP1A1,NCBI
1367,GENE ID:480,ATP1A4,ATP1A1,protein-coding,HGNC:14073,ENSG00000132681,ATP1A1,NCBI
1398,GENE ID:493,ATP2B4,ATP2B2,protein-coding,HGNC:817,ENSG00000058668,ATP2B2,NCBI
62668,GENE ID:326625,MMAB,ATR,protein-coding,HGNC:19331,ENSG00000139428,ATR,NCBI
51571,GENE ID:84168,ANTXR1,ATR,protein-coding,HGNC:21014,ENSG00000169604,ATR,NCBI
65714,GENE ID:390502,SERPINA2,ATR,protein-coding,HGNC:8985,ENSG00000258597,ATR,NCBI
45086,GENE ID:56652,TWNK,ATXN8,protein-coding,HGNC:1160,ENSG00000107815,ATXN8,NCBI
10026,GENE ID:3454,IFNAR1,AVP,protein-coding,HGNC:5432,ENSG00000142166,AVP,NCBI
54366,GENE ID:114548,NLRP3,AVP,protein-coding,HGNC:16400,ENSG00000162711,AVP,NCBI
54253,GENE ID:113451,AZIN2,AZI2,protein-coding,HGNC:29957,ENSG00000142920,AZI2,NCBI
31792,GENE ID:11041,B4GAT1,B3GNT6,protein-coding,HGNC:15685,ENSG00000174684,B3GNT6,NCBI
57463,GENE ID:146712,QTGAL,B3GNT8,protein-coding,HGNC:21727,ENSG00000175711,B3GNT8,NCBI
51399,GENE ID:83990,BRIP1,BACH1,protein-coding,HGNC:20473,ENSG00000136492,BACH1,NCBI
26481,GENE ID:9223,MAGI1,BAP1,protein-coding,HGNC:946,ENSG00000151276,BAP1,NCBI
17468,GENE ID:6045,RNF2,BAP1,protein-coding,HGNC:10061,ENSG00000121481,BAP1,NCBI
1639,GENE ID:587,BCAT2,BCAM,protein-coding,HGNC:977,ENSG00000105552,BCAM,NCBI
97365,GENE ID:106480993,RN7SL263P,BCR,pseudo,HGNC:46279,ENSG00000240160,BCR,NCBI
62462,GENE ID:317687,BANF1P1,BCRP1,pseudo,HGNC:20252,,BCRP1,NCBI
25365,GENE ID:8815,BANF1,BCRP1,protein-coding,HGNC:17397,ENSG00000175334,BCRP1,NCBI
27045,GENE ID:9429,ABCG2,BCRP1,protein-coding,HGNC:74,ENSG00000118777,BCRP1,NCBI
25369,GENE ID:8816,DCAF5,BCRP2,protein-coding,HGNC:20224,ENSG00000139990,BCRP2,NCBI
69091,GENE ID:497258,BDNF-AS,BDNF,ncRNA,HGNC:20608,ENSG00000245573,BDNF,NCBI
35983,GENE ID:26469,PTPN18,BDP1,protein-coding,HGNC:9649,ENSG00000072135,BDP1,NCBI
52285,GENE ID:84707,BEX2,BEX1,protein-coding,HGNC:30933,ENSG00000133134,BEX1,NCBI
44553,GENE ID:55859,BEX1,BEX2,protein-coding,HGNC:1036,ENSG00000133169,BEX2,NCBI
82552,GENE ID:100532731,COMMD3-BMI1,BMI1,protein-coding,HGNC:48326,ENSG00000269897,BMI1,NCBI
70456,GENE ID:644716,BMS1P13,BMS1P14,pseudo,HGNC:49158,ENSG00000231701,BMS1P14,NCBI
127,GENE ID:40,ASIC2,BNC1,protein-coding,HGNC:99,ENSG00000108684,BNC1,NCBI
71666,GENE ID:654483,BOLA2B,BOLA2,protein-coding,HGNC:32479,ENSG00000169627,BOLA2,NCBI
69224,GENE ID:552900,BOLA2,BOLA2B,protein-coding,HGNC:29488,ENSG00000183336,BOLA2B,NCBI
60189,GENE ID:221477,C6orf89,BRAP,protein-coding,HGNC:21114,ENSG00000198663,BRAP,NCBI
44354,GENE ID:55789,DEPDC1B,BRCC3,protein-coding,HGNC:24902,ENSG00000035499,BRCC3,NCBI
1934,GENE ID:677,ZFP36L1,BRF1,protein-coding,HGNC:1107,ENSG00000185650,BRF1,NCBI
1941,GENE ID:678,ZFP36L2,BRF2,protein-coding,HGNC:1108,ENSG00000152518,BRF2,NCBI
50663,GENE ID:81618,ITM2C,BRI3,protein-coding,HGNC:6175,ENSG00000135916,BRI3,NCBI
48134,GENE ID:64979,MRPL36,BRIP1,protein-coding,HGNC:14490,ENSG00000171421,BRIP1,NCBI
51804,GENE ID:84312,BRMS1L,BRMS1,protein-coding,HGNC:20512,ENSG00000100916,BRMS1,NCBI
34740,GENE ID:23774,BRD1,BRPF1,protein-coding,HGNC:1102,ENSG00000100425,BRPF1,NCBI
84518,GENE ID:100874093,BRWD1-AS1,BRWD1-AS2,ncRNA,HGNC:40614,ENSG00000238141,BRWD1-AS2,NCBI
49687,GENE ID:80055,PGAP1,Bst1,protein-coding,HGNC:25712,ENSG00000197121,BST1,NCBI
60253,GENE ID:221833,SP8,BTD,protein-coding,HGNC:19196,ENSG00000164651,BTD,NCBI
29786,GENE ID:10384,BTN3A3,BTF3,protein-coding,HGNC:1140,ENSG00000111801,BTF3,NCBI
25786,GENE ID:8945,BTRC,bTrCP1,protein-coding,HGNC:1144,ENSG00000166167,BTRCP1,NCBI
82477,GENE ID:100528019,HSPB2-C11orf52,C11orf52,ncRNA,HGNC:41996,ENSG00000254445,C11ORF52,NCBI
9331,GENE ID:3183,HNRNPC,C2,protein-coding,HGNC:5035,ENSG00000092199,C2,NCBI
92176,GENE ID:105374758,C2orf74-AS1,C2orf74-DT,ncRNA,HGNC:56377,ENSG00000271889,C2ORF74-DT,NCBI
2071,GENE ID:721,C4B,C4B_2,protein-coding,HGNC:1324,ENSG00000224389,C4B_2,NCBI
16413,GENE ID:5688,PSMA7,C6,protein-coding,HGNC:9536,ENSG00000101182,C6,NCBI
50170,GENE ID:80759,KHDC1,C6orf147,protein-coding,HGNC:21366,ENSG00000135314,C6ORF147,NCBI
38334,GENE ID:28834,IGLC7,C7,other,HGNC:5861,ENSG00000211685,C7,NCBI
10543,GENE ID:3627,CXCL10,C7,protein-coding,HGNC:10637,ENSG00000169245,C7,NCBI
4901,GENE ID:1645,AKR1C1,C9,protein-coding,HGNC:384,ENSG00000187134,C9,NCBI
44984,GENE ID:56287,GKN1,CA11,protein-coding,HGNC:23217,ENSG00000169605,CA11,NCBI
2313,GENE ID:795,S100G,CABP1,protein-coding,HGNC:1436,ENSG00000169906,CABP1,NCBI
61434,GENE ID:283440,ITFG2-AS1,CACNA1C-AS1,ncRNA,HGNC:53128,ENSG00000258325,CACNA1C-AS1,NCBI
61435,GENE ID:283440,ITFG2-AS1,CACNA1C-AS2,ncRNA,HGNC:53128,ENSG00000258325,CACNA1C-AS2,NCBI
2218,GENE ID:775,CACNA1C,CACNA1C-IT2,protein-coding,HGNC:1390,ENSG00000151067,CACNA1C-IT2,NCBI
57898,GENE ID:150350,ENTHD1,CACNA1I,protein-coding,HGNC:26352,ENSG00000176177,CACNA1I,NCBI
73280,GENE ID:730249,ACOD1,CAD,protein-coding,HGNC:33904,ENSG00000102794,CAD,NCBI
5034,GENE ID:1677,DFFB,CAD,protein-coding,HGNC:2773,ENSG00000169598,CAD,NCBI
61466,GENE ID:283489,CHAMP1,CAMP,protein-coding,HGNC:20311,ENSG00000198824,CAMP,NCBI
21386,GENE ID:7187,TRAF3,CAP1,protein-coding,HGNC:12033,ENSG00000131323,CAP1,NCBI
16304,GENE ID:5652,PRSS8,CAP1,protein-coding,HGNC:9491,ENSG00000052344,CAP1,NCBI
45077,GENE ID:56649,TMPRSS4,CAP2,protein-coding,HGNC:11878,ENSG00000137648,CAP2,NCBI
15008,GENE ID:5271,SERPINB8,CAP2,protein-coding,HGNC:8952,ENSG00000166401,CAP2,NCBI
47456,GENE ID:64151,NCAPG,CAPG,protein-coding,HGNC:24304,ENSG00000109805,CAPG,NCBI
24758,GENE ID:8618,CADPS,CAPS,protein-coding,HGNC:1426,ENSG00000163618,CAPS,NCBI
53944,GENE ID:93664,CADPS2,CAPS2,protein-coding,HGNC:16018,ENSG00000081803,CAPS2,NCBI
64876,GENE ID:387521,PEDS1,CarF,protein-coding,HGNC:16735,ENSG00000240849,CARF,NCBI
31183,GENE ID:10849,POLR1G,CAST,protein-coding,HGNC:24219,ENSG00000117877,CAST,NCBI
35456,GENE ID:26059,ERC2,CAST,protein-coding,HGNC:31922,ENSG00000187672,CAST,NCBI
4101,GENE ID:1384,CRAT,CAT,protein-coding,HGNC:2342,ENSG00000095321,CAT,NCBI
29404,GENE ID:10249,GLYAT,CAT,protein-coding,HGNC:13734,ENSG00000149124,CAT,NCBI
62670,GENE ID:326625,MMAB,cblB,protein-coding,HGNC:19331,ENSG00000139428,CBLB,NCBI
35286,GENE ID:25974,MMACHC,cblC,protein-coding,HGNC:24525,ENSG00000132763,CBLC,NCBI
25215,GENE ID:8767,RIPK2,CCK,protein-coding,HGNC:10020,ENSG00000104312,CCK,NCBI
63818,GENE ID:348249,CCL15-CCL14,CCL15,ncRNA,HGNC:44436,,CCL15,NCBI
24379,GENE ID:8507,ENC1,CCL28,protein-coding,HGNC:3345,ENSG00000171617,CCL28,NCBI
2628,GENE ID:890,CCNA2,CCN1,protein-coding,HGNC:1578,ENSG00000145386,CCN1,NCBI
15867,GENE ID:5530,PPP3CA,CCN1,protein-coding,HGNC:9314,ENSG00000138814,CCN1,NCBI
12326,GENE ID:4171,MCM2,CCNL1,protein-coding,HGNC:6944,ENSG00000073111,CCNL1,NCBI
88497,GENE ID:102724928,CCNYL3,CCNYL1B,pseudo,HGNC:33206,,CCNYL1B,NCBI
41022,GENE ID:51554,ACKR4,CCR10,protein-coding,HGNC:1611,ENSG00000129048,CCR10,NCBI
3697,GENE ID:1238,ACKR2,CCR10,protein-coding,HGNC:1565,ENSG00000144648,CCR10,NCBI
46059,GENE ID:57472,CNOT6,CCR4,protein-coding,HGNC:14099,ENSG00000113300,CCR4,NCBI
3698,GENE ID:1238,ACKR2,CCR9,protein-coding,HGNC:1565,ENSG00000144648,CCR9,NCBI
60277,GENE ID:221960,CCZ1B,CCZ1,protein-coding,HGNC:21717,ENSG00000146574,CCZ1,NCBI
13441,GENE ID:4695,NDUFA2,CD14,protein-coding,HGNC:7685,ENSG00000131495,CD14,NCBI
2676,GENE ID:912,CD1D,CD1A,protein-coding,HGNC:1637,ENSG00000158473,CD1A,NCBI
2679,GENE ID:913,CD1E,CD1A,protein-coding,HGNC:1638,ENSG00000158488,CD1A,NCBI
2674,GENE ID:911,CD1C,CD1A,protein-coding,HGNC:1636,ENSG00000158481,CD1A,NCBI
2670,GENE ID:910,CD1B,CD1A,protein-coding,HGNC:1635,ENSG00000158485,CD1A,NCBI
6499,GENE ID:2210,FCGR1BP,CD34,pseudo,HGNC:3614,ENSG00000291135,CD34,NCBI
68836,GENE ID:445347,TARP,CD3G,protein-coding,,ENSG00000289746,CD3G,NCBI
59303,GENE ID:195828,ZNF367,CDC14B,protein-coding,HGNC:18320,ENSG00000165244,CDC14B,NCBI
40618,GENE ID:51343,FZR1,CDH1,protein-coding,HGNC:24824,ENSG00000105325,CDH1,NCBI
3061,GENE ID:1015,CDH17,CDH16,protein-coding,HGNC:1756,ENSG00000079112,CDH16,NCBI
24838,GENE ID:8642,DCHS1,CDH19,protein-coding,HGNC:13681,ENSG00000166341,CDH19,NCBI
24835,GENE ID:8641,PCDHGB4,CDH20,protein-coding,HGNC:8711,ENSG00000253953,CDH20,NCBI
3066,GENE ID:1016,CDH18,CDH24,protein-coding,HGNC:1757,ENSG00000145526,CDH24,NCBI
3056,GENE ID:1013,CDH15,CDH3,protein-coding,HGNC:1754,ENSG00000129910,CDH3,NCBI
37402,GENE ID:28316,CDH20,Cdh7,protein-coding,HGNC:1760,ENSG00000101542,CDH7,NCBI
37746,GENE ID:28513,CDH19,CDH7,protein-coding,HGNC:1758,ENSG00000071991,CDH7,NCBI
57914,GENE ID:150383,CDPF1,CDKN1A,protein-coding,HGNC:33710,ENSG00000205643,CDKN1A,NCBI
62353,GENE ID:286411,LINC00632,CDR1-AS,ncRNA,HGNC:27865,ENSG00000203930,CDR1-AS,NCBI
20558,GENE ID:6962,TRBV20OR9-2,CDR3,pseudo,HGNC:12197,ENSG00000205274,CDR3,NCBI
32256,GENE ID:11200,CHEK2,CDS1,protein-coding,HGNC:16627,ENSG00000183765,CDS1,NCBI
3292,GENE ID:1090,CEACAMP1,CEACAM22P,pseudo,HGNC:1821,ENSG00000233681,CEACAM22P,NCBI
53201,GENE ID:90273,CEACAM21,CEACAM3,protein-coding,HGNC:28834,ENSG00000007129,CEACAM3,NCBI
4928,GENE ID:1649,DDIT3,CEBPZ,protein-coding,HGNC:2726,ENSG00000175197,CEBPZ,NCBI
3205,GENE ID:1061,CENPCP1,CENPC,pseudo,HGNC:1855,ENSG00000226982,CENPC,NCBI
82393,GENE ID:100526739,CENPS-CORT,CENPS,protein-coding,HGNC:38843,ENSG00000251503,CENPS,NCBI
43152,GENE ID:55118,CRTAC1,CEP68,protein-coding,HGNC:14882,ENSG00000095713,CEP68,NCBI
34674,GENE ID:23739,C3CER1,CER1,other,HGNC:1320,,CER1,NCBI
7644,GENE ID:2657,GDF1,CERS1,protein-coding,HGNC:4214,ENSG00000130283,CERS1,NCBI
60610,GENE ID:253782,CERS6,CERS5,protein-coding,HGNC:23826,ENSG00000172292,CERS5,NCBI
3220,GENE ID:1066,CES1,CES2,protein-coding,HGNC:1863,ENSG00000198848,CES2,NCBI
41381,GENE ID:51729,WBP11,CFAP90,protein-coding,HGNC:16461,ENSG00000084463,CFAP90,NCBI
44740,GENE ID:55997,CFC1,CFC1B,protein-coding,HGNC:18292,ENSG00000136698,CFC1B,NCBI
59537,GENE ID:200576,PIKFYVE,CFD,protein-coding,HGNC:23785,ENSG00000115020,CFD,NCBI
20499,GENE ID:6944,VPS72,CFL1,protein-coding,HGNC:11644,ENSG00000163159,CFL1,NCBI
3343,GENE ID:1113,CHGA,CGA,protein-coding,HGNC:1929,ENSG00000100604,CGA,NCBI
3268,GENE ID:1082,CGB3,CGB5,protein-coding,HGNC:1886,ENSG00000104827,CGB5,NCBI
3269,GENE ID:1082,CGB3,CGB7,protein-coding,HGNC:1886,ENSG00000104827,CGB7,NCBI
3270,GENE ID:1082,CGB3,CGB8,protein-coding,HGNC:1886,ENSG00000104827,CGB8,NCBI
28735,GENE ID:10044,SH2D3C,CHAT,protein-coding,HGNC:16884,ENSG00000095370,CHAT,NCBI
5417,GENE ID:1826,DSCAM,CHD2,protein-coding,HGNC:3039,ENSG00000171587,CHD2,NCBI
25873,GENE ID:8997,KALRN,CHD5,protein-coding,HGNC:4814,ENSG00000160145,CHD5,NCBI
22226,GENE ID:7485,GET1,CHD5,protein-coding,HGNC:12790,ENSG00000182093,CHD5,NCBI
51595,GENE ID:84181,CHD6,CHD5,protein-coding,HGNC:19057,ENSG00000124177,CHD5,NCBI
4978,GENE ID:1663,DDX11,CHL1,protein-coding,HGNC:2736,ENSG00000013573,CHL1,NCBI
12812,GENE ID:4359,MPZ,CHM,protein-coding,HGNC:7225,ENSG00000158887,CHM,NCBI
82405,GENE ID:100526767,RNF103-CHMP3,CHMP3,protein-coding,HGNC:38847,ENSG00000249884,CHMP3,NCBI
56076,GENE ID:128866,CHMP4B,CHMP4A,protein-coding,HGNC:16171,ENSG00000101421,CHMP4A,NCBI
38761,GENE ID:29082,CHMP4A,CHMP4B,protein-coding,HGNC:20274,ENSG00000254505,CHMP4B,NCBI
12813,GENE ID:4359,MPZ,CHN2,protein-coding,HGNC:7225,ENSG00000158887,CHN2,NCBI
36635,GENE ID:26973,CHORDC1,CHP1,protein-coding,HGNC:14525,ENSG00000110172,CHP1,NCBI
53041,GENE ID:89832,CHRFAM7A,CHRNA7,protein-coding,HGNC:15781,ENSG00000166664,CHRNA7,NCBI
19280,GENE ID:6576,SLC25A1,CIC,protein-coding,HGNC:10979,ENSG00000100075,CIC,NCBI
49524,GENE ID:79947,DHDDS,CIT,protein-coding,HGNC:20603,ENSG00000117682,CIT,NCBI
3372,GENE ID:1120,CHKB,CKB,protein-coding,HGNC:1938,ENSG00000100288,CKB,NCBI
1968,GENE ID:688,KLF5,CKLF,protein-coding,HGNC:6349,ENSG00000102554,CKLF,NCBI
34285,GENE ID:23529,CLCF1,CLC,protein-coding,HGNC:17412,ENSG00000175505,CLC,NCBI
56285,GENE ID:131566,DCBLD2,CLCP1,protein-coding,HGNC:24627,ENSG00000057019,CLCP1,NCBI
187528,GENE ID:128193292,LNCTSI,CLDN14-AS1,ncRNA,HGNC:56660,,CLDN14-AS1,NCBI
40396,GENE ID:51266,CLEC1B,CLEC2B,protein-coding,HGNC:24356,ENSG00000165682,CLEC2B,NCBI
12680,GENE ID:4312,MMP1,CLGN,protein-coding,HGNC:7155,ENSG00000196611,CLGN,NCBI
41543,GENE ID:53347,UBASH3A,CLIP4,protein-coding,HGNC:12462,ENSG00000160185,CLIP4,NCBI
29349,GENE ID:10229,COQ7,CLK1,protein-coding,HGNC:2244,ENSG00000167186,CLK1,NCBI
48371,GENE ID:78989,COLEC11,CLK1,protein-coding,HGNC:17213,ENSG00000118004,CLK1,NCBI
28308,GENE ID:9894,TELO2,CLK2,protein-coding,HGNC:29099,ENSG00000100726,CLK2,NCBI
50317,GENE ID:81035,COLEC12,CLP1,protein-coding,HGNC:16016,ENSG00000158270,CLP1,NCBI
30537,GENE ID:10614,HEXIM1,CLP1,protein-coding,HGNC:24953,ENSG00000186834,CLP1,NCBI
91801,GENE ID:105374155,SIAH2-AS1,CLRN1-AS1,ncRNA,HGNC:40526,,CLRN1-AS1,NCBI
7971,GENE ID:2776,GNAQ,CMC1,protein-coding,HGNC:4390,ENSG00000156052,CMC1,NCBI
13933,GENE ID:4880,NPPC,CNP,protein-coding,HGNC:7941,ENSG00000163273,CNP,NCBI
44861,GENE ID:56144,PCDHA4,CNR1,protein-coding,HGNC:8670,ENSG00000204967,CNR1,NCBI
44851,GENE ID:56142,PCDHA6,CNR2,protein-coding,HGNC:8672,ENSG00000081842,CNR2,NCBI
54421,GENE ID:114769,CARD16,COP1,protein-coding,HGNC:33701,ENSG00000204397,COP1,NCBI
96298,GENE ID:106479938,RNU6-1342P,COPS7B,pseudo,HGNC:56872,,COPS7B,NCBI
82506,GENE ID:100529144,CORO7-PAM16,CORO7,protein-coding,HGNC:44424,ENSG00000103426,CORO7,NCBI
16613,GENE ID:5742,PTGS1,COX1,protein-coding,HGNC:9604,ENSG00000095303,COX1,NCBI
56828,GENE ID:140468,COX11P1,COX11,pseudo,HGNC:2262,,COX11,NCBI
16623,GENE ID:5743,PTGS2,COX2,protein-coding,HGNC:9605,ENSG00000073756,COX2,NCBI
98800,GENE ID:107075310,MTCO2P12,COX2,pseudo,HGNC:52028,ENSG00000229344,COX2,NCBI
16614,GENE ID:5742,PTGS1,COX3,protein-coding,HGNC:9604,ENSG00000095303,COX3,NCBI
40245,GENE ID:51200,CPA4,CPA3,protein-coding,HGNC:15740,ENSG00000128510,CPA3,NCBI
4598,GENE ID:1548,CYP2A6,CPA6,protein-coding,HGNC:2610,ENSG00000255974,CPA6,NCBI
27146,GENE ID:9455,HOMER2,CPD,protein-coding,HGNC:17513,ENSG00000103942,CPD,NCBI
25676,GENE ID:8904,CPNE1,CPN1,protein-coding,HGNC:2314,ENSG00000214078,CPN1,NCBI
4720,GENE ID:1584,CYP11B1,CPN1,protein-coding,HGNC:2591,ENSG00000160882,CPN1,NCBI
60111,GENE ID:221184,CPNE2,CPN2,protein-coding,HGNC:2315,ENSG00000140848,CPN2,NCBI
4725,GENE ID:1585,CYP11B2,CPN2,protein-coding,HGNC:2592,ENSG00000179142,CPN2,NCBI
4063,GENE ID:1371,CPOX,CPO,protein-coding,HGNC:2321,ENSG00000080819,CPO,NCBI
4748,GENE ID:1589,CYP21A2,CPS1,protein-coding,HGNC:2600,ENSG00000231852,CPS1,NCBI
57729,GENE ID:148811,PM20D1,Cps1,protein-coding,HGNC:26518,ENSG00000162877,CPS1,NCBI
