NCBI_ID,primary_gene_symbol,collision,gene_type,HGNC_ID,ENSG_ID,source
GENE ID:9582,APOBEC3B,A3B,protein-coding,HGNC:17352,ENSG00000179750,NCBI
GENE ID:28,ABO,A3GALNT,protein-coding,HGNC:79,ENSG00000175164,NCBI
GENE ID:26301,GBGT1,A3GALNT,protein-coding,HGNC:20460,ENSG00000148288,NCBI
GENE ID:1605,DAG1,A3a,protein-coding,HGNC:2666,ENSG00000173402,NCBI
GENE ID:6443,SGCB,A3b,protein-coding,HGNC:10806,ENSG00000163069,NCBI
GENE ID:28898,IGKV1D-27,A4,pseudo,HGNC:5751,,NCBI
GENE ID:5355,PLP2,A4,protein-coding,HGNC:9087,ENSG00000102007,NCBI
GENE ID:6445,SGCG,A4,protein-coding,HGNC:10809,ENSG00000102683,NCBI
GENE ID:50617,ATP6V0A4,A4,protein-coding,HGNC:866,ENSG00000105929,NCBI
GENE ID:5756,TWF1,A6,protein-coding,HGNC:9620,ENSG00000151239,NCBI
GENE ID:28873,IGKV3D-25,A6,pseudo,HGNC:5826,,NCBI
GENE ID:28886,IGKV2D-23,A8,pseudo,HGNC:5796,,NCBI
GENE ID:10507,SEMA4D,A8,protein-coding,HGNC:10732,ENSG00000187764,NCBI
GENE ID:351,APP,AAA,protein-coding,HGNC:620,ENSG00000142192,NCBI
GENE ID:8086,AAAS,AAA,protein-coding,HGNC:13666,ENSG00000094914,NCBI
GENE ID:6510,SLC1A5,AAAT,protein-coding,HGNC:10943,ENSG00000105281,NCBI
GENE ID:6512,SLC1A7,AAAT,protein-coding,HGNC:10945,ENSG00000162383,NCBI
GENE ID:9,NAT1,AAC1,protein-coding,HGNC:7645,ENSG00000171428,NCBI
GENE ID:291,SLC25A4,AAC1,protein-coding,HGNC:10990,ENSG00000151729,NCBI
GENE ID:10,NAT2,AAC2,protein-coding,HGNC:7646,ENSG00000156006,NCBI
GENE ID:292,SLC25A5,AAC2,protein-coding,HGNC:10991,ENSG00000005022,NCBI
GENE ID:89876,CFAP91,AAT1,protein-coding,HGNC:24010,ENSG00000183833,NCBI
GENE ID:2875,GPT,AAT1,protein-coding,HGNC:4552,ENSG00000167701,NCBI
GENE ID:55672,NBPF1,AB14,protein-coding,HGNC:26088,ENSG00000219481,NCBI
GENE ID:284565,NBPF15,AB14,protein-coding,HGNC:28791,ENSG00000266338,NCBI
GENE ID:19,ABCA1,ABC1,protein-coding,HGNC:29,ENSG00000165029,NCBI
GENE ID:63897,HEATR6,ABC1,protein-coding,HGNC:24076,ENSG00000068097,NCBI
GENE ID:54784,ALKBH4,ABH4,protein-coding,HGNC:21900,ENSG00000160993,NCBI
GENE ID:63874,ABHD4,ABH4,protein-coding,HGNC:20154,ENSG00000100439,NCBI
GENE ID:101928076,DSP-AS1,ABL,ncRNA,HGNC:56039,ENSG00000261189,NCBI
GENE ID:4547,MTTP,ABL,protein-coding,HGNC:7467,ENSG00000138823,NCBI
GENE ID:25,ABL1,ABL,protein-coding,HGNC:76,ENSG00000097007,NCBI
GENE ID:26,AOC1,ABP,protein-coding,HGNC:80,ENSG00000002726,NCBI
GENE ID:6462,SHBG,ABP,protein-coding,HGNC:10839,ENSG00000129214,NCBI
GENE ID:2318,FLNC,ABP-280,protein-coding,HGNC:3756,ENSG00000128591,NCBI
GENE ID:2317,FLNB,ABP-280,protein-coding,HGNC:3755,ENSG00000136068,NCBI
GENE ID:2316,FLNA,ABP-280,protein-coding,HGNC:3754,ENSG00000196924,NCBI
GENE ID:26,AOC1,ABP1,protein-coding,HGNC:80,ENSG00000002726,NCBI
GENE ID:28988,DBNL,ABP1,protein-coding,HGNC:2696,ENSG00000136279,NCBI
GENE ID:107,ADCY1,AC1,protein-coding,HGNC:232,ENSG00000164742,NCBI
GENE ID:677882,SNORA59B,ACA59,snoRNA,HGNC:32658,,NCBI
GENE ID:677885,SNORA59A,ACA59,snoRNA,HGNC:32653,ENSG00000239149,NCBI
GENE ID:38,ACAT1,ACAT,protein-coding,HGNC:93,ENSG00000075239,NCBI
GENE ID:1066,CES1,ACAT,protein-coding,HGNC:1863,ENSG00000198848,NCBI
GENE ID:6646,SOAT1,ACAT,protein-coding,HGNC:11177,ENSG00000057252,NCBI
GENE ID:1622,DBI,ACBP,protein-coding,HGNC:2690,ENSG00000155368,NCBI
GENE ID:1370,CPN2,ACBP,protein-coding,HGNC:2313,ENSG00000178772,NCBI
GENE ID:31,ACACA,ACC,protein-coding,HGNC:84,ENSG00000278540,NCBI
GENE ID:9790,BMS1,ACC,protein-coding,HGNC:23505,ENSG00000165733,NCBI
GENE ID:31,ACACA,ACC1,protein-coding,HGNC:84,ENSG00000278540,NCBI
GENE ID:597,BCL2A1,ACC1,protein-coding,HGNC:991,ENSG00000140379,NCBI
GENE ID:32,ACACB,ACC2,protein-coding,HGNC:85,ENSG00000076555,NCBI
GENE ID:597,BCL2A1,ACC2,protein-coding,HGNC:991,ENSG00000140379,NCBI
GENE ID:2827,GPR3,ACCA,protein-coding,HGNC:4484,ENSG00000181773,NCBI
GENE ID:31,ACACA,ACCA,protein-coding,HGNC:84,ENSG00000278540,NCBI
GENE ID:84532,ACSS1,ACECS1,protein-coding,HGNC:16091,ENSG00000154930,NCBI
GENE ID:1134,CHRNA1,ACHRD,protein-coding,HGNC:1955,ENSG00000138435,NCBI
GENE ID:1144,CHRND,ACHRD,protein-coding,HGNC:1965,ENSG00000135902,NCBI
GENE ID:374654,KIF7,ACLS,protein-coding,HGNC:30497,ENSG00000166813,NCBI
GENE ID:2737,GLI3,ACLS,protein-coding,HGNC:4319,ENSG00000106571,NCBI
GENE ID:22985,ACIN1,ACN,protein-coding,HGNC:17066,ENSG00000100813,NCBI
GENE ID:4771,NF2,ACN,protein-coding,HGNC:7773,ENSG00000186575,NCBI
GENE ID:8727,CTNNAL1,ACRP,protein-coding,HGNC:2512,ENSG00000119326,NCBI
GENE ID:9552,SPAG7,ACRP,protein-coding,HGNC:11216,ENSG00000091640,NCBI
GENE ID:84680,ACCS,ACS,protein-coding,HGNC:23989,ENSG00000110455,NCBI
GENE ID:55902,ACSS2,ACS,protein-coding,HGNC:15814,ENSG00000131069,NCBI
GENE ID:23659,PLA2G15,ACS,protein-coding,HGNC:17163,ENSG00000103066,NCBI
GENE ID:23305,ACSL6,ACS2,protein-coding,HGNC:16496,ENSG00000164398,NCBI
GENE ID:51703,ACSL5,ACS2,protein-coding,HGNC:16526,ENSG00000197142,NCBI
GENE ID:2181,ACSL3,ACS3,protein-coding,HGNC:3570,ENSG00000123983,NCBI
GENE ID:7291,TWIST1,ACS3,protein-coding,HGNC:12428,ENSG00000122691,NCBI
GENE ID:348158,ACSM2B,ACSM2,protein-coding,HGNC:30931,ENSG00000066813,NCBI
GENE ID:123876,ACSM2A,ACSM2,protein-coding,HGNC:32017,ENSG00000183747,NCBI
GENE ID:9457,FHL5,ACT,protein-coding,HGNC:17371,ENSG00000112214,NCBI
GENE ID:440915,POTEKP,ACT,pseudo,HGNC:30182,,NCBI
GENE ID:11332,ACOT7,ACT,protein-coding,HGNC:24157,ENSG00000097021,NCBI
GENE ID:71,ACTG1,ACT,protein-coding,HGNC:144,ENSG00000184009,NCBI
GENE ID:641455,POTEM,ACT,protein-coding,HGNC:37096,ENSG00000222036,NCBI
GENE ID:72,ACTG2,ACT,protein-coding,HGNC:145,ENSG00000163017,NCBI
GENE ID:12,SERPINA3,ACT,protein-coding,HGNC:16,ENSG00000196136,NCBI
GENE ID:345651,ACTBL2,ACT,protein-coding,HGNC:17780,ENSG00000169067,NCBI
GENE ID:23784,POTEH,ACTBL1,protein-coding,HGNC:133,ENSG00000198062,NCBI
GENE ID:404785,POTEG,ACTBL1,protein-coding,HGNC:33896,ENSG00000187537,NCBI
GENE ID:51412,ACTL6B,ACTL6,protein-coding,HGNC:160,ENSG00000077080,NCBI
GENE ID:86,ACTL6A,ACTL6,protein-coding,HGNC:24124,ENSG00000136518,NCBI
GENE ID:91,ACVR1B,ACVRLK4,protein-coding,HGNC:172,ENSG00000135503,NCBI
GENE ID:7046,TGFBR1,ACVRLK4,protein-coding,HGNC:11772,ENSG00000106799,NCBI
GENE ID:351,APP,AD1,protein-coding,HGNC:620,ENSG00000142192,NCBI
GENE ID:967,CD63,AD1,protein-coding,HGNC:1692,ENSG00000135404,NCBI
GENE ID:55672,NBPF1,AD2,protein-coding,HGNC:26088,ENSG00000219481,NCBI
GENE ID:348,APOE,AD2,protein-coding,HGNC:613,ENSG00000130203,NCBI
GENE ID:11138,TBC1D8,AD3,protein-coding,HGNC:17791,ENSG00000204634,NCBI
GENE ID:5663,PSEN1,AD3,protein-coding,HGNC:9508,ENSG00000080815,NCBI
GENE ID:117143,TADA1,ADA1,protein-coding,HGNC:30631,ENSG00000152382,NCBI
GENE ID:100,ADA,ADA1,protein-coding,HGNC:186,ENSG00000196839,NCBI
GENE ID:9507,ADAMTS4,ADAMTS-2,protein-coding,HGNC:220,ENSG00000158859,NCBI
GENE ID:9509,ADAMTS2,ADAMTS-2,protein-coding,HGNC:218,ENSG00000087116,NCBI
GENE ID:9507,ADAMTS4,ADAMTS-4,protein-coding,HGNC:220,ENSG00000158859,NCBI
GENE ID:9508,ADAMTS3,ADAMTS-4,protein-coding,HGNC:219,ENSG00000156140,NCBI
GENE ID:339896,GADL1,ADC,protein-coding,HGNC:27949,ENSG00000144644,NCBI
GENE ID:113451,AZIN2,ADC,protein-coding,HGNC:29957,ENSG00000142920,NCBI
GENE ID:11034,DSTN,ADF,protein-coding,HGNC:15750,ENSG00000125868,NCBI
GENE ID:2934,GSN,ADF,protein-coding,HGNC:4620,ENSG00000148180,NCBI
GENE ID:8074,FGF23,ADHR,protein-coding,HGNC:3680,ENSG00000118972,NCBI
GENE ID:554,AVPR2,ADHR,protein-coding,HGNC:897,ENSG00000126895,NCBI
GENE ID:64222,TOR3A,ADIR2,protein-coding,HGNC:11997,ENSG00000186283,NCBI
GENE ID:4928,NUP98,ADIR2,protein-coding,HGNC:8068,ENSG00000110713,NCBI
GENE ID:136,ADORA2B,ADORA2,protein-coding,HGNC:264,ENSG00000170425,NCBI
GENE ID:135,ADORA2A,ADORA2,protein-coding,HGNC:263,ENSG00000128271,NCBI
GENE ID:80339,PNPLA3,ADPN,protein-coding,HGNC:18590,ENSG00000100344,NCBI
GENE ID:9370,ADIPOQ,ADPN,protein-coding,HGNC:13633,ENSG00000181092,NCBI
GENE ID:10039,PARP3,ADPRTL2,protein-coding,HGNC:273,ENSG00000041880,NCBI
GENE ID:10038,PARP2,ADPRTL2,protein-coding,HGNC:272,ENSG00000129484,NCBI
GENE ID:10039,PARP3,ADPRTL3,protein-coding,HGNC:273,ENSG00000041880,NCBI
GENE ID:10038,PARP2,ADPRTL3,protein-coding,HGNC:272,ENSG00000129484,NCBI
GENE ID:2232,FDXR,ADR,protein-coding,HGNC:3642,ENSG00000161513,NCBI
GENE ID:231,AKR1B1,ADR,protein-coding,HGNC:381,ENSG00000085662,NCBI
GENE ID:146,ADRA1D,ADRA1,protein-coding,HGNC:280,ENSG00000171873,NCBI
GENE ID:147,ADRA1B,ADRA1,protein-coding,HGNC:278,ENSG00000170214,NCBI
GENE ID:84224,NBPF3,AE2,protein-coding,HGNC:25076,ENSG00000142794,NCBI
GENE ID:6522,SLC4A2,AE2,protein-coding,HGNC:11028,ENSG00000164889,NCBI
GENE ID:5710,PSMD4,AF,protein-coding,HGNC:9561,ENSG00000159352,NCBI
GENE ID:339451,KLHL17,AF,protein-coding,HGNC:24023,ENSG00000187961,NCBI
GENE ID:5710,PSMD4,AF-1,protein-coding,HGNC:9561,ENSG00000159352,NCBI
GENE ID:3460,IFNGR2,AF-1,protein-coding,HGNC:5440,ENSG00000159128,NCBI
GENE ID:51060,TXNDC12,AG1,protein-coding,HGNC:24626,ENSG00000117862,NCBI
GENE ID:100132406,NBPF10,AG1,protein-coding,HGNC:31992,ENSG00000271425,NCBI
GENE ID:10551,AGR2,AG2,protein-coding,HGNC:328,ENSG00000106541,NCBI
GENE ID:387763,C11orf96,AG2,protein-coding,HGNC:38675,ENSG00000187479,NCBI
GENE ID:155465,AGR3,AG3,protein-coding,HGNC:24167,ENSG00000173467,NCBI
GENE ID:284565,NBPF15,AG3,protein-coding,HGNC:28791,ENSG00000266338,NCBI
GENE ID:176,ACAN,AGC1,protein-coding,HGNC:319,ENSG00000157766,NCBI
GENE ID:8604,SLC25A12,AGC1,protein-coding,HGNC:10982,ENSG00000115840,NCBI
GENE ID:3507,IGHM,AGM1,other,HGNC:5541,ENSG00000211899,NCBI
GENE ID:5238,PGM3,AGM1,protein-coding,HGNC:8907,ENSG00000013375,NCBI
GENE ID:5004,ORM1,AGP1,protein-coding,HGNC:8498,ENSG00000229314,NCBI
GENE ID:284,ANGPT1,AGP1,protein-coding,HGNC:484,ENSG00000154188,NCBI
GENE ID:79888,LPCAT1,AGPAT10,protein-coding,HGNC:25718,ENSG00000153395,NCBI
GENE ID:84803,GPAT3,AGPAT10,protein-coding,HGNC:28157,ENSG00000138678,NCBI
GENE ID:253558,LCLAT1,AGPAT8,protein-coding,HGNC:26756,ENSG00000172954,NCBI
GENE ID:84803,GPAT3,AGPAT8,protein-coding,HGNC:28157,ENSG00000138678,NCBI
GENE ID:84803,GPAT3,AGPAT9,protein-coding,HGNC:28157,ENSG00000138678,NCBI
GENE ID:79888,LPCAT1,AGPAT9,protein-coding,HGNC:25718,ENSG00000153395,NCBI
GENE ID:182,JAG1,AGS1,protein-coding,HGNC:6188,ENSG00000101384,NCBI
GENE ID:51655,RASD1,AGS1,protein-coding,HGNC:15828,ENSG00000108551,NCBI
GENE ID:11277,TREX1,AGS1,protein-coding,HGNC:12269,ENSG00000213689,NCBI
GENE ID:4853,NOTCH2,AGS2,protein-coding,HGNC:7882,ENSG00000134250,NCBI
GENE ID:79621,RNASEH2B,AGS2,protein-coding,HGNC:25671,ENSG00000136104,NCBI
GENE ID:84153,RNASEH2C,AGS3,protein-coding,HGNC:24116,ENSG00000172922,NCBI
GENE ID:26086,GPSM1,AGS3,protein-coding,HGNC:17858,ENSG00000160360,NCBI
GENE ID:10535,RNASEH2A,AGS4,protein-coding,HGNC:18518,ENSG00000104889,NCBI
GENE ID:63940,GPSM3,AGS4,protein-coding,HGNC:13945,ENSG00000213654,NCBI
GENE ID:134353,LSM11,AGS8,protein-coding,HGNC:30860,ENSG00000155858,NCBI
GENE ID:84624,FNDC1,AGS8,protein-coding,HGNC:21184,ENSG00000164694,NCBI
GENE ID:157724,SLC7A13,AGT1,protein-coding,HGNC:23092,ENSG00000164893,NCBI
GENE ID:189,AGXT,AGT1,protein-coding,HGNC:341,ENSG00000172482,NCBI
GENE ID:130872,AHSA2P,AHA1,pseudo,HGNC:20437,ENSG00000293434,NCBI
GENE ID:10598,AHSA1,AHA1,protein-coding,HGNC:1189,ENSG00000100591,NCBI
GENE ID:1543,CYP1A1,AHH,protein-coding,HGNC:2595,ENSG00000140465,NCBI
GENE ID:57491,AHRR,AHH,protein-coding,HGNC:346,ENSG00000063438,NCBI
GENE ID:128240,NAXE,AIBP,protein-coding,HGNC:18453,ENSG00000163382,NCBI
GENE ID:79000,AUNIP,AIBP,protein-coding,HGNC:28363,ENSG00000127423,NCBI
GENE ID:1786,DNMT1,AIM,protein-coding,HGNC:2976,ENSG00000130816,NCBI
GENE ID:969,CD69,AIM,protein-coding,HGNC:1694,ENSG00000110848,NCBI
GENE ID:922,CD5L,AIM,protein-coding,HGNC:1690,ENSG00000073754,NCBI
GENE ID:51151,SLC45A2,AIM1,protein-coding,HGNC:16472,ENSG00000164175,NCBI
GENE ID:9212,AURKB,AIM1,protein-coding,HGNC:11390,ENSG00000178999,NCBI
GENE ID:202,CRYBG1,AIM1,protein-coding,HGNC:356,ENSG00000112297,NCBI
GENE ID:153090,DAB2IP,AIP-1,protein-coding,HGNC:17294,ENSG00000136848,NCBI
GENE ID:9863,MAGI2,AIP-1,protein-coding,HGNC:18957,ENSG00000187391,NCBI
GENE ID:10152,ABI2,AIP-1,protein-coding,HGNC:24011,ENSG00000138443,NCBI
GENE ID:9948,WDR1,AIP1,protein-coding,HGNC:12754,ENSG00000071127,NCBI
GENE ID:10015,PDCD6IP,AIP1,protein-coding,HGNC:8766,ENSG00000170248,NCBI
GENE ID:9863,MAGI2,AIP1,protein-coding,HGNC:18957,ENSG00000187391,NCBI
GENE ID:330,BIRC3,AIP1,protein-coding,HGNC:591,ENSG00000023445,NCBI
GENE ID:23204,ARL6IP1,AIP1,protein-coding,HGNC:697,ENSG00000170540,NCBI
GENE ID:139741,ACTRT1,AIP1,protein-coding,HGNC:24027,ENSG00000123165,NCBI
GENE ID:153090,DAB2IP,AIP1,protein-coding,HGNC:17294,ENSG00000136848,NCBI
GENE ID:10152,ABI2,AIP1,protein-coding,HGNC:24011,ENSG00000138443,NCBI
GENE ID:100526794,NT5C1B-RDH14,AIRP,protein-coding,HGNC:38831,ENSG00000250741,NCBI
GENE ID:93034,NT5C1B,AIRP,protein-coding,HGNC:17818,ENSG00000185013,NCBI
GENE ID:367,AR,AIS,protein-coding,HGNC:644,ENSG00000169083,NCBI
GENE ID:8626,TP63,AIS,protein-coding,HGNC:15979,ENSG00000073282,NCBI
GENE ID:57623,ZFAT,AITD3,protein-coding,HGNC:19899,ENSG00000066827,NCBI
GENE ID:7038,TG,AITD3,protein-coding,HGNC:11764,ENSG00000042832,NCBI
GENE ID:205,AK4,AK3L1,protein-coding,HGNC:363,ENSG00000162433,NCBI
GENE ID:50808,AK3,AK3L1,protein-coding,HGNC:17376,ENSG00000147853,NCBI
GENE ID:205,AK4,AK3L2,protein-coding,HGNC:363,ENSG00000162433,NCBI
GENE ID:645619,AK4P3,AK3L2,pseudo,HGNC:21596,,NCBI
GENE ID:26289,AK5,AK6,protein-coding,HGNC:365,ENSG00000154027,NCBI
GENE ID:50808,AK3,AK6,protein-coding,HGNC:17376,ENSG00000147853,NCBI
GENE ID:100008586,GAGE12F,AL4,protein-coding,HGNC:31906,ENSG00000236362,NCBI
GENE ID:26748,GAGE12I,AL4,protein-coding,HGNC:4105,,NCBI
GENE ID:2579,GAGE7,AL4,protein-coding,HGNC:4104,,NCBI
GENE ID:645073,GAGE12G,AL4,protein-coding,HGNC:31907,ENSG00000215269,NCBI
GENE ID:9557,CHD1L,ALC1,protein-coding,HGNC:1916,ENSG00000131778,NCBI
GENE ID:4635,MYL4,ALC1,protein-coding,HGNC:7585,ENSG00000198336,NCBI
GENE ID:230,ALDOC,ALDC,protein-coding,HGNC:418,ENSG00000109107,NCBI
GENE ID:216,ALDH1A1,ALDC,protein-coding,HGNC:402,ENSG00000165092,NCBI
GENE ID:223,ALDH9A1,ALDH4,protein-coding,HGNC:412,ENSG00000143149,NCBI
GENE ID:221,ALDH3B1,ALDH4,protein-coding,HGNC:410,ENSG00000006534,NCBI
GENE ID:8659,ALDH4A1,ALDH4,protein-coding,HGNC:406,ENSG00000159423,NCBI
GENE ID:223,ALDH9A1,ALDH7,protein-coding,HGNC:412,ENSG00000143149,NCBI
GENE ID:221,ALDH3B1,ALDH7,protein-coding,HGNC:410,ENSG00000006534,NCBI
GENE ID:231,AKR1B1,ALDR1,protein-coding,HGNC:381,ENSG00000085662,NCBI
GENE ID:10327,AKR1A1,ALDR1,protein-coding,HGNC:380,ENSG00000117448,NCBI
GENE ID:225,ABCD2,ALDRP,protein-coding,HGNC:66,ENSG00000173208,NCBI
GENE ID:236,AKR1B1P2,ALDRP,pseudo,HGNC:425,,NCBI
GENE ID:286749,STON1-GTF2A1L,ALF,protein-coding,HGNC:30651,ENSG00000068781,NCBI
GENE ID:11036,GTF2A1L,ALF,protein-coding,HGNC:30727,ENSG00000242441,NCBI
GENE ID:173,AFM,ALF,protein-coding,HGNC:316,ENSG00000079557,NCBI
GENE ID:9318,COPS2,ALIEN,protein-coding,HGNC:30747,ENSG00000166200,NCBI
GENE ID:140828,LINC00261,ALIEN,ncRNA,HGNC:16189,ENSG00000259974,NCBI
GENE ID:6590,SLPI,ALK1,protein-coding,HGNC:11092,ENSG00000124107,NCBI
GENE ID:238,ALK,ALK1,protein-coding,HGNC:427,ENSG00000171094,NCBI
GENE ID:94,ACVRL1,ALK1,protein-coding,HGNC:175,ENSG00000139567,NCBI
GENE ID:26033,ATRNL1,ALP,protein-coding,HGNC:29063,ENSG00000107518,NCBI
GENE ID:250,ALPP,ALP,protein-coding,HGNC:439,ENSG00000163283,NCBI
GENE ID:10850,CCL27,ALP,protein-coding,HGNC:10626,ENSG00000213927,NCBI
GENE ID:27295,PDLIM3,ALP,protein-coding,HGNC:20767,ENSG00000154553,NCBI
GENE ID:55226,NAT10,ALP,protein-coding,HGNC:29830,ENSG00000135372,NCBI
GENE ID:6590,SLPI,ALP,protein-coding,HGNC:11092,ENSG00000124107,NCBI
GENE ID:80150,ASRGL1,ALP,protein-coding,HGNC:16448,ENSG00000162174,NCBI
GENE ID:80150,ASRGL1,ALP1,protein-coding,HGNC:16448,ENSG00000162174,NCBI
GENE ID:136991,ASZ1,ALP1,protein-coding,HGNC:1350,ENSG00000154438,NCBI
GENE ID:8085,KMT2D,ALR,protein-coding,HGNC:7133,ENSG00000167548,NCBI
GENE ID:2671,GFER,ALR,protein-coding,HGNC:4236,ENSG00000127554,NCBI
GENE ID:10327,AKR1A1,ALR,protein-coding,HGNC:380,ENSG00000117448,NCBI
GENE ID:6647,SOD1,ALS,protein-coding,HGNC:11179,ENSG00000142168,NCBI
GENE ID:3483,IGFALS,ALS,protein-coding,HGNC:5468,ENSG00000099769,NCBI
GENE ID:2066,ERBB4,ALS19,protein-coding,HGNC:3432,ENSG00000178568,NCBI
GENE ID:3178,HNRNPA1,ALS19,protein-coding,HGNC:5031,ENSG00000135486,NCBI
GENE ID:107075148,MTCO2P16,ALS2CR3,pseudo,HGNC:52032,ENSG00000234842,NCBI
GENE ID:107075278,MTND3P16,ALS2CR3,pseudo,HGNC:52076,ENSG00000224590,NCBI
GENE ID:107075210,MTND4LP16,ALS2CR3,pseudo,HGNC:42250,ENSG00000234731,NCBI
GENE ID:107075158,MTATP6P16,ALS2CR3,pseudo,HGNC:52061,ENSG00000224299,NCBI
GENE ID:107075155,MTCO3P16,ALS2CR3,pseudo,HGNC:52046,ENSG00000227736,NCBI
GENE ID:66008,TRAK2,ALS2CR3,protein-coding,HGNC:13206,ENSG00000115993,NCBI
GENE ID:2875,GPT,ALT1,protein-coding,HGNC:4552,ENSG00000167701,NCBI
GENE ID:8847,DLEU2,ALT1,ncRNA,HGNC:13748,ENSG00000231607,NCBI
GENE ID:6727,SRP14,ALURBP,protein-coding,HGNC:11299,ENSG00000140319,NCBI
GENE ID:6726,SRP9,ALURBP,protein-coding,HGNC:11304,ENSG00000143742,NCBI
GENE ID:2358,FPR2,ALX,protein-coding,HGNC:3827,ENSG00000171049,NCBI
GENE ID:84941,HSH2D,ALX,protein-coding,HGNC:24920,ENSG00000196684,NCBI
GENE ID:133,ADM,AM,protein-coding,HGNC:259,ENSG00000148926,NCBI
GENE ID:55729,ATF7IP,AM,protein-coding,HGNC:20092,ENSG00000171681,NCBI
GENE ID:146861,SLC35G3,AMAC1,protein-coding,HGNC:26848,ENSG00000164729,NCBI
GENE ID:6362,CCL18,AMAC1,protein-coding,HGNC:10616,ENSG00000275385,NCBI
GENE ID:50807,ASAP1,AMAP1,protein-coding,HGNC:2720,ENSG00000153317,NCBI
GENE ID:84073,MYCBPAP,AMAP1,protein-coding,HGNC:19677,ENSG00000136449,NCBI
GENE ID:262,AMD1,AMD,protein-coding,HGNC:457,ENSG00000123505,NCBI
GENE ID:263,AMD1P2,AMD,pseudo,HGNC:460,,NCBI
