ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,primary_gene_symbol
ENSG00000005844,GENE ID:3683,HGNC:6148,"CD11A,LFA-1,LFA1A",ITGAL
ENSG00000005882,GENE ID:5164,HGNC:8810,PDHK2,PDK2
ENSG00000005884,GENE ID:3675,HGNC:6139,"CD49C,GAP-B3,MSK18,VCA-2,VLA3A",ITGA3
ENSG00000005889,GENE ID:7543,HGNC:12869,ZNF926,ZFX
ENSG00000005893,GENE ID:3920,HGNC:6501,CD107B,LAMP2
ENSG00000005961,GENE ID:3674,HGNC:6138,"CD41,CD41B,GP2B,GPIIB,PPP1R93",ITGA2B
ENSG00000005981,GENE ID:51666,HGNC:16009,ASB-4,ASB4
ENSG00000006007,GENE ID:51573,HGNC:29644,MIR16,GDE1
ENSG00000006015,GENE ID:55049,HGNC:26098,"C19ORF60,FLJ20850,FLJ30108,FLJ34606,FLJ37391",REX1BD
ENSG00000006016,GENE ID:9244,HGNC:2364,"CISS,CISS1,CLF,CLF-1",CRLF1
ENSG00000006025,GENE ID:114881,HGNC:16387,"MGC71150,ORP7",OSBPL7
ENSG00000006042,GENE ID:26022,HGNC:24529,DKFZP564K1964,TMEM98
ENSG00000006047,GENE ID:51087,HGNC:17948,"CONTRIN,CSDA3,MSY2",YBX2
ENSG00000006059,GENE ID:3883,HGNC:6450,"HA-3I,KRT1-3,KRTHA3A",KRT33A
ENSG00000006062,GENE ID:9020,HGNC:6853,"FTDCR1B,HS,HSNIK,NIK",MAP3K14
ENSG00000006071,GENE ID:6833,HGNC:59,"ABC36,HHF1,HI,HRINS,MRP8,PHHI,SUR,SUR1,TNDM2",ABCC8
ENSG00000006116,GENE ID:10368,HGNC:1407,,CACNG3
ENSG00000006118,GENE ID:54972,HGNC:31092,"FLJ20539,GBP,HSPA5BP1",TMEM132A
ENSG00000006125,GENE ID:163,HGNC:563,"ADTB2,CLAPB1",AP2B1
ENSG00000006128,GENE ID:6863,HGNC:11517,"NKNA,NPK,TAC2",TAC1
ENSG00000006194,GENE ID:10127,HGNC:13056,"FPM315,ZKSCAN12,ZSCAN44",ZNF263
ENSG00000006210,GENE ID:6376,HGNC:10647,"ABCD-3,C3XKINE,CXC3,CXC3C,NTN,SCYD1",CX3CL1
ENSG00000006282,GENE ID:64847,HGNC:26125,"FLJ21347,SSP411,TISP78",SPATA20
ENSG00000006283,GENE ID:8913,HGNC:1394,"CAV3.1,NBR13",CACNA1G
ENSG00000006327,GENE ID:51330,HGNC:18152,"CD266,FN14,TWEAKR",TNFRSF12A
ENSG00000006377,GENE ID:1750,HGNC:2919,,DLX6
ENSG00000006432,GENE ID:4293,HGNC:6861,"MEKK9,MLK1,PRKE1",MAP3K9
ENSG00000006451,GENE ID:5898,HGNC:9839,RAL,RALA
ENSG00000006453,GENE ID:55971,HGNC:21649,IRTKS,BAIAP2L1
ENSG00000006459,GENE ID:80853,HGNC:22224,"JHDM1D,KIAA1718",KDM7A
ENSG00000006468,GENE ID:2115,HGNC:3490,ER81,ETV1
ENSG00000006530,GENE ID:55750,HGNC:21869,"FLJ10842,MULK",AGK
ENSG00000006534,GENE ID:221,HGNC:410,ALDH7,ALDH3B1
ENSG00000006555,GENE ID:55001,HGNC:26067,FLJ20619,TTC22
ENSG00000006576,GENE ID:57157,HGNC:13411,DKFZP434D166,PHTF2
ENSG00000006606,GENE ID:10344,HGNC:10625,"EOTAXIN-3,IMAC,MIP-4A,MIP-4ALPHA,SCYA26,TSC-1",CCL26
ENSG00000006607,GENE ID:9855,HGNC:16460,"FIR,FRG,KIAA0793,PLEKHC3",FARP2
ENSG00000006611,GENE ID:10083,HGNC:12597,"AIE-75,DFNB18,HARMONIN,NY-CO-37,NY-CO-38,PDZ-73,PDZ73,PDZD7C",USH1C
ENSG00000006625,GENE ID:79017,HGNC:21705,"C7ORF24,CRF21,GCTG,GGC,MGC3077",GGCT
ENSG00000006634,GENE ID:10926,HGNC:17364,"ASK,CHIF,DBF4A,ZDBF1",DBF4
ENSG00000006638,GENE ID:6915,HGNC:11608,,TBXA2R
ENSG00000006652,GENE ID:3475,HGNC:5456,"PC4,TIS7",IFRD1
ENSG00000006659,GENE ID:56891,HGNC:30054,"CLC2,PPL13",LGALS14
ENSG00000006695,GENE ID:1352,HGNC:2260,,COX10
ENSG00000006704,GENE ID:9569,HGNC:4661,"BEN,CREAM1,GTF3,MUSTRD1,RBAP2,WBSCR11,WBSCR12",GTF2IRD1
ENSG00000006712,GENE ID:54623,HGNC:25459,"F23149_1,FLJ11123,PD2",PAF1
ENSG00000006715,GENE ID:27072,HGNC:12713,HVSP41,VPS41
ENSG00000006740,GENE ID:9912,HGNC:29096,"KIAA0672,RICH-2,RICH2",ARHGAP44
ENSG00000006744,GENE ID:60528,HGNC:14198,"FLJ10530,HPC2",ELAC2
ENSG00000006747,GENE ID:85477,HGNC:21695,KIAA1905,SCIN
ENSG00000006756,GENE ID:414,HGNC:717,ASD,ARSD
ENSG00000006757,GENE ID:8228,HGNC:24887,"DXS1283E,GS2,IPLA2ETA",PNPLA4
ENSG00000006788,GENE ID:8735,HGNC:7571,MYHC-EO,MYH13
ENSG00000006831,GENE ID:79602,HGNC:24041,"ACDCR2,PAQR2",ADIPOR2
ENSG00000006837,GENE ID:51265,HGNC:15483,NKIAMRE,CDKL3
ENSG00000007001,GENE ID:151531,HGNC:23061,"UDRPASE2,UP2,UPASE2",UPP2
ENSG00000007038,GENE ID:10942,HGNC:9485,"ESP-1,TEST1",PRSS21
ENSG00000007047,GENE ID:57787,HGNC:13538,"FLJ90097,KIAA1860,MARKL1,NBLA00650,PAR-1D",MARK4
ENSG00000007062,GENE ID:8842,HGNC:9454,"AC133,CD133,CORD12,MCDR2,PROML1,RP41,STGD4",PROM1
ENSG00000007080,GENE ID:115098,HGNC:25171,"LSO2,OXS1",CCDC124
ENSG00000007129,GENE ID:90273,HGNC:28834,"FLJ13540,R29124_1",CEACAM21
ENSG00000007168,GENE ID:5048,HGNC:8574,"LIS1,MDCR,MDS,NUDF,PAFAH",PAFAH1B1
ENSG00000007171,GENE ID:4843,HGNC:7873,"HEP-NOS,INOS,NOS,NOS2A",NOS2
ENSG00000007174,GENE ID:1770,HGNC:2953,"DNAH17L,DNAHC9,DNAL1,DYH9,HL-20,HL20,KIAA0357",DNAH9
ENSG00000007202,GENE ID:9703,HGNC:28960,"BCOX,BCOX1,CT101,DKFZP686M0843,FMP27,HOB,KIAA0100,MGC111488",BLTP2
ENSG00000007216,GENE ID:9058,HGNC:10917,NADC-1,SLC13A2
ENSG00000007237,GENE ID:8522,HGNC:4169,"KIAA0394,MGC1348",GAS7
ENSG00000007255,GENE ID:79090,HGNC:23069,"HSPC289,MGC2650,TRS33",TRAPPC6A
ENSG00000007264,GENE ID:4145,HGNC:6906,"CHK,CTK,DKFZP434N1212,HHYLTK,HYL,HYLTK,LSK,MGC1708,MGC2101",MATK
ENSG00000007306,GENE ID:1087,HGNC:1819,"CEA,CGM2",CEACAM7
ENSG00000007312,GENE ID:974,HGNC:1699,"B29,IG-BETA,IGB,IGBETA",CD79B
ENSG00000007314,GENE ID:6329,HGNC:10591,"HYKPP,HYPP,NAV1.4,SKM1",SCN4A
ENSG00000007341,GENE ID:54879,HGNC:18441,"FAM4B,FLJ20284,ST7R,STLR",ST7L
ENSG00000007350,GENE ID:8277,HGNC:11835,"TKR,TKT2",TKTL1
ENSG00000007372,GENE ID:5080,HGNC:8620,"AN,AN1,AN2,D11S812E,WAGR",PAX6
ENSG00000007376,GENE ID:113000,HGNC:14173,"C16ORF40,MGC19600,RLUCL",RPUSD1
ENSG00000007384,GENE ID:64285,HGNC:20561,"C16ORF8,DIST1,EGFR-RS,FLJ2235,IRHOM1",RHBDF1
ENSG00000007392,GENE ID:55692,HGNC:6723,"HLUC7B1,LUC7,LUC7B1",LUC7L
ENSG00000007402,GENE ID:9254,HGNC:1400,"ALPHA2DELTA-2,KIAA0558",CACNA2D2
ENSG00000007516,GENE ID:8938,HGNC:948,"BAP3,KIAA0734",BAIAP3
ENSG00000007520,GENE ID:115939,HGNC:14175,"C16ORF42,MGC24381",TSR3
ENSG00000007541,GENE ID:9091,HGNC:14135,"GPI1,HGPI1",PIGQ
ENSG00000007545,GENE ID:57585,HGNC:14122,"CRAMP1L,KIAA1426",CRAMP1
ENSG00000007866,GENE ID:7005,HGNC:11716,"ETFR-1,TEAD5,TEF-5",TEAD3
ENSG00000007908,GENE ID:6401,HGNC:10718,"CD62E,ELAM,ELAM1,ESEL",SELE
ENSG00000007923,GENE ID:55735,HGNC:25570,FLJ10737,DNAJC11
ENSG00000007933,GENE ID:2328,HGNC:3771,FMOII,FMO3
ENSG00000007944,GENE ID:29116,HGNC:21155,"IDOL,MIR",MYLIP
ENSG00000007952,GENE ID:27035,HGNC:7889,"GP91-2,MOX1,NOH-1,NOH-1L,NOH1",NOX1
ENSG00000007968,GENE ID:1870,HGNC:3114,E2F-2,E2F2
ENSG00000008018,GENE ID:5689,HGNC:9537,"HC5,PMSB1",PSMB1
ENSG00000008056,GENE ID:6853,HGNC:11494,MRX50,SYN1
ENSG00000008083,GENE ID:3720,HGNC:6196,JMJ,JARID2
ENSG00000008086,GENE ID:6792,HGNC:11411,"CFAP247,EIEE2,STK9",CDKL5
ENSG00000008118,GENE ID:57172,HGNC:14585,"CLICKIII,DJ272L16.1,VWS1",CAMK1G
ENSG00000008128,GENE ID:728642,HGNC:1730,"CDC2L2,CDC2L3,CDK11-P110,CDK11-P46,CDK11-P58,P58GTA,PITSLRE",CDK11A
ENSG00000008130,GENE ID:65220,HGNC:29831,"FLJ13052,NADK1",NADK
ENSG00000008196,GENE ID:7021,HGNC:11743,"AP-2BETA,AP2-B",TFAP2B
ENSG00000008197,GENE ID:83741,HGNC:15581,"AP-2DELTA,TFAP2BL1",TFAP2D
ENSG00000008226,GENE ID:9940,HGNC:2899,"CFAP81,DLC1,FAP81",DLEC1
ENSG00000008256,GENE ID:9265,HGNC:9504,"ARNO3,CYTOHESIN-3,GRP1,PSCD3",CYTH3
ENSG00000008277,GENE ID:53616,HGNC:201,MDC2,ADAM22
ENSG00000008282,GENE ID:6856,HGNC:11507,SYPL,SYPL1
ENSG00000008283,GENE ID:1534,HGNC:2571,"CGCYTB,CYB561A1,FRRS2",CYB561
ENSG00000008294,GENE ID:9043,HGNC:14524,"CT89,FLJ13450,FLJ14006,FLJ26141,FLJ34602,HLC4,HSS,JIP-4,JIP4,JLP,KIAA0516,MGC117291,MGC14967,MGC74461,PHET,PIG6,SYD1",SPAG9
ENSG00000008300,GENE ID:1951,HGNC:3230,"ADGRC3,CDHF11,EGFL1,FMI1,HFMI1,MEGF2",CELSR3
ENSG00000008311,GENE ID:10157,HGNC:17366,"LKR/SDH,LKRSDH,LORSDH",AASS
ENSG00000008323,GENE ID:55200,HGNC:25562,"ARHGEF46,FLJ10665,MYOGEF",PLEKHG6
ENSG00000008324,GENE ID:51188,HGNC:15593,KIAA-ISO,SS18L2
ENSG00000008382,GENE ID:84954,HGNC:25934,FLJ14981,MPND
ENSG00000008394,GENE ID:4257,HGNC:7061,"GST12,MGST-I,PMAN",MGST1
ENSG00000008405,GENE ID:1407,HGNC:2384,PHLL1,CRY1
ENSG00000008438,GENE ID:8993,HGNC:8904,"PGLYRP,PGRP,PGRP-S,PGRPS,TAG7,TNFSF3L",PGLYRP1
ENSG00000008441,GENE ID:4784,HGNC:7788,NF1A,NFIX
ENSG00000008513,GENE ID:6482,HGNC:10862,"SIAT4A,SIATFL,ST3GALA.1,ST3O",ST3GAL1
ENSG00000008516,GENE ID:64386,HGNC:14246,"MMP20,MMPL1,MT6-MMP",MMP25
ENSG00000008517,GENE ID:9235,HGNC:16830,"NK4,TAIF,TAIFB,TAIFD",IL32
ENSG00000008710,GENE ID:5310,HGNC:9008,"PBP,PC-1,TRPP1",PKD1
ENSG00000008735,GENE ID:23542,HGNC:6883,"IB2,JIP2,PRKM8IPL",MAPK8IP2
ENSG00000008838,GENE ID:9862,HGNC:22963,"CRSP100,CRSP4,DRIP100,KIAA0130,MED5,THRAP4,TRAP100",MED24
ENSG00000008853,GENE ID:23221,HGNC:18756,"DBC2,KIAA0717",RHOBTB2
ENSG00000008869,GENE ID:54497,HGNC:29273,"DKFZP686P15184,KIAA1414,P200,P200A",HEATR5B
ENSG00000008952,GENE ID:7095,HGNC:11846,"DTRP1,HTP1,TLOC1",SEC62
ENSG00000008988,GENE ID:6224,HGNC:10405,"S20,US10",RPS20
ENSG00000009307,GENE ID:7812,HGNC:29905,"D1S155E,UNR",CSDE1
ENSG00000009335,GENE ID:9690,HGNC:16803,"KIAA0010,KIAA10",UBE3C
ENSG00000009413,GENE ID:5980,HGNC:9968,"POLZ,REV3",REV3L
ENSG00000009694,GENE ID:10178,HGNC:8117,"ODZ1,ODZ3,TEN-M1,TEN1,TNM",TENM1
ENSG00000009709,GENE ID:5081,HGNC:8621,HUP1,PAX7
ENSG00000009724,GENE ID:10747,HGNC:6902,"MAP-2,MAP19,MASP1P1,SMAP",MASP2
ENSG00000009765,GENE ID:389434,HGNC:21071,"C6ORF71,DEHAL1,DJ422F24.1",IYD
ENSG00000009780,GENE ID:199870,HGNC:28530,MGC34648,FAM76A
ENSG00000009790,GENE ID:80342,HGNC:30766,T3JAM,TRAF3IP3
ENSG00000009830,GENE ID:29954,HGNC:19743,LGMD2N,POMT2
ENSG00000009844,GENE ID:51534,HGNC:20954,"C6ORF55,HSPC228,MY012",VTA1
ENSG00000009950,GENE ID:51085,HGNC:12744,"BHLHD14,CHREBP,MIO,MONDOB,WBSCR14,WS-BHLH",MLXIPL
ENSG00000009954,GENE ID:9031,HGNC:961,"WBSCR10,WBSCR9,WSTF",BAZ1B
ENSG00000010017,GENE ID:10048,HGNC:13727,RANBPM,RANBP9
ENSG00000010030,GENE ID:51513,HGNC:18160,"TEL-2,TEL2",ETV7
ENSG00000010072,GENE ID:83932,HGNC:25356,"C1ORF124,DKFZP547N043,DVC1,SPARTAN",SPRTN
ENSG00000010165,GENE ID:51603,HGNC:24248,"CGI-01,DFNM1,EEF1AKNMT,FEAT,KIAA0859",METTL13
ENSG00000010219,GENE ID:8798,HGNC:3095,,DYRK4
ENSG00000010244,GENE ID:7756,HGNC:12998,BUGZ,ZNF207
ENSG00000010256,GENE ID:7384,HGNC:12585,"D3S3191,QCR1,UQCR1",UQCRC1
ENSG00000010270,GENE ID:83930,HGNC:19169,"MENTHO,MGC3251",STARD3NL
ENSG00000010278,GENE ID:928,HGNC:1709,"BA2,MIC3,MRP-1,P24,TSPAN29",CD9
ENSG00000010282,GENE ID:57467,HGNC:13242,"C3ORF3,GUP1,KIAA1173,MBOAT3,MSTP002,OACT3",HHATL
ENSG00000010292,GENE ID:9918,HGNC:24305,"CAP-D2,CNAP1,HCAP-D2,KIAA0159",NCAPD2
ENSG00000010295,GENE ID:25900,HGNC:24970,"HOM-TES-103,IFFO",IFFO1
ENSG00000010310,GENE ID:2696,HGNC:4271,,GIPR
ENSG00000010318,GENE ID:51533,HGNC:18458,"HSPC226,NYD-SP6",PHF7
ENSG00000010319,GENE ID:56920,HGNC:30400,"FLJ00014,SEM2",SEMA3G
ENSG00000010322,GENE ID:11188,HGNC:18006,"I-1,IRAS,KIAA0975",NISCH
ENSG00000010327,GENE ID:23166,HGNC:18628,"CLEVER-1,FEEL-1,FELE-1,FEX1,KIAA0246,SCARH2,STAB-1",STAB1
ENSG00000010361,GENE ID:80199,HGNC:26219,"CPLANE3,FLJ22688,FY",FUZ
ENSG00000010379,GENE ID:6540,HGNC:11046,GAT2,SLC6A13
ENSG00000010404,GENE ID:3423,HGNC:5389,"ID2S,SIDS",IDS
ENSG00000010438,GENE ID:5646,HGNC:9486,"PRSS4,TRY3,TRY4",PRSS3
ENSG00000010539,GENE ID:7752,HGNC:12993,,ZNF200
ENSG00000010610,GENE ID:920,HGNC:1678,"LEU-3,T4",CD4
ENSG00000010626,GENE ID:10233,HGNC:19138,"B7,LRPB7",LRRC23
ENSG00000010671,GENE ID:695,HGNC:1133,"AGMX1,ATK,IMD1,PSCTK1,XLA",BTK
ENSG00000010704,GENE ID:3077,HGNC:4886,"HFE1,HLA-H",HFE
ENSG00000010803,GENE ID:22955,HGNC:19003,SCML3,SCMH1
ENSG00000010810,GENE ID:2534,HGNC:4037,"MGC45350,SLK,SYN",FYN
ENSG00000010818,GENE ID:3097,HGNC:4921,"HIV-EP2,MBP-2,MIBP1,SCHNURRI-2,ZAS2,ZNF40B",HIVEP2
ENSG00000010932,GENE ID:2326,HGNC:3769,,FMO1
ENSG00000011007,GENE ID:6924,HGNC:11620,"ELOA1,SIII,TCEB3,TCEB3A",ELOA
ENSG00000011009,GENE ID:11313,HGNC:6738,APT-2,LYPLA2
ENSG00000011021,GENE ID:1185,HGNC:2024,"CLC-6,KIAA0046",CLCN6
ENSG00000011028,GENE ID:9902,HGNC:16875,"CD280,CLEC13E,ENDO180,KIAA0709",MRC2
ENSG00000011052,GENE ID:654364,HGNC:33531,"NM23-LV,NMELV",NME1-NME2
ENSG00000011083,GENE ID:6534,HGNC:11054,PROT,SLC6A7
ENSG00000011105,GENE ID:10867,HGNC:21640,NET-5,TSPAN9
