Ambiguous Symbol,# of Queries
SPDYE4,9
ACAT2,9
EGLN2,9
INPP5E,9
AHRR,9
GALNT16,9
LAP3,9
SIT1,9
PTX3,9
ECE2,9
GTF2I,9
RAI1,9
CDH19,9
LBH,9
GAPDH,9
GALNT15,9
DTL,9
CFD,9
MIF,9
C7,9
HBM,8
BACH1,8
B3GNT6,8
BTD,8
PDK1,8
SLC35E2,8
GRP,8
ARHGAP19,8
STRA13,8
USP31,8
SIK1B,8
PRH1,8
MVP,8
HADH,8
IGH,8
USP17L10,8
CDH7,8
RBM5-AS1,8
SRM,8
HYDIN2,8
RPS26,8
BRIP1,8
TVP23C,8
KRTAP5-3,8
CACNA1C-IT2,8
DUSP26,8
GABPB1,8
SCG3,8
DAB1,8
FHL3,8
CORO7,8
PRG2,8
RGS9,8
SOD2,8
BEX2,8
KLK6,8
FCGR3B,8
ACP1,8
FABP5,8
G6PD,8
XDH,8
ADRA1A,8
FHL5,8
OSR1,8
LILRB3,8
TYMP,8
PAK2,7
NFIC,7
PC,7
RGS13,7
MST1,7
TAP2,7
MS4A7,7
SYT11,7
CDH3,7
CLEC2B,7
OR52I1,7
PRR20B,7
TAP1,7
CAMP,7
SAT1,7
AUTS2,7
RASSF3,7
APOBEC3A,7
TCF3,7
TCF4,7
HK1,7
MET,7
HBB,7
FNTB,7
FAM25C,7
ARX,7
XBP1,7
DBP,7
NPR3,7
CCN1,7
PTMA,7
CPO,7
TPP1,7
POLG,7
FRMPD2,7
CCK,7
NPHP3,7
PEMT,7
FADS2,7
PAM,7
SMO,7
HARS2,7
AIDA,7
RPL13,7
LAMA3,7
EIF3CL,7
RAF1,7
FMR1,7
CDKN1A,7
KRT6C,7
EIF3A,7
HNF4A,6
RPL23,6
FMC1,6
CHP1,6
HPF1,6
ZNF688,6
VARS2,6
GTF2IRD2,6
POLB,6
RPL24,6
ZNF32,6
STAR,6
ADCY3,6
BRF1,6
TPH2,6
PSAP,6
PIGX,6
NUS1,6
RAC3,6
LDB1,6
EIF5A,6
CTNND1,6
FADS3,6
RHEB,6
BDNF,6
PRDX6,6
DBI,6
MBD2,6
IQCH,6
EBP,6
RPL36A,6
NTNG1,6
USP21,6
SCYL1,6
RASA1,6
SELP,6
PIGF,6
SPR,6
AMN,6
DLD,6
MM1,6
POMP,6
GPT,6
OSM,6
LAT,6
CERS5,6
SLK,6
NPC1,6
LRP10,6
LIPA,6
PGAM1,6
CD1A,6
SUMO3,6
TADA1,6
AMD1,6
HN1L,6
RPL10,6
RPEL1,6
KSR2,6
ALG2,6
USP10,6
DDX21,6
PPOX,6
TUBB,6
MMP25,6
POLH,6
GP1BB,6
ERF,6
RPS18,6
QARS,6
MCM2,6
LPL,6
NEU1,6
HK2,6
PDE4DIP,6
MAGI1,5
RPF1,5
SAA1,5
7SK,5
RAC1,5
ADH4,5
CIC,5
FAAH,5
TNFRSF11B,5
ZNF581,5
TNNC1,5
CLK2,5
RCN3,5
HSD17B7,5
STK3,5
SCML1,5
ELP4,5
SRGAP3,5
RGS2,5
RGP1,5
HP,5
NPIPA1,5
RAE1,5
VDR,5
TTF1,5
RBP4,5
MRPS28,5
KLF14,5
PRG3,5
RIF1,5
LY75,5
IL27,5
BOLA2,5
IMP4,5
CPT1B,5
POP4,5
TNNI3K,5
USP12,5
MGAT3,5
ZFP91,5
GCK,5
PPT2,5
BRCC3,5
TMEM123,5
RNASEH1,5
SMAP2,5
GLA,5
AZI2,5
LILRA5,5
FADS1,5
NIPA2,5
IMPDH1,5
SP3,5
MPP7,5
TUBB1,5
TMED10,5
NAF1,5
PCDH11Y,5
NOS1,5
NRF1,5
DVL1,5
LPCAT4,5
OPA1,5
PIM1,5
CLP1,5
HACL1,5
CACNA1I,5
PLEKHG5,5
PEX1,5
DESI2,5
SENP2,5
CDH24,5
PSD,5
CEACAM3,5
COP1,5
BOLA2B,5
RPA1,5
ODF2,5
HDAC7,5
ODC1,5
STAG1,5
MED25,5
USP16,5
DAP,5
HCRTR2,5
GLUD1,5
MEMO1,5
ARF1,5
DUSP23,5
RPS12,5
LTBP3,5
CBS,5
CBLC,5
ASL,5
CEP68,5
PAK1,5
POLR1C,5
COX1,5
CLIP4,5
MIEF1,5
POGZ,5
LEPR,5
DLG4,5
RPA2,4
AK3,4
SLA,4
C6,4
MBD3,4
CHAT,4
AFDN,4
STRAP,4
CHD5,4
FHOD3,4
ADA2,4
F11,4
UGT1A1,4
CYP3A7,4
UCN2,4
TCEA1,4
MLX,4
CHRNA7,4
MYH14,4
ANKRD33,4
MRPS35,4
BRI3,4
ARC,4
CA11,4
ALPI,4
MYT1,4
HAS1,4
RAET1L,4
AIP,4
RBM14,4
ALB,4
RFC1,4
APOL3,4
FGD2,4
TXN,4
FZD5,4
RNH1,4
ARPIN,4
PRF1,4
DDT,4
MRAP,4
NME1,4
NET1,4
OXR1,4
CNIH2,4
MAML2,4
NDUFA4,4
SRGAP2,4
DLG1,4
CPN1,4
TRPM2,4
PIN1,4
HK3,4
LGALS2,4
ACTBP2,4
FAS,4
EIF2AK1,4
TBC1D3L,4
TAT,4
GRIN1,4
CARF,4
NRAP,4
SMS,4
AIS1,3
LTBP2,3
ETM2,3
RGR,3
POTEB,3
POR,3
OR2T29,3
CDC14B,3
HAP1,3
PBX2,3
TRG-GCC2-3,3
EBF3,3
RBMY1D,3
EEF1AKMT4,3
NOS2,3
RCD1,3
MMAA,3
SLURP2,3
IGL,3
RBM8B,3
GBP3,3
HPR,3
RBAK,3
NPIPB5,3
PRM1,3
DGCR,3
TRR-ACG1-2,3
ST2,3
ZNF2,3
GPR89B,3
DIO1,3
AMCN,3
MYPOP,3
SRA1,3
SLC24A2,3
TRP-TGG3-2,3
SFPQ,3
H4C1,3
ANKRD30BP3,3
MGAT2,3
KLC2,3
SYT15B,3
NGB,3
HYPK,3
KRTAP10-9,3
MMP21,3
TRA-TGC3-1,3
AAVS1,3
FEM1A,3
GUSBP1,3
CTSO,3
MCS,3
MRPL27,3
TTTY1,3
ELK1,3
IGLC6,3
SULT1A3,3
RBP2,3
CENPS,3
LINC00092,3
TTTY23B,3
VAT1,3
EPPK1,3
PRR4,3
PCP2,3
TRG-GCC2-6,3
PRR23D1,3
TRC-GCA2-3,3
TRR-CCG1-2,3
PDP1,3
BCRP2,3
DEFB136,3
ME3,3
PLEKHA8,3
RNASE9,3
MIR17HG,3
TRR-TCT3-2,3
MUC3A,3
BRMS1,3
INPP5F,3
GEM,3
TRP-TGG3-1,3
CCR4,3
PAK3,3
DHFRP1,3
TRK-CTT2-2,3
OFC2,3
H2BC4,3
PRR20E,3
SMIM40,3
MIA2,3
SCP2,3
TRQ-CTG1-5,3
MPP4,3
RNASE4,3
SOHLH2,3
TRK-CTT2-3,3
SCYL2,3
MED24,3
RNR1,3
ALG10,3
LIG1,3
ADAM18,3
ACTP1,3
SCAP,3
TRNP1,3
SNURF,3
CIT,3
AFP,3
PKD2,3
GJA10,3
CBWD3,3
OR3A5P,3
MAGEA6,3
CCR10,3
TRD-GTC2-7,3
RPL7AP3,3
UBL5,3
RAD1,3
DCR,3
KRTAP2-4,3
CUZD1,3
AGMX2,3
H3C2,3
LIPB,3
PNMT,3
ART1,3
MMP23A,3
CEBPZ,3
TRG-CCC2-2,3
MPP2,3
ACLS,3
EFL1,3
ZNF576,3
ZNF230,3
NIDDM1,3
PDF,3
TRL-AAG2-4,3
SNORD115-48,3
TRX-CAT1-5,3
MTMR8,3
CIR1,3
CSN2,3
CTAGE4,3
C9,3
PLSCR3,3
MAS1,3
PRODH2,3
PRKACA,3
OFC1,3
MHAC,3
BMS1P14,3
MROH7,3
DDX31,3
CAPS2,3
STAG3L2,3
RBP5,3
H3C15,3
DERPC,3
TRQ-CTG1-3,3
MPP1,3
ZP1,3
CTH,3
TSPY1,3
PPAT,3
EPM2A,3
WASH5P,3
FGS2,3
CT45A7,3
CSTP1,3
RMD1,3
TMEFF1,3
TRG-GCC2-2,3
TOMM6,3
SDS,3
GC,3
RBMY1C,3
FAH,3
WDR11,3
BCR,3
TRQ-CTG1-4,3
RAB42,3
RNA5-8S5,3
H4C2,3
LBP,3
OR1K1,3
H3C10,3
TEP1,3
GTF2A1L,3
ZSCAN30,3
FOXO3B,3
CRP,3
RNU6-373P,3
SAA2,3
GAR1,3
H2AC15,3
MDP1,3
CCT,3
MIR198,3
TRF-GAA1-1,3
TRF-GAA1-2,3
REN,3
CABP1,3
CD3G,3
TRD-GTC2-9,3
ZNF474,3
DFNB26,3
CYC1,3
BRAP,3
GCOM1,3
NCL,3
CKLF,3
TSPY10,3
DOK1,3
TAF4B,3
ARHGAP10,3
PDX1,3
FAM47E,3
DLEU2,3
CNP,3
NAPA,3
POLD4,3
AR,3
TBC1D3C,3
MYZAP,3
EPO,3
BST1,3
SCT,3
TTLL5,3
TRQ-CTG1-2,3
NMI,3
PGP,3
KRTAP5-2,3
LIPH,3
TRS-GCT4-1,3
TRX-CAT1-3,3
MRPL32,3
TRP-TGG3-5,3
USP12P3,3
SAG,3
HPCA,3
GSG1,3
GUSBP9,3
LINC02921,3
BCRP1,3
VIP,3
DLG3,3
TRMT1,3
MS4A8,3
RRP1,3
ATF1,3
PCDH19,3
TRR-ACG1-3,3
TTN,3
TRW-CCA3-2,3
VDAC3,3
PTPA,3
TRD-GTC2-8,3
TRW-CCA3-1,3
SPDYE9,3
HRG,3
FAM236C,3
NANOGP6,3
RNU1-7P,3
TTC30B,3
TRD-GTC2-11,3
CPN2,3
SNX30,3
GALNT17,3
LINC02815,3
POTED,3
H2BC8,3
TBC1D3D,3
H3-3A,3
RNA28S5,3
PRG4,3
FCRL1,3
CT45A6,3
F10,3
PIP,3
F2,3
GTF2H2C_2,3
MAST1,3
TRG-GCC2-4,3
PISD,3
CPP,3
CDS1,3
JBS,3
TRC-GCA2-4,3
TRL-AAG2-3,3
KIR2DS5,3
TK2,3
RNU6-8,3
CYP2G2P,3
TSN,3
FRA11B,3
H2BC10,3
ARL1,3
ELK3,3
RPL29P3,3
RPL17,3
TRP-AGG2-5,3
SI,3
LSAMP-AS1,3
DGCR6,3
NSL1,3
UGT2B11,3
IL17A,3
SNRPD1,3
PAK5,3
SPANXC,3
KIR2DL3,3
MTTP,3
KLHL6,3
APOC4,3
SEA,3
TRK-TTT3-5,3
GJE1,3
H3C14,3
ZNF20,3
RNU1-6P,3
PMF1,3
CER1,3
PSG1,3
SPINT3,3
ORC2,3
CLIC5,3
MSL1,3
ARNT,3
CES2,3
CBSL,2
TRPC7,2
IMP3,2
GOLGA8F,2
LGTN,2
CFM1,2
USE1,2
CCNP,2
DRC1,2
RAB1C,2
SLC9A6,2
MRPL2,2
GOLGA6D,2
CMC1,2
CLCP1,2
H2BC6,2
LNP1,2
KIR2DS3,2
RBMY1A1,2
TPRKB,2
CENPC,2
GDA,2
SF1,2
SIGLECL1,2
SHLD3,2
NAPB,2
ASB3,2
DEFB108B,2
PTPRQ,2
NUDT10,2
CT45A8,2
KRTAP5-6,2
H4C3,2
TP53TG3F,2
H4C8,2
MTF1,2
RALBP1,2
H3C8,2
SP1,2
ETDA,2
SPATA31D3,2
MIR8069,2
TRIM49D1,2
PRAMEF25,2
TICAM2,2
MRPS12,2
PRR20C,2
SAP130,2
MADD,2
MAGEA5P,2
HCP5,2
SCNM1,2
H2BC7,2
PTPRO,2
H2AC13,2
NOV,2
GAL3ST2,2
LINC00444,2
RP1,2
MAGEA4,2
SLC17A2,2
KRTAP5-11,2
SDHC,2
EAF2,2
PRR20D,2
DMP1,2
MTFR2P1,2
RS1,2
SNORA58B,2
SYT12,2
PPIAL4F,2
ECEL1P1,2
IK,2
GDF1,2
BNC1,2
GUCA1A,2
BRPF1,2
TBC1D3,2
UGT1A,2
FBXO30,2
STN1,2
RWDD4,2
DPPA3,2
PRB1,2
RPN1,2
FADS6,2
NT5C1B,2
PASK,2
CAD,2
CT45A9,2
TPSB2,2
SLIT1,2
NANOGP3,2
RBP3,2
PAF1,2
P2RX5,2
TP53TG3C,2
SMC2,2
ASNSD1,2
PIK3CD,2
SCARNA17,2
PGK2,2
PSG9,2
FCGR2C,2
H2AC17,2
CDH16,2
PLGLA,2
HLF,2
TRK-CTT2-5,2
RFT1,2
DMC1,2
ZNF468,2
SIRPB2,2
XAGE1B,2
FTX,2
ZNF141,2
PRMT9,2
MLN,2
SH3BGR,2
NBPF9,2
DGCR2,2
KIR2DL1,2
GJC1,2
APC2,2
RAX,2
MFRP,2
POTEB2,2
EMILIN3,2
KRTAP5-1,2
TRAC,2
STAG3L1,2
TRAPPC2B,2
FZD3,2
LIMS4,2
DRP2,2
KIR2DL5B,2
ZBP1,2
HNRNPCL3,2
FAM236D,2
GYPA,2
ELOA3CP,2
MIR499A,2
NBN,2
H3-3B,2
TPO,2
FOLR1,2
UBTFL5,2
GPX6,2
HTRA3,2
PIGU,2
SPAG11A,2
RNU1-8P,2
H4C6,2
GALNT4,2
CRYAA,2
DESI1,2
NOP9,2
FAM90A2P,2
PTPN20CP,2
POM121L1P,2
IGHEP1,2
CFC1B,2
ZNF264,2
CGA,2
KCNMB2,2
HGF,2
MOS,2
ANCR,2
TRF-GAA1-6,2
APPL2,2
UFM1P1,2
NARF,2
H3C7,2
RNA45S4,2
MAGEE1,2
PMS2P13,2
DUSP13,2
DVL1P1,2
H2AC18,2
THM,2
ST7,2
FAM66E,2
RP2,2
H4C11,2
H2AC4,2
TRX-CAT1-8,2
PMS2CL,2
TRR-ACG1-1,2
MPI,2
MAFA,2
CT45A2,2
ASIP,2
HEPN1,2
TP53TG3,2
MTCP1,2
TCP11X2,2
DUX4,2
PRR23D2,2
TRP-TGG3-3,2
SMAD1,2
RUFY3,2
TAAR2,2
PNP,2
ING2,2
MGAT1,2
PSG11,2
CDR1-AS,2
FAN1,2
TRK-CTT7-1,2
GOLGA8R,2
TRI-AAT5-1,2
TRS-GCT4-2,2
H4C5,2
LYPLAL1-AS1,2
SCGB1C1,2
RNA45S5,2
AIS2,2
HCG18,2
CCA1,2
TRP-AGG2-7,2
TRS-AGA2-6,2
NMB,2
ZSCAN31,2
H2AC16,2
GUSBP4,2
H4C13,2
CDH20,2
GJA9,2
SCYL3,2
DEF6,2
IHG1,2
CPA6,2
LRRC37A,2
KLK3,2
KRTAP5-8,2
FCRL2,2
CCL15,2
MRPL22,2
MME,2
GK2,2
H2AC8,2
HRH1,2
CBLB,2
NANOGP5,2
H4C4,2
MRX31,2
SPG29,2
B3GNT8,2
ZNF233,2
GAGE4,2
SMIM10L2A,2
POU5F1P4,2
TRS-GCT4-3,2
H3C3,2
NOTCH2NL,2
H3C12,2
OCM,2
OR1D4,2
RASSF4,2
IFNA13,2
SMIM11B,2
TRR-TCT3-1,2
TRP-TGG3-4,2
DFNB83,2
DFNA40,2
PRSS1,2
TKT,2
TRT-AGT4-1,2
TRIM49B,2
S12,2
MRPL28,2
KRTAP5-9,2
GLC1M,2
FRA16D,2
GALNT7,2
TRK-CTT2-4,2
GOLGA8B,2
CSN3,2
ATP2B2,2
TRC-GCA2-1,2
ARF1P2,2
TRE-TTC1-2,2
OR4F5,2
TRI-AAT5-3,2
H4C9,2
NUDT4B,2
TRL-AAG2-2,2
GLUD2,2
MTHFS,2
H4C14,2
SOCS4,2
OA3,2
ME2,2
SULT1C2,2
TRD-GTC2-6,2
DFNA52,2
TRP-AGG2-2,2
GPR42,2
FKBP6,2
TP53TG3D,2
ARFGAP1,2
CEACAM22P,2
EXOC1,2
H3C11,2
GABPB2,2
PMS2P2,2
H4-16,2
RSS,2
FOXL3,2
TRIM49D2,2
TRIM80P,2
MCRIP2P1,2
TRY-GTA5-2,2
PAN3,2
ZNF408,2
FBP2,2
MIP,2
ZNF182,2
ST3,2
NOTCH2NLR,2
DYT17,2
MIR1291,2
ELP1,2
ISY1,2
DAO,2
CFM2,2
ARPC4,2
H2AB3,2
CAPG,2
FRAXE,2
RNA18S5,2
SOCS7,2
H3C6,2
LIG3,2
TRF-GAA1-4,2
KRTAP2-1,2
H2AC19,2
TTTY23,2
TTTY7B,2
BTF3,2
TGM6,2
RILP,2
TRH-GTG1-8,2
ATD,2
NANOGP1,2
FABP5P1,2
NPIPA7,2
SPATA31C2,2
SERPINB11,2
PRX,2
OR9G1,2
SMIM39,2
FOXD4L4,2
NANOGP4,2
PRR20A,2
POP1,2
TRY-GTA5-3,2
PEPC,2
CAPS,2
TGS1,2
NPY4R,2
BCL5,2
GOT1,2
NT3,2
TTTY6,2
PTH2,2
SLC23A1,2
NEURL3,2
THY1-AS1,2
SLC4A5,2
H2AB2,2
TST,2
POU5F1,2
TRG-GCC2-5,2
H3C4,2
FAM138F,2
TRR-CCG1-1,2
BMI1,2
TRA,2
KRTAP4-7,2
MRT4,2
KRTAP2-3,2
TRX-CAT1-4,2
RNA18S4,2
TSSK4,2
TDH,2
TRI-AAT5-5,2
EXT2,2
ZNF322,2
DRC3,2
MRPL15,2
DRG1,2
MMP20,2
TRR-CCG1-3,2
ATR,2
TRGC1,2
CLGN,2
H4C15,2
TRAV11,2
CHMP4A,2
ENO1-IT1,2
GSS,2
SMIM10L2B,2
WDR82,2
PVALB,2
H4C12,2
TP53TG3E,2
NAT1,2
LINC00470,2
NANOGP2,2
MAK,2
CYP2B7P,2
RNU12,2
CSNK2A1,2
DAP3,2
CNR1,2
NOTCH2NLA,2
LHFPL4,2
EIF2A,2
NUBP1,2
HPT,2
COD2,2
TRY-GTA5-4,2
SP5,2
OR4M2,2
TRA-TGC3-2,2
ORC1,2
HPP1,2
TTTY8,2
STAG3L3,2
RASSF5,2
DFNA42,2
FRAXA,2
WT2,2
LRP2BP,2
H3C1,2
SRP9,2
MRX82,2
AVP,2
H2AC11,2
HRES1,2
H3C13,2
METTL2A,2
DDX11L1,2
TEN1,2
CHMP4B,2
TRX-CAT1-7,2
TRQ-CTG1-1,2
STK1,1
GIF,1
TAZ,1
SPACDR,1
