,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
12246,ENSG00000167670,CHAF1A,1910,10036, CAF1
9183,ENSG00000148677,ANKRD1,15819,27063, CARP
9163,ENSG00000148481,MINDY3,23578,80013, CARP
14627,ENSG00000178538,CA8,1382,767, CARP
41314,ENSG00000248333,CDK11B,1729,984, CDK11-P110
203,ENSG00000008128,CDK11A,1730,728642, CDK11-P110
41314,ENSG00000248333,CDK11B,1729,984, CDK11-P46
203,ENSG00000008128,CDK11A,1730,728642, CDK11-P46
41314,ENSG00000248333,CDK11B,1729,984, CDK11-P58
203,ENSG00000008128,CDK11A,1730,728642, CDK11-P58
17977,ENSG00000198610,AKR1C4,387,1109, CDR
1453,ENSG00000079102,RUNX1T1,1535,862, CDR
847,ENSG00000062598,ELMO2,17233,63916, CED12
2733,ENSG00000102890,ELMO3,17289,79767, CED12
9973,ENSG00000155849,ELMO1,16286,9844, CED12
9325,ENSG00000149798,CDC42EP2,16263,10435, CEP2
5815,ENSG00000126001,CEP250,1859,11190, CEP2
11032,ENSG00000163220,S100A9,10499,6280, CFAG
8474,ENSG00000143546,S100A8,10498,6279, CFAG
11033,ENSG00000163221,S100A12,10489,6283, CGRP
3816,ENSG00000110680,CALCA,1437,796, CGRP
954,ENSG00000065883,CDK13,1733,8621, CHED
5772,ENSG00000125850,OVOL2,15804,58495, CHED
8500,ENSG00000143669,LYST,1968,1130, CHS1
6647,ENSG00000132549,VPS13B,2183,157680, CHS1
11228,ENSG00000163823,CCR1,1602,1230, CKR-1
11093,ENSG00000163464,CXCR1,6026,3577, CKR-1
11745,ENSG00000165688,PMPCA,18667,23203, CLA1
1222,ENSG00000073060,SCARB1,1664,949, CLA1
1128,ENSG00000070718,AP3M2,570,10947, CLA20
2336,ENSG00000100478,AP4S1,575,11154, CLA20
2490,ENSG00000101222,SPEF1,15874,25876, CLAMP
13867,ENSG00000174827,PDZK1,8821,5174, CLAMP
1921,ENSG00000091106,NLRC4,16412,58484, CLAN
30688,ENSG00000228742,LINC02577,53749,111216280, CLAN
2081,ENSG00000096872,IFT74,21424,80173, CMG1
16175,ENSG00000185650,ZFP36L1,1107,677, CMG1
4814,ENSG00000118194,TNNT2,11949,7139, CMPD2
15748,ENSG00000183873,SCN5A,10593,6331, CMPD2
13874,ENSG00000174871,CNIH2,28744,254263, CNIL
2348,ENSG00000100528,CNIH1,19431,10175, CNIL
27297,ENSG00000224389,C4B,1324,721, CO4
22088,ENSG00000206340,C4A,1323,720, CO4
2639,ENSG00000102076,OPN1LW,9936,5956, COD5
53794,ENSG00000268221,OPN1MW,4206,2652, COD5
10984,ENSG00000163050,COQ8A,16812,56997, COQ8
5459,ENSG00000123815,COQ8B,19041,79934, COQ8
1514,ENSG00000080819,CPOX,2321,1371, CPX
8995,ENSG00000147155,EBP,3133,10682, CPX
5273,ENSG00000122145,TBX22,11600,50945, CPX
3112,ENSG00000105392,CRX,2383,1406, CRD
10040,ENSG00000156313,RPGR,10295,6103, CRD
2520,ENSG00000101343,CRNKL1,15762,51340, CRN
8729,ENSG00000145244,CORIN,19012,10699, CRN
31040,ENSG00000229150,CRYGEP,2412,, CRYG5
12485,ENSG00000168582,CRYGA,2408,1418, CRYG5
28420,ENSG00000225830,ERCC6,3438,2074, CSB
24071,ENSG00000213218,CSH2,2441,1443, CSB
1937,ENSG00000091482,SMPX,11122,23676, CSL
21498,ENSG00000204414,CSHL1,2442,1444, CSL
12751,ENSG00000169727,GPS1,4549,2873, CSN1
5865,ENSG00000126545,CSN1S1,2445,1446, CSN1
9353,ENSG00000150281,CTF1,2499,1489, CT1
6388,ENSG00000130821,SLC6A8,11055,6535, CT1
2331,ENSG00000100450,GZMH,4710,2999, CTLA1
2332,ENSG00000100453,GZMB,4709,3002, CTLA1
9872,ENSG00000154781,CCDC174,28033,51244, CTR1
7395,ENSG00000136868,SLC31A1,11016,1317, CTR1
10216,ENSG00000157851,DPYSL5,20637,56896, CV2
11477,ENSG00000164619,BMPER,24154,168667, CV2
14755,ENSG00000179142,CYP11B2,2592,1585, CYP11B
10629,ENSG00000160882,CYP11B1,2591,1584, CYP11B
17726,ENSG00000197838,CYP2A13,2608,1553, CYP2A
46793,ENSG00000255974,CYP2A6,2610,1548, CYP2A
3519,ENSG00000108242,CYP2C18,2620,1562, CYP2C
11783,ENSG00000165841,CYP2C19,2621,1557, CYP2C
13170,ENSG00000171497,PPID,9257,5481, CYPD
3514,ENSG00000108179,PPIF,9259,10105, CYPD
6333,ENSG00000130598,TNNI2,11946,7136, DA2B
6332,ENSG00000130595,TNNT3,11950,7140, DA2B
5190,ENSG00000121351,IAPP,5329,3375, DAP
5473,ENSG00000123992,DNPEP,2981,23549, DAP
13632,ENSG00000173530,TNFRSF10D,11907,8793, DCR2
4094,ENSG00000112486,CCR6,1607,1235, DCR2
13537,ENSG00000173077,DELEC1,23658,, DEC1
6871,ENSG00000134107,BHLHE40,1046,8553, DEC1
14257,ENSG00000176782,DEFB104A,18115,140596, DEFB4
13215,ENSG00000171711,DEFB4A,2767,1673, DEFB4
5223,ENSG00000121742,GJB6,4288,10804, DFNA3
11685,ENSG00000165474,GJB2,4284,2706, DFNA3
9765,ENSG00000153933,DGKE,2852,8526, DGK
7287,ENSG00000136267,DGKB,2850,1607, DGK
2248,ENSG00000100243,CYB5R3,2873,1727, DIA1
15223,ENSG00000181744,DIPK2A,28490,205428, DIA1
7608,ENSG00000137875,BCL2L10,993,10017, DIVA
32149,ENSG00000230524,COL6A4P1,33484,, DIVA
15,ENSG00000001626,CFTR,1884,1080, DJ760C5.1
30575,ENSG00000228593,CFTRP1,16182,, DJ760C5.1
10201,ENSG00000157693,TMEM268,24513,203197, DKFZP547P234
7405,ENSG00000136888,ATP6V1G1,864,9550, DKFZP547P234
3847,ENSG00000110911,SLC11A2,10908,4891, DMT1
7446,ENSG00000137090,DMRT1,2934,1761, DMT1
13633,ENSG00000173531,MST1,7380,4485, DNF15S2
11305,ENSG00000164062,APEH,586,327, DNF15S2
49017,ENSG00000259637,DNM1P38,35188,, DNM1DN11@
63385,ENSG00000280038,DNM1P41,35191,, DNM1DN11@
49035,ENSG00000259660,DNM1P47,35200,, DNM1DN14@
15372,ENSG00000182397,DNM1P46,35199,, DNM1DN14@
49933,ENSG00000260897,DNM1P30,35177,, DNM1DN3@
50579,ENSG00000261792,DNM1P28,35175,, DNM1DN3@
50518,ENSG00000261708,DNM1P32,35179,, DNM1DN4@
50366,ENSG00000261491,DNM1P31,35178,, DNM1DN4@
49933,ENSG00000260897,DNM1P30,35177,, DNM1DN4@
49543,ENSG00000260357,DNM1P34,35181,, DNM1DN8@
41090,ENSG00000246877,DNM1P35,35182,, DNM1DN8@
11351,ENSG00000164162,ANAPC10,24077,10393, DOC1
3903,ENSG00000111328,CDK2AP1,14002,8099, DOC1
6199,ENSG00000129625,REEP5,30077,7905, DP1
12393,ENSG00000168229,PTGDR,9591,5729, DP1
17852,ENSG00000198176,TFDP1,11749,7027, DP1
13686,ENSG00000173801,JUP,6207,3728, DP3
7028,ENSG00000134982,APC,583,324, DP3
9652,ENSG00000152818,UTRN,12635,7402, DRP1
7922,ENSG00000139726,DENR,2769,8562, DRP1
18017,ENSG00000198721,ECI2,14601,10455, DRS1
5527,ENSG00000124228,DDX27,15837,55661, DRS1
16770,ENSG00000188021,UBQLN2,12509,29978, DSK2
7033,ENSG00000135018,UBQLN1,12508,29979, DSK2
28827,ENSG00000226344,CST12P,31920,, E2
9395,ENSG00000150768,DLAT,2896,1737, E2
1928,ENSG00000091140,DLD,2898,1738, E3
8370,ENSG00000143149,ALDH9A1,412,223, E3
2485,ENSG00000101204,CHRNA4,1958,1137, EBN
1289,ENSG00000075043,KCNQ2,6296,3785, EBN
1289,ENSG00000075043,KCNQ2,6296,3785, EBN1
2485,ENSG00000101204,CHRNA4,1958,1137, EBN1
13047,ENSG00000170989,S1PR1,3165,1901, EDG1
16491,ENSG00000186834,HEXIM1,24953,10614, EDG1
3291,ENSG00000106245,BUD31,29629,8896, EDG2
17830,ENSG00000198121,LPAR1,3166,1902, EDG2
3602,ENSG00000108785,HSD17B1P1,5216,, EDHB17
3603,ENSG00000108786,HSD17B1,5210,3292, EDHB17
3844,ENSG00000110888,CAPRIN2,21259,65981, EEG1
6997,ENSG00000134802,SLC43A3,17466,29015, EEG1
13665,ENSG00000173674,EIF1AX,3250,1964, EIF1A
13691,ENSG00000173812,EIF1,3249,10209, EIF1A
3911,ENSG00000111361,EIF2B1,3257,1967, EIF2B
4409,ENSG00000115211,EIF2B4,3260,8890, EIF2B
4982,ENSG00000119718,EIF2B2,3258,8892, EIF2B
10113,ENSG00000156976,EIF4A2,3284,1974, EIF4A
10740,ENSG00000161960,EIF4A1,3282,1973, EIF4A
10113,ENSG00000156976,EIF4A2,3284,1974, EIF4F
9444,ENSG00000151247,EIF4E,3287,1977, EIF4F
16175,ENSG00000185650,ZFP36L1,1107,677, ERF1
5119,ENSG00000120705,ETF1,3477,2107, ERF1
1758,ENSG00000087510,TFAP2C,11744,7022, ERF1
5970,ENSG00000127554,GFER,4236,2671, ERV1
13830,ENSG00000174600,CMKLR1,2121,1240, ERV1
6653,ENSG00000132589,FLOT2,3758,2319, ESA
5003,ENSG00000119888,EPCAM,11529,4072, ESA
13522,ENSG00000172977,KAT5,5275,10524, ESA1
6653,ENSG00000132589,FLOT2,3758,2319, ESA1
8159,ENSG00000141446,ESCO1,24645,114799, ESO1
15781,ENSG00000184033,CTAG1B,2491,1485, ESO1
3517,ENSG00000108231,LGI1,6572,9211, ETL1
10998,ENSG00000163104,SMARCAD1,18398,56916, ETL1
13864,ENSG00000174804,FZD4,4042,8322, EVR1
10784,ENSG00000162337,LRP5,6697,4041, EVR1
7896,ENSG00000139618,BRCA2,1101,675, FACD
8633,ENSG00000144554,FANCD2,3585,2177, FACD
8633,ENSG00000144554,FANCD2,3585,2177, FAD
1513,ENSG00000080815,PSEN1,9508,5663, FAD
7896,ENSG00000139618,BRCA2,1101,675, FAD
7896,ENSG00000139618,BRCA2,1101,675, FANCD
8633,ENSG00000144554,FANCD2,3585,2177, FANCD
4049,ENSG00000112234,FBXL4,13601,26235, FBL5
4859,ENSG00000118564,FBXL5,13602,26234, FBL5
13545,ENSG00000173120,KDM2A,13606,22992, FBL7
15655,ENSG00000183580,FBXL7,13604,23194, FBL7
10096,ENSG00000156860,FBRS,20442,64319, FBS1
4620,ENSG00000116661,FBXO2,13581,26232, FBS1
3706,ENSG00000109670,FBXW7,16712,55294, FBX30
6713,ENSG00000132879,FBXO44,24847,93611, FBX30
73946,ENSG00000291135,FCGR1BP,,2210, FCG1
9355,ENSG00000150337,FCGR1A,3613,2209, FCG1
1205,ENSG00000072694,FCGR2B,3618,2213, FCG2
8395,ENSG00000143226,FCGR2A,3616,2212, FCG2
10902,ENSG00000162747,FCGR3B,3620,2215, FCG3
21275,ENSG00000203747,FCGR3A,3619,2214, FCG3
73946,ENSG00000291135,FCGR1BP,,2210, FCGR1
9355,ENSG00000150337,FCGR1A,3613,2209, FCGR1
1205,ENSG00000072694,FCGR2B,3618,2213, FCGR2
8395,ENSG00000143226,FCGR2A,3616,2212, FCGR2
21275,ENSG00000203747,FCGR3A,3619,2214, FCGR3
10902,ENSG00000162747,FCGR3B,3620,2215, FCGR3
17749,ENSG00000197894,ADH5,253,128, FDH
8695,ENSG00000144908,ALDH1L1,3978,10840, FDH
11698,ENSG00000165507,DEPP1,23355,11067, FIG
634,ENSG00000047932,GOPC,17643,57120, FIG
39,ENSG00000003402,CFLAR,1876,8837, FLIP
4,ENSG00000000460,FIRRM,25565,55732, FLIP
71287,ENSG00000288370,CTAGE4,24772,100128553, FLJ43692
24068,ENSG00000213214,ARHGEF35,33846,445328, FLJ43692
10593,ENSG00000160679,CHTOP,24511,26097, FOP
23976,ENSG00000213066,CEP43,17012,11116, FOP
14436,ENSG00000177548,RABEP2,24817,79874, FRA
3775,ENSG00000110195,FOLR1,3791,2348, FRA
9219,ENSG00000148985,PGAP2,17893,27315, FRAG1
14142,ENSG00000176208,ATAD5,25752,79915, FRAG1
3777,ENSG00000110203,FOLR3,3795,2352, FRG
144,ENSG00000006607,FARP2,16460,9855, FRG
8547,ENSG00000143951,WDPCP,28027,51057, FRITZ
10969,ENSG00000162998,FRZB,3959,2487, FRITZ
584,ENSG00000042286,AIFM2,21411,84883, FSP1
17172,ENSG00000196154,S100A4,10494,6275, FSP1
17943,ENSG00000198513,ATL1,11231,51062, FSP1
6333,ENSG00000130598,TNNI2,11946,7136, FSSV
6332,ENSG00000130595,TNNT3,11950,7140, FSSV
1842,ENSG00000089280,FUS,4010,2521, FUS1
4310,ENSG00000114383,TUSC2,17034,11334, FUS1
23993,ENSG00000213088,ACKR1,4035,2532, FY
262,ENSG00000010361,FUZ,26219,80199, FY
3291,ENSG00000106245,BUD31,29629,8896, G10
21472,ENSG00000204366,ZBTB12,19066,221527, G10
4345,ENSG00000114737,CISH,1984,1154, G18
22079,ENSG00000206314,GPSM3,13945,63940, G18
3796,ENSG00000110427,KIAA1549L,24836,25758, G2
31040,ENSG00000229150,CRYGEP,2412,, G2
21521,ENSG00000204469,PRRC2A,13918,7916, G2
3364,ENSG00000106648,GALNTL5,21725,168391, GALNT15
3788,ENSG00000110328,GALNT18,30488,374378, GALNT15
7533,ENSG00000137507,LRRC32,4161,2615, GARP
1129,ENSG00000070729,CNGB1,2151,1258, GARP
63910,ENSG00000280789,PAGR1,28707,79447, GAS
8103,ENSG00000141012,GALNS,4122,2588, GAS
507,ENSG00000033800,PIAS1,2752,8554, GBP
125,ENSG00000006118,TMEM132A,31092,54972, GBP
647,ENSG00000048545,GUCA1A,4678,2978, GCAP
11045,ENSG00000163286,ALPG,441,251, GCAP
1835,ENSG00000089195,TRMT6,20900,51605, GCD10
1792,ENSG00000088766,CRLS1,16148,54675, GCD10
6338,ENSG00000130640,TUBGCP2,18599,10844, GCP2
1696,ENSG00000086205,FOLH1,3788,2346, GCP2
5270,ENSG00000122133,PAEP,8573,5047, GDA
5359,ENSG00000122912,SLC25A16,10986,8034, GDA
13311,ENSG00000172062,SMN1,11117,6606, GEMIN1
21872,ENSG00000205571,SMN2,11118,6606, GEMIN1
8829,ENSG00000145916,RMND5B,26181,64777, GID2
9734,ENSG00000153561,RMND5A,25850,64795, GID2
11495,ENSG00000164684,ZNF704,32291,619279, GIG1
8339,ENSG00000142871,CCN1,2654,3491, GIG1
4422,ENSG00000115263,GCG,4191,2641, GLP1
25642,ENSG00000220201,ZGLP1,37245,100125288, GLP1
14456,ENSG00000177628,GBA1,4177,2629, GLUC
42359,ENSG00000249948,GBA3,19069,57733, GLUC
73948,ENSG00000291137,GBA1LP,,2630, GLUC
17311,ENSG00000196517,SLC6A9,11056,6536, GLYT1
6484,ENSG00000131446,MGAT1,7044,4245, GLYT1
11811,ENSG00000165970,SLC6A5,11051,9152, GLYT2
21387,ENSG00000204136,GGTA1,4253,2681, GLYT2
3960,ENSG00000111711,GOLT1B,20175,51026, GOT1
13823,ENSG00000174567,GOLT1A,24766,127845, GOT1
6352,ENSG00000130706,ADRM1,15759,11047, GP110
6158,ENSG00000129226,CD68,1693,968, GP110
23993,ENSG00000213088,ACKR1,4035,2532, GPD
7365,ENSG00000136732,GYPC,4704,2995, GPD
7611,ENSG00000137878,GCOM1,26424,145781, GRINL1A
46603,ENSG00000255529,POLR2M,14862,81488, GRINL1A
10476,ENSG00000159899,NPR2,7944,4882, GUCY2B
4207,ENSG00000113389,NPR3,7945,4883, GUCY2B
254,ENSG00000010282,HHATL,13242,57467, GUP1
51081,ENSG00000263155,MYZAP,43444,100820829, GUP1
7344,ENSG00000136631,VPS45,14579,11311, H1
12701,ENSG00000169504,CLIC4,13518,25932, H1
1403,ENSG00000077782,FGFR1,3688,2260, H2
3398,ENSG00000107014,RLN2,10027,6019, H2
71912,ENSG00000288825,H2AC18,4736,8337, H2A/Q
15832,ENSG00000184260,H2AC20,4738,8338, H2A/Q
3507,ENSG00000108091,CCDC6,18782,8030, H4
1403,ENSG00000077782,FGFR1,3688,2260, H4
3538,ENSG00000108387,SEPTIN4,9165,5414, H5
1403,ENSG00000077782,FGFR1,3688,2260, H5
7391,ENSG00000136859,ANGPTL2,490,23452, HARP
13972,ENSG00000175311,ANKS4B,26795,257629, HARP
5744,ENSG00000125779,PANK2,15894,80025, HARP
11699,ENSG00000165509,MAGEC3,23798,139081, HCA2
15453,ENSG00000182782,HCAR2,24827,338442, HCA2
3504,ENSG00000108055,SMC3,2468,9126, HCAP
10697,ENSG00000161634,DCD,14669,117159, HCAP
21803,ENSG00000205323,SARNP,24432,84324, HCC-1
59625,ENSG00000276409,CCL14,10612,6358, HCC-1
38589,ENSG00000239264,TXNDC5,21073,81567, HCC-2
15274,ENSG00000181991,MRPS11,14050,64963, HCC-2
58125,ENSG00000275095,CCL16,10614,6360, HCC-4
9707,ENSG00000153250,RBMS1,9907,5937, HCC-4
16006,ENSG00000184992,BRI3BP,14251,140707, HCCR-2
681,ENSG00000050426,LETMD1,24241,25875, HCCR-2
7506,ENSG00000137397,TRIM31,16289,11074, HCG1
7282,ENSG00000136243,NUP42,17010,11097, HCG1
3391,ENSG00000106927,AMBP,453,259, HCP
1514,ENSG00000080819,CPOX,2321,1371, HCP
5232,ENSG00000121797,CCRL2,1612,9034, HCR
21548,ENSG00000204536,CCHCR1,13930,54535, HCR
11543,ENSG00000164871,SPAG11B,14534,10407, HE2
14585,ENSG00000178287,SPAG11A,33342,10407, HE2
10342,ENSG00000158813,EDA,3157,1896, HED
11329,ENSG00000164107,HAND2,4808,9464, HED
5223,ENSG00000121742,GJB6,4288,10804, HED
13233,ENSG00000171786,NHLH1,7817,4807, HEN1
10866,ENSG00000162639,HENMT1,26400,113802, HEN1
11918,ENSG00000166352,IFTAP,25142,119710, HEPIS
47867,ENSG00000258315,C17orf49,28737,124944, HEPIS
7283,ENSG00000136244,IL6,6018,3569, HGF
4530,ENSG00000115904,SOS1,11187,6654, HGF
9794,ENSG00000154134,ROBO3,13433,64221, HGPS
10613,ENSG00000160789,LMNA,6636,4000, HGPS
1626,ENSG00000084073,ZMPSTE24,12877,10269, HGPS
123,ENSG00000006071,ABCC8,59,6833, HI
8977,ENSG00000147081,AKAP4,374,8852, HI
11350,ENSG00000164161,HHIP,14866,64399, HIP
10779,ENSG00000162244,RPL29,10331,6159, HIP
2306,ENSG00000100380,ST13,11343,6767, HIP
1324,ENSG00000075673,ATP12A,13816,479, HK
4266,ENSG00000113889,KNG1,6383,3827, HK
38734,ENSG00000239618,HLA-L,4970,, HLAL
15354,ENSG00000182333,LIPF,6622,8513, HLAL
2332,ENSG00000100453,GZMB,4709,3002, HLP
13687,ENSG00000173805,HAP1,4812,9001, HLP
21464,ENSG00000204351,SKIC2,10898,6499, HLP
4509,ENSG00000115756,HPCAL1,5145,3241, HLP2
24962,ENSG00000215301,DDX3X,2745,1654, HLP2
1343,ENSG00000076242,MLH1,7127,4292, HNPCC
2023,ENSG00000095002,MSH2,7325,4436, HNPCC
2974,ENSG00000104760,FGL1,3695,2267, HPS
3440,ENSG00000107521,HPS1,5163,3257, HPS
6706,ENSG00000132842,AP3B1,566,8546, HPS2
10509,ENSG00000160182,TFF1,11755,7031, HPS2
13275,ENSG00000171931,FBXW10,1211,10517, HREP
39460,ENSG00000241322,FBXW10B,14379,374286, HREP
2486,ENSG00000101210,EEF1A2,3192,1917, HS1
6915,ENSG00000134308,YWHAQ,12854,10971, HS1
14978,ENSG00000180353,HCLS1,4844,3059, HS1
1517,ENSG00000080824,HSP90AA1,5253,3320, HSPCA
27318,ENSG00000224411,HSP90AA2P,5256,, HSPCA
212,ENSG00000008294,SPAG9,14524,9043, HSS
5744,ENSG00000125779,PANK2,15894,80025, HSS
5970,ENSG00000127554,GFER,4236,2671, HSS
12005,ENSG00000166736,HTR3A,5297,3359, HTR3
8939,ENSG00000146731,CCT6A,1620,908, HTR3
2653,ENSG00000102158,MAGT1,28880,84061, IAP
5190,ENSG00000121351,IAPP,5329,3375, IAP
8933,ENSG00000146678,IGFBP1,5469,3484, IBP1
1843,ENSG00000089289,IGBP1,5461,3476, IBP1
6173,ENSG00000129422,MTUS1,29789,57509, ICIS
6720,ENSG00000132938,MTUS2,20595,23281, ICIS
24131,ENSG00000213335,CLNS1AP1,2081,, ICLN
1258,ENSG00000074201,CLNS1A,2080,1207, ICLN
1116,ENSG00000070413,DGCR2,2845,9993, IDD
1990,ENSG00000092758,COL9A3,2219,1299, IDD
6999,ENSG00000134812,CBLIF,4268,2694, IF
21824,ENSG00000205403,CFI,5394,3426, IF
7260,ENSG00000136147,PHF11,17024,51131, IGER
9287,ENSG00000149534,MS4A2,7316,2206, IGER
3990,ENSG00000111846,GCNT2,4204,2651, IGNT
13843,ENSG00000174684,B4GAT1,15685,11041, IGNT
8686,ENSG00000144847,IGSF11,16669,152404, IGSF13
16292,ENSG00000186074,CD300LF,29883,146722, IGSF13
1283,ENSG00000074842,MYDGF,16948,56005, IL-25
11837,ENSG00000166090,IL25,13765,64806, IL-25
13407,ENSG00000172458,IL17D,5984,53342, IL-27
1283,ENSG00000074842,MYDGF,16948,56005, IL-27
7350,ENSG00000136689,IL1RN,6000,3557, IL1RA
4487,ENSG00000115594,IL1R1,5993,3554, IL1RA
1283,ENSG00000074842,MYDGF,16948,56005, IL27
13407,ENSG00000172458,IL17D,5984,53342, IL27
10395,ENSG00000159217,IGF2BP1,28866,10642, IMP1
2506,ENSG00000101294,HM13,16435,81502, IMP1
10215,ENSG00000157837,SPPL3,30424,121665, IMP2
15979,ENSG00000184903,IMMP2L,14598,83943, IMP2
3172,ENSG00000105655,ISYNA1,29821,51477, INOS
170,ENSG00000007171,NOS2,7873,4843, INOS
2932,ENSG00000104408,EIF3E,3277,3646, INT6
2718,ENSG00000102786,INTS6,14879,26512, INT6
74052,ENSG00000291237,SOD2,11180,6648, IPOB
3545,ENSG00000108424,KPNB1,6400,3837, IPOB
4212,ENSG00000113441,LNPEP,6656,4012, IRAP
7350,ENSG00000136689,IL1RN,6000,3557, IRAP
12262,ENSG00000167720,SRR,14398,63826, ISO1
13691,ENSG00000173812,EIF1,3249,10209, ISO1
9692,ENSG00000153147,SMARCA5,11101,8467, ISWI
2632,ENSG00000102038,SMARCA1,11097,6594, ISWI
10965,ENSG00000162989,KCNJ3,6264,3760, KGA
4455,ENSG00000115419,GLS,4331,2744, KGA
3405,ENSG00000107104,KANK1,19309,23189, KIAA0172
6709,ENSG00000132854,KANK4,27263,163782, KIAA0172
911,ENSG00000064999,ANKS1A,20961,23294, KIAA0229
5600,ENSG00000124678,TCP11,11658,6954, KIAA0229
45118,ENSG00000253797,UTP14C,20321,9724, KIAA0266
45042,ENSG00000253710,ALG11,32456,440138, KIAA0266
16606,ENSG00000187391,MAGI2,18957,9863, KIAA0705
5387,ENSG00000123165,ACTRT1,24027,139741, KIAA0705
190,ENSG00000007545,CRAMP1,14122,57585, KIAA1426
22000,ENSG00000206053,JPT2,14137,90861, KIAA1426
6213,ENSG00000129757,CDKN1C,1786,1028, KIP2
7310,ENSG00000136425,CIB2,24579,10518, KIP2
7471,ENSG00000137207,YIPF3,21023,25844, KLIP1
9514,ENSG00000151725,CENPU,21348,79682, KLIP1
17371,ENSG00000196693,ZNF33B,13097,7582, KOX31
17075,ENSG00000189180,ZNF33A,13096,7581, KOX31
9427,ENSG00000151093,OXSM,26063,54995, KS
15475,ENSG00000182871,COL18A1,2195,80781, KS
10679,ENSG00000161298,ZNF382,17409,84911, KS1
8809,ENSG00000145824,CXCL14,10640,9547, KS1
10584,ENSG00000160584,SIK3,29165,23387, L19
3524,ENSG00000108298,RPL19,10312,6143, L19
40294,ENSG00000243290,IGKV1-12,5730,, L19
10058,ENSG00000156482,RPL30,10333,6156, L30
7609,ENSG00000137876,RSL24D1,18479,51187, L30
9515,ENSG00000151726,ACSL1,3569,2180, LACS2
11424,ENSG00000164398,ACSL6,16496,23305, LACS2
53923,ENSG00000268651,CTAG1A,24198,246100, LAGE2A
15781,ENSG00000184033,CTAG1B,2491,1485, LAGE2A
16778,ENSG00000188042,ARL4C,698,10123, LAK
1229,ENSG00000073331,ALPK1,20917,80216, LAK
1414,ENSG00000078081,LAMP3,14582,27074, LAMP
16153,ENSG00000185565,LSAMP,6705,4045, LAMP
13345,ENSG00000172216,CEBPB,1834,1051, LAP
9531,ENSG00000151849,CENPJ,17272,55835, LAP
12031,ENSG00000166825,ANPEP,500,290, LAP1
6464,ENSG00000131323,TRAF3,12033,7187, LAP1
8415,ENSG00000143337,TOR1AIP1,29456,26092, LAP1
12,ENSG00000001497,LAS1L,25726,81887, LAS1
4829,ENSG00000118307,DNAI7,29599,55259, LAS1
6642,ENSG00000132518,GUCY2D,4689,3000, LCA
1538,ENSG00000081237,PTPRC,9666,5788, LCA
13076,ENSG00000171124,FUT3,4014,2525, LE
2202,ENSG00000100099,HPS4,15844,89781, LE
10540,ENSG00000160255,ITGB2,6155,3689, LFA-1
108,ENSG00000005844,ITGAL,6148,3683, LFA-1
6549,ENSG00000131899,LLGL1,6628,3996, LGL1
2792,ENSG00000103196,CRISPLD2,25248,83716, LGL1
15324,ENSG00000182197,EXT1,3512,2131, LGS
8870,ENSG00000146166,LGSN,21016,51557, LGS
