,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,source
457,554,AVPR2,ADHR,897,ENSG00000126895,NCBI Info
6302,8074,FGF23,ADHR,3680,ENSG00000118972,NCBI Info
3875,4928,NUP98,ADIR2,8068,ENSG00000110713,NCBI Info
14128,64222,TOR3A,ADIR2,11997,ENSG00000186283,NCBI Info
115,136,ADORA2B,ADORA2,264,ENSG00000170425,NCBI Info
114,135,ADORA2A,ADORA2,263,ENSG00000128271,NCBI Info
7248,9370,ADIPOQ,ADPN,13633,ENSG00000181092,NCBI Info
15168,80339,PNPLA3,ADPN,18590,ENSG00000100344,NCBI Info
7814,10038,PARP2,ADPRTL2,272,ENSG00000129484,NCBI Info
7815,10039,PARP3,ADPRTL2,273,ENSG00000041880,NCBI Info
7814,10038,PARP2,ADPRTL3,272,ENSG00000129484,NCBI Info
7815,10039,PARP3,ADPRTL3,273,ENSG00000041880,NCBI Info
196,231,AKR1B1,ADR,381,ENSG00000085662,NCBI Info
1786,2232,FDXR,ADR,3642,ENSG00000161513,NCBI Info
124,147,ADRA1B,ADRA1,278,ENSG00000170214,NCBI Info
123,146,ADRA1D,ADRA1,280,ENSG00000171873,NCBI Info
5162,6522,SLC4A2,AE2,11028,ENSG00000164889,NCBI Info
15840,84224,NBPF3,AE2,25076,ENSG00000142794,NCBI Info
4509,5710,PSMD4,AF,9561,ENSG00000159352,NCBI Info
21587,339451,KLHL17,AF,24023,ENSG00000187961,NCBI Info
2801,3460,IFNGR2,AF-1,5440,ENSG00000159128,NCBI Info
4509,5710,PSMD4,AF-1,9561,ENSG00000159352,NCBI Info
30290,100132406,NBPF10,AG1,31992,ENSG00000271425,NCBI Info
11459,51060,TXNDC12,AG1,24626,ENSG00000117862,NCBI Info
22711,387763,C11orf96,AG2,38675,ENSG00000187479,NCBI Info
8254,10551,AGR2,AG2,328,ENSG00000106541,NCBI Info
20888,284565,NBPF15,AG3,28791,ENSG00000266338,NCBI Info
19011,155465,AGR3,AG3,24167,ENSG00000173467,NCBI Info
151,176,ACAN,AGC1,319,ENSG00000157766,NCBI Info
6667,8604,SLC25A12,AGC1,10982,ENSG00000115840,NCBI Info
2837,3507,IGHM,AGM1,5541,ENSG00000211899,NCBI Info
4120,5238,PGM3,AGM1,8907,ENSG00000013375,NCBI Info
3931,5004,ORM1,AGP1,8498,ENSG00000229314,NCBI Info
237,284,ANGPT1,AGP1,484,ENSG00000154188,NCBI Info
14920,79888,LPCAT1,AGPAT10,25718,ENSG00000153395,NCBI Info
16123,84803,GPAT3,AGPAT10,28157,ENSG00000138678,NCBI Info
16123,84803,GPAT3,AGPAT8,28157,ENSG00000138678,NCBI Info
20166,253558,LCLAT1,AGPAT8,26756,ENSG00000172954,NCBI Info
16123,84803,GPAT3,AGPAT9,28157,ENSG00000138678,NCBI Info
14920,79888,LPCAT1,AGPAT9,25718,ENSG00000153395,NCBI Info
8850,11277,TREX1,AGS1,12269,ENSG00000213689,NCBI Info
156,182,JAG1,AGS1,6188,ENSG00000101384,NCBI Info
11866,51655,RASD1,AGS1,15828,ENSG00000108551,NCBI Info
3813,4853,NOTCH2,AGS2,7882,ENSG00000134250,NCBI Info
14701,79621,RNASEH2B,AGS2,25671,ENSG00000136104,NCBI Info
15801,84153,RNASEH2C,AGS3,24116,ENSG00000172922,NCBI Info
9882,26086,GPSM1,AGS3,17858,ENSG00000160360,NCBI Info
14032,63940,GPSM3,AGS4,13945,ENSG00000213654,NCBI Info
8241,10535,RNASEH2A,AGS4,18518,ENSG00000104889,NCBI Info
18022,134353,LSM11,AGS8,30860,ENSG00000155858,NCBI Info
16025,84624,FNDC1,AGS8,21184,ENSG00000164694,NCBI Info
161,189,AGXT,AGT1,341,ENSG00000172482,NCBI Info
19039,157724,SLC7A13,AGT1,23092,ENSG00000164893,NCBI Info
19640,200879,LIPH,AH,18483,ENSG00000163898,NCBI Info
20471,266790,HCA1,AH,,,NCBI Info
8296,10598,AHSA1,AHA1,1189,ENSG00000100591,NCBI Info
17902,130872,AHSA2P,AHA1,20437,ENSG00000293434,NCBI Info
13606,57491,AHRR,AHH,346,ENSG00000063438,NCBI Info
1255,1543,CYP1A1,AHH,2595,ENSG00000140465,NCBI Info
6366,8202,NCOA3,AIB1,7670,ENSG00000124151,NCBI Info
17227,116833,ANIB1,AIB1,,,NCBI Info
25329,497657,ANIB3,AIB3,,,NCBI Info
9093,23054,NCOA6,AIB3,15936,ENSG00000198646,NCBI Info
14434,79000,AUNIP,AIBP,28363,ENSG00000127423,NCBI Info
17758,128240,NAXE,AIBP,18453,ENSG00000163382,NCBI Info
797,969,CD69,AIM,1694,ENSG00000110848,NCBI Info
1432,1786,DNMT1,AIM,2976,ENSG00000130816,NCBI Info
752,922,CD5L,AIM,1690,ENSG00000073754,NCBI Info
169,202,CRYBG1,AIM1,356,ENSG00000112297,NCBI Info
7130,9212,AURKB,AIM1,11390,ENSG00000178999,NCBI Info
11542,51151,SLC45A2,AIM1,16472,ENSG00000164175,NCBI Info
18924,153090,DAB2IP,AIP-1,17294,ENSG00000136848,NCBI Info
7665,9863,MAGI2,AIP-1,18957,ENSG00000187391,NCBI Info
7915,10152,ABI2,AIP-1,24011,ENSG00000138443,NCBI Info
7665,9863,MAGI2,AIP1,18957,ENSG00000187391,NCBI Info
7915,10152,ABI2,AIP1,24011,ENSG00000138443,NCBI Info
9213,23204,ARL6IP1,AIP1,697,ENSG00000170540,NCBI Info
18189,139741,ACTRT1,AIP1,24027,ENSG00000123165,NCBI Info
18924,153090,DAB2IP,AIP1,17294,ENSG00000136848,NCBI Info
7741,9948,WDR1,AIP1,12754,ENSG00000071127,NCBI Info
275,330,BIRC3,AIP1,591,ENSG00000023445,NCBI Info
7797,10015,PDCD6IP,AIP1,8766,ENSG00000170248,NCBI Info
16769,93034,NT5C1B,AIRP,17818,ENSG00000185013,NCBI Info
36340,100526794,NT5C1B-RDH14,AIRP,38831,ENSG00000250741,NCBI Info
6684,8626,TP63,AIS,15979,ENSG00000073282,NCBI Info
20416,260402,IS1,AIS,,,NCBI Info
308,367,AR,AIS,644,ENSG00000169083,NCBI Info
20416,260402,IS1,AIS1,,,NCBI Info
10261,27022,FOXD3,AIS1,3804,ENSG00000187140,NCBI Info
5614,7038,TG,AITD3,11764,ENSG00000042832,NCBI Info
13717,57623,ZFAT,AITD3,19899,ENSG00000066827,NCBI Info
172,205,AK4,AK3L1,363,ENSG00000162433,NCBI Info
11363,50808,AK3,AK3L1,17376,ENSG00000147853,NCBI Info
26455,645619,AK4P3,AK3L2,21596,,NCBI Info
172,205,AK4,AK3L2,363,ENSG00000162433,NCBI Info
11363,50808,AK3,AK6,17376,ENSG00000147853,NCBI Info
9999,26289,AK5,AK6,365,ENSG00000154027,NCBI Info
28471,100008586,GAGE12F,AL4,31906,ENSG00000236362,NCBI Info
26326,645073,GAGE12G,AL4,31907,ENSG00000215269,NCBI Info
2079,2579,GAGE7,AL4,4104,,NCBI Info
10132,26748,GAGE12I,AL4,4105,,NCBI Info
3639,4635,MYL4,ALC1,7585,ENSG00000198336,NCBI Info
7403,9557,CHD1L,ALC1,1916,ENSG00000131778,NCBI Info
192,226,ALDOA,ALDA,414,ENSG00000149925,NCBI Info
57843,112694756,LOC112694756,ALDA,,ENSG00000285043,NCBI Info
195,230,ALDOC,ALDC,418,ENSG00000109107,NCBI Info
182,216,ALDH1A1,ALDC,402,ENSG00000165092,NCBI Info
187,221,ALDH3B1,ALDH4,410,ENSG00000006534,NCBI Info
6711,8659,ALDH4A1,ALDH4,406,ENSG00000159423,NCBI Info
189,223,ALDH9A1,ALDH4,412,ENSG00000143149,NCBI Info
189,223,ALDH9A1,ALDH7,412,ENSG00000143149,NCBI Info
187,221,ALDH3B1,ALDH7,410,ENSG00000006534,NCBI Info
8070,10327,AKR1A1,ALDR1,380,ENSG00000117448,NCBI Info
196,231,AKR1B1,ALDR1,381,ENSG00000085662,NCBI Info
191,225,ABCD2,ALDRP,66,ENSG00000173208,NCBI Info
197,236,AKR1B1P2,ALDRP,425,,NCBI Info
21233,286749,STON1-GTF2A1L,ALF,30651,ENSG00000068781,NCBI Info
148,173,AFM,ALF,316,ENSG00000079557,NCBI Info
8654,11036,GTF2A1L,ALF,30727,ENSG00000242441,NCBI Info
7206,9318,COPS2,ALIEN,30747,ENSG00000166200,NCBI Info
18300,140828,LINC00261,ALIEN,16189,ENSG00000259974,NCBI Info
5223,6590,SLPI,ALK1,11092,ENSG00000124107,NCBI Info
198,238,ALK,ALK1,427,ENSG00000171094,NCBI Info
78,94,ACVRL1,ALK1,175,ENSG00000139567,NCBI Info
8497,10850,CCL27,ALP,10626,ENSG00000213927,NCBI Info
9843,26033,ATRNL1,ALP,29063,ENSG00000107518,NCBI Info
12645,55226,NAT10,ALP,29830,ENSG00000135372,NCBI Info
391,470,ATHS,ALP,,,NCBI Info
10410,27295,PDLIM3,ALP,20767,ENSG00000154553,NCBI Info
5223,6590,SLPI,ALP,11092,ENSG00000124107,NCBI Info
209,250,ALPP,ALP,439,ENSG00000163283,NCBI Info
15068,80150,ASRGL1,ALP,16448,ENSG00000162174,NCBI Info
18086,136991,ASZ1,ALP1,1350,ENSG00000154438,NCBI Info
15068,80150,ASRGL1,ALP1,16448,ENSG00000162174,NCBI Info
2150,2671,GFER,ALR,4236,ENSG00000127554,NCBI Info
8070,10327,AKR1A1,ALR,380,ENSG00000117448,NCBI Info
6308,8085,KMT2D,ALR,7133,ENSG00000167548,NCBI Info
2815,3483,IGFALS,ALS,5468,ENSG00000099769,NCBI Info
5275,6647,SOD1,ALS,11179,ENSG00000142168,NCBI Info
2587,3178,HNRNPA1,ALS19,5031,ENSG00000135486,NCBI Info
1657,2066,ERBB4,ALS19,3432,ENSG00000178568,NCBI Info
51970,107075155,MTCO3P16,ALS2CR3,52046,ENSG00000227736,NCBI Info
14417,66008,TRAK2,ALS2CR3,13206,ENSG00000115993,NCBI Info
51973,107075158,MTATP6P16,ALS2CR3,52061,ENSG00000224299,NCBI Info
52024,107075210,MTND4LP16,ALS2CR3,42250,ENSG00000234731,NCBI Info
52091,107075278,MTND3P16,ALS2CR3,52076,ENSG00000224590,NCBI Info
51963,107075148,MTCO2P16,ALS2CR3,52032,ENSG00000234842,NCBI Info
2029,2521,FUS,ALS6,4010,ENSG00000089280,NCBI Info
211,253,ALS3,ALS6,,,NCBI Info
2323,2875,GPT,ALT1,4552,ENSG00000167701,NCBI Info
6868,8847,DLEU2,ALT1,13748,ENSG00000231607,NCBI Info
5345,6726,SRP9,ALURBP,11304,ENSG00000143742,NCBI Info
5346,6727,SRP14,ALURBP,11299,ENSG00000140319,NCBI Info
16223,84941,HSH2D,ALX,24920,ENSG00000196684,NCBI Info
1891,2358,FPR2,ALX,3827,ENSG00000171049,NCBI Info
12950,55729,ATF7IP,AM,20092,ENSG00000171681,NCBI Info
112,133,ADM,AM,259,ENSG00000148926,NCBI Info
5031,6362,CCL18,AMAC1,10616,ENSG00000275385,NCBI Info
18544,146861,SLC35G3,AMAC1,26848,ENSG00000164729,NCBI Info
15753,84073,MYCBPAP,AMAP1,19677,ENSG00000136449,NCBI Info
11362,50807,ASAP1,AMAP1,2720,ENSG00000153317,NCBI Info
215,261,AMCN,AMC1,,,NCBI Info
19234,163175,LGI4,AMC1,18712,ENSG00000153902,NCBI Info
216,262,AMD1,AMD,457,ENSG00000123505,NCBI Info
217,263,AMD1P2,AMD,460,,NCBI Info
19098,158584,FAAH2,AMDD,26440,ENSG00000165591,NCBI Info
538,658,BMPR1B,AMDD,1077,ENSG00000138696,NCBI Info
218,265,AMELX,AMGL,461,ENSG00000125363,NCBI Info
219,266,AMELY,AMGL,462,ENSG00000099721,NCBI Info
703,861,RUNX1,AML1-EVI-1,10471,ENSG00000159216,NCBI Info
1696,2122,MECOM,AML1-EVI-1,3498,ENSG00000085276,NCBI Info
3405,4236,MFAP1,AMP,7032,ENSG00000140259,NCBI Info
295,353,APRT,AMP,626,ENSG00000198931,NCBI Info
4382,5562,PRKAA1,AMPK,9376,ENSG00000132356,NCBI Info
4384,5564,PRKAB1,AMPK,9378,ENSG00000111725,NCBI Info
4383,5563,PRKAA2,AMPK,9377,ENSG00000162409,NCBI Info
16014,84570,COL25A1,AMY,18603,ENSG00000188517,NCBI Info
8161,10439,OLFM1,AMY,17187,ENSG00000130558,NCBI Info
229,276,AMY1A,AMY1,474,ENSG00000237763,NCBI Info
230,277,AMY1B,AMY1,475,ENSG00000174876,NCBI Info
231,278,AMY1C,AMY1,476,ENSG00000187733,NCBI Info
232,279,AMY2A,AMY2,477,ENSG00000243480,NCBI Info
233,280,AMY2B,AMY2,478,ENSG00000240038,NCBI Info
15466,81624,DIAPH3,AN,15480,ENSG00000139734,NCBI Info
3991,5080,PAX6,AN,8620,ENSG00000007372,NCBI Info
14878,79839,CCDC102B,AN,26295,ENSG00000150636,NCBI Info
10089,26610,ELP4,AN,1171,ENSG00000109911,NCBI Info
3991,5080,PAX6,AN2,8620,ENSG00000007372,NCBI Info
10089,26610,ELP4,AN2,1171,ENSG00000109911,NCBI Info
11144,29123,ANKRD11,ANCO1,21316,ENSG00000167522,NCBI Info
9256,23253,ANKRD12,ANCO1,29135,ENSG00000101745,NCBI Info
13532,57291,DANCR,ANCR,28964,ENSG00000226950,NCBI Info
5876,7337,UBE3A,ANCR,12496,ENSG00000114062,NCBI Info
6843,8820,HESX1,ANF,4877,ENSG00000163666,NCBI Info
3832,4878,NPPA,ANF,7939,ENSG00000175206,NCBI Info
237,284,ANGPT1,ANG1,484,ENSG00000154188,NCBI Info
5681,7108,TM7SF2,ANG1,11863,ENSG00000149809,NCBI Info
238,285,ANGPT2,ANG2,485,ENSG00000091879,NCBI Info
603,738,VPS51,ANG2,1172,ENSG00000149823,NCBI Info
7016,9068,ANGPTL1,ANG3,489,ENSG00000116194,NCBI Info
603,738,VPS51,ANG3,1172,ENSG00000149823,NCBI Info
11715,51378,ANGPT4,ANG3,487,ENSG00000101280,NCBI Info
239,286,ANK1,ANK,492,ENSG00000029534,NCBI Info
13195,56172,ANKH,ANK,15492,ENSG00000154122,NCBI Info
32785,100288966,LOC100288966,ANKRD21,,,NCBI Info
21268,317754,POTED,ANKRD21,23822,ENSG00000166351,NCBI Info
246,293,SLC25A6,ANT,10992,ENSG00000292334,NCBI Info
244,291,SLC25A4,ANT,10990,ENSG00000151729,NCBI Info
9646,24148,PRPF6,ANT1,15860,ENSG00000101161,NCBI Info
244,291,SLC25A4,ANT1,10990,ENSG00000151729,NCBI Info
52215,107126360,AOX3P,AOH1,19049,ENSG00000290905,NCBI Info
261,316,AOX1,AOH1,553,ENSG00000138356,NCBI Info
13990,63036,CELA2A,AOMS4,24609,ENSG00000142615,NCBI Info
3217,3991,LIPE,AOMS4,6621,ENSG00000079435,NCBI Info
13626,57514,ARHGAP31,AOS1,29216,ENSG00000031081,NCBI Info
7830,10055,SAE1,AOS1,30660,ENSG00000142230,NCBI Info
1887,2354,FOSB,AP-1,3797,ENSG00000125740,NCBI Info
1886,2353,FOS,AP-1,3796,ENSG00000170345,NCBI Info
3009,3725,JUN,AP-1,6204,ENSG00000177606,NCBI Info
3011,3727,JUND,AP-1,6206,ENSG00000130522,NCBI Info
3010,3726,JUNB,AP-1,6205,ENSG00000171223,NCBI Info
8578,10947,AP3M2,AP47B,570,ENSG00000070718,NCBI Info
8750,11154,AP4S1,AP47B,575,ENSG00000100478,NCBI Info
11242,29957,SLC25A24,APC1,20662,ENSG00000085491,NCBI Info
14219,64682,ANAPC1,APC1,19988,ENSG00000153107,NCBI Info
11187,29882,ANAPC2,APC2,19989,ENSG00000176248,NCBI Info
14495,79085,SLC25A23,APC2,19375,ENSG00000125648,NCBI Info
11231,29945,ANAPC4,APC4,19990,ENSG00000053900,NCBI Info
20866,284427,SLC25A41,APC4,28533,ENSG00000181240,NCBI Info
11742,51434,ANAPC7,APC7,17380,ENSG00000196510,NCBI Info
11743,51435,SCARA3,APC7,19000,ENSG00000168077,NCBI Info
273,328,APEX1,APE,587,ENSG00000100823,NCBI Info
12930,55704,CCDC88A,APE,25523,ENSG00000115355,NCBI Info
13513,57211,ADGRG6,APG1,13841,ENSG00000112414,NCBI Info
8916,22824,HSPA4L,APG1,17041,ENSG00000164070,NCBI Info
36324,100526739,CENPS-CORT,APITD1,38843,ENSG00000251503,NCBI Info
22496,378708,CENPS,APITD1,23163,ENSG00000175279,NCBI Info
19675,201501,ZBTB7C,APM-1,31700,ENSG00000184828,NCBI Info
7248,9370,ADIPOQ,APM-1,13633,ENSG00000181092,NCBI Info
19675,201501,ZBTB7C,APM1,31700,ENSG00000184828,NCBI Info
7248,9370,ADIPOQ,APM1,13633,ENSG00000181092,NCBI Info
10449,27350,APOBEC3C,APOBEC1L,17353,ENSG00000244509,NCBI Info
7422,9582,APOBEC3B,APOBEC1L,17352,ENSG00000179750,NCBI Info
6012,7511,XPNPEP1,APP1,12822,ENSG00000108039,NCBI Info
6793,8761,PABPC4,APP1,8557,ENSG00000090621,NCBI Info
3244,4035,LRP1,APR,6692,ENSG00000123384,NCBI Info
4234,5366,PMAIP1,APR,9108,ENSG00000141682,NCBI Info
8247,10541,ANP32B,APRIL,16677,ENSG00000136938,NCBI Info
6779,8741,TNFSF13,APRIL,11928,ENSG00000161955,NCBI Info
7904,10140,TOB1,APRO5,11979,ENSG00000141232,NCBI Info
8424,10766,TOB2,APRO5,11980,ENSG00000183864,NCBI Info
8300,10603,SH2B2,APS,17381,ENSG00000160999,NCBI Info
296,354,KLK3,APS,6364,ENSG00000142515,NCBI Info
12611,55190,NUDT11,APS1,18011,ENSG00000196368,NCBI Info
271,326,AIRE,APS1,360,ENSG00000160224,NCBI Info
297,355,FAS,APT1,11920,ENSG00000026103,NCBI Info
8156,10434,LYPLA1,APT1,6737,ENSG00000120992,NCBI Info
5480,6890,TAP1,APT1,43,ENSG00000168394,NCBI Info
5481,6891,TAP2,APT2,44,ENSG00000204267,NCBI Info
8861,11313,LYPLA2,APT2,6738,ENSG00000011009,NCBI Info
11525,51131,PHF11,APY,17024,ENSG00000136147,NCBI Info
